CU#,Credit Union,Assets($),Branches(4cty),Counties,Status,Note,In main table? (v5)
21751,FEDEX EMPLOYEES CREDIT ASSOCIATION,641452230,1,Los ,GAP — never evaluated,likely SEG/employer-gated — verify FOM + biz card,— not in main table
24916,I.L.W.U.,601926772,3,Los ,GAP — never evaluated,likely SEG/employer-gated — verify FOM + biz card,— not in main table
24927,"CREDIT UNION OF NEW JERSEY, A",503973515,1,Oran,GAP — never evaluated,likely SEG/employer-gated — verify FOM + biz card,✓ covered — Credit Union of New Jersey
3943,GAIN,439328634,2,Los ,GAP — never evaluated,likely SEG/employer-gated — verify FOM + biz card,— not in main table
14723,AEROSPACE,422785090,1,Los ,GAP — never evaluated,likely SEG/employer-gated — verify FOM + biz card,— not in main table
97101,GLENDALE AREA SCHOOLS,421654861,2,Los ,GAP — never evaluated,likely SEG/employer-gated — verify FOM + biz card,— not in main table
95071,CAHP,403972301,1,San ,GAP — never evaluated,likely SEG/employer-gated — verify FOM + biz card,— not in main table
23004,POPA,399419595,4,Los ,GAP — never evaluated,likely SEG/employer-gated — verify FOM + biz card,— not in main table
15317,SAG-AFTRA,340594835,4,Los ,GAP — never evaluated,likely SEG/employer-gated — verify FOM + biz card,— not in main table
15358,ACTORS,334790375,2,Los ,GAP — never evaluated,likely SEG/employer-gated — verify FOM + biz card,— not in main table
3945,UME,334142032,1,Los ,GAP — never evaluated,likely SEG/employer-gated — verify FOM + biz card,— not in main table
17127,TRUGROCER,319382979,1,Oran,GAP — never evaluated,likely SEG/employer-gated — verify FOM + biz card,— not in main table
16402,U S POSTAL SERVICE,286334485,1,Los ,GAP — never evaluated,likely SEG/employer-gated — verify FOM + biz card,— not in main table
1438,LONG BEACH CITY EMPLOYEES,279271327,2,Los ,GAP — never evaluated,likely SEG/employer-gated — verify FOM + biz card,— not in main table
14830,EDWARDS,278913118,1,Los ,GAP — never evaluated,likely SEG/employer-gated — verify FOM + biz card,— not in main table
16030,CHAFFEY,229064484,4,Los +San ,GAP — never evaluated,likely SEG/employer-gated — verify FOM + biz card,— not in main table
9556,CLEARPATH,224391171,2,Los ,GAP — never evaluated,likely SEG/employer-gated — verify FOM + biz card,— not in main table
64531,ALTA VISTA,211726159,2,San ,GAP — never evaluated,likely SEG/employer-gated — verify FOM + biz card,— not in main table
67921,LONG BEACH FIREMEN S,204273146,1,Los ,GAP — never evaluated,likely SEG/employer-gated — verify FOM + biz card,— not in main table
62323,E-CENTRAL,174543984,1,Los ,GAP — never evaluated,likely SEG/employer-gated — verify FOM + biz card,— not in main table
14542,VIDA,172659135,1,San ,GAP — never evaluated,likely SEG/employer-gated — verify FOM + biz card,— not in main table
95052,SOUTH BAY,164333499,3,Los ,GAP — never evaluated,likely SEG/employer-gated — verify FOM + biz card,— not in main table
12543,TORRANCE COMMUNITY,160034712,1,Los ,GAP — never evaluated,likely SEG/employer-gated — verify FOM + biz card,— not in main table
5816,INTERFAITH,135351514,1,San ,GAP — never evaluated,likely SEG/employer-gated — verify FOM + biz card,— not in main table
64191,NORTH IOWA COMMUNITY,128521672,1,Oran,GAP — never evaluated,likely SEG/employer-gated — verify FOM + biz card,— not in main table
7770,THINKWISE,121225084,2,San ,GAP — never evaluated,likely SEG/employer-gated — verify FOM + biz card,— not in main table
7817,SEA AIR,118185732,3,Oran+Rive,GAP — never evaluated,likely SEG/employer-gated — verify FOM + biz card,— not in main table
10351,LA LOMA,114333182,3,Rive+San ,GAP — never evaluated,likely SEG/employer-gated — verify FOM + biz card,— not in main table
18273,AMERICAN BROADCAST EMPLOYEES,113628535,3,Los ,GAP — never evaluated,likely SEG/employer-gated — verify FOM + biz card,— not in main table
24520,SANTA ANA,112515965,1,Oran,GAP — never evaluated,likely SEG/employer-gated — verify FOM + biz card,— not in main table
1204,RANCHO,110306322,3,Los +Oran,GAP — never evaluated,likely SEG/employer-gated — verify FOM + biz card,— not in main table
7557,GLENDALE,102411161,2,Los ,GAP — never evaluated,likely SEG/employer-gated — verify FOM + biz card,— not in main table
5530,VA DESERT PACIFIC,98985355,3,Los ,GAP — never evaluated,likely SEG/employer-gated — verify FOM + biz card,— not in main table
24131,UNION YES,96920624,1,Oran,GAP — never evaluated,likely SEG/employer-gated — verify FOM + biz card,— not in main table
8230,TECHNICOLOR,84893873,1,Los ,GAP — never evaluated,likely SEG/employer-gated — verify FOM + biz card,— not in main table
18623,CALCOM,82608794,4,Los ,GAP — never evaluated,likely SEG/employer-gated — verify FOM + biz card,— not in main table
65059,NIKKEI,80585718,2,Los ,GAP — never evaluated,likely SEG/employer-gated — verify FOM + biz card,— not in main table
14499,CAL STATE L.A.,79904552,2,Los ,GAP — never evaluated,likely SEG/employer-gated — verify FOM + biz card,— not in main table
86063,POSTCITY FINANCIAL,78185272,2,Los ,GAP — never evaluated,likely SEG/employer-gated — verify FOM + biz card,— not in main table
1034,OLIVE VIEW EMPLOYEES,75225960,1,Los ,GAP — never evaluated,likely SEG/employer-gated — verify FOM + biz card,— not in main table
19739,POLAM,73432824,2,Los +Oran,GAP — never evaluated,likely SEG/employer-gated — verify FOM + biz card,— not in main table
64893,UNIVERSAL CITY STUDIOS,71839650,2,Los ,GAP — never evaluated,likely SEG/employer-gated — verify FOM + biz card,— not in main table
14650,PARISHIONERS,67162263,1,Los ,GAP — never evaluated,likely SEG/employer-gated — verify FOM + biz card,— not in main table
10433,BOPTI,64385017,2,Los ,GAP — never evaluated,likely SEG/employer-gated — verify FOM + biz card,— not in main table
60967,HUNTINGTON BEACH,55824368,1,Oran,GAP — never evaluated,likely SEG/employer-gated — verify FOM + biz card,— not in main table
63589,JACOM,54866027,1,Los ,GAP — never evaluated,likely SEG/employer-gated — verify FOM + biz card,— not in main table
5684,INLAND VALLEY,54343947,1,San ,GAP — never evaluated,likely SEG/employer-gated — verify FOM + biz card,— not in main table
60755,L. A. ELECTRICAL WORKERS CREDIT UN.,53963437,2,Los ,GAP — never evaluated,likely SEG/employer-gated — verify FOM + biz card,— not in main table
12029,UNITED CATHOLICS,50035236,1,Los ,GAP — never evaluated,likely SEG/employer-gated — verify FOM + biz card,— not in main table
21532,U.P.S. EMPLOYEES,48924495,1,San ,GAP — never evaluated,likely SEG/employer-gated — verify FOM + biz card,— not in main table
68167,COLLEGEDALE,44663588,1,San ,GAP — never evaluated,likely SEG/employer-gated — verify FOM + biz card,— not in main table
16954,FOX,38149010,4,Los ,GAP — never evaluated,likely SEG/employer-gated — verify FOM + biz card,— not in main table
68549,MEDIA CITY,37814881,1,Los ,GAP — never evaluated,likely SEG/employer-gated — verify FOM + biz card,— not in main table
16268,W S S C,34955726,1,San ,GAP — never evaluated,likely SEG/employer-gated — verify FOM + biz card,— not in main table
8611,CAPSTONE,34573149,1,Oran,GAP — never evaluated,likely SEG/employer-gated — verify FOM + biz card,— not in main table
95072,EL MONTE COMMUNITY,32961526,1,Los ,GAP — never evaluated,likely SEG/employer-gated — verify FOM + biz card,— not in main table
24549,HANIN,31725210,1,Los ,GAP — never evaluated,likely SEG/employer-gated — verify FOM + biz card,— not in main table
8261,MATTEL,29130616,4,Los ,GAP — never evaluated,likely SEG/employer-gated — verify FOM + biz card,— not in main table
68052,CENTER CITY COMMUNITY,25266816,1,Oran,GAP — never evaluated,likely SEG/employer-gated — verify FOM + biz card,— not in main table
13044,ONTARIO PUBLIC EMPLOYEES,23434614,1,San ,GAP — never evaluated,likely SEG/employer-gated — verify FOM + biz card,— not in main table
15784,NOVO,20774379,2,Rive,GAP — never evaluated,likely SEG/employer-gated — verify FOM + biz card,— not in main table
12898,FONTANA,17231223,2,San ,GAP — never evaluated,likely SEG/employer-gated — verify FOM + biz card,— not in main table
95073,MID-CITIES,16279430,1,Los ,GAP — never evaluated,likely SEG/employer-gated — verify FOM + biz card,— not in main table
16571,L.A. HEALTHCARE,14970369,2,Los ,GAP — never evaluated,likely SEG/employer-gated — verify FOM + biz card,— not in main table
9823,BEVERLY HILLS CITY EMPLOYEES,14904068,1,Los ,GAP — never evaluated,likely SEG/employer-gated — verify FOM + biz card,— not in main table
24776,COMUNIDAD LATINA,11186420,1,Oran,GAP — never evaluated,likely SEG/employer-gated — verify FOM + biz card,— not in main table
9778,REDLANDS CITY EMPLOYEES,10290642,1,San ,GAP — never evaluated,likely SEG/employer-gated — verify FOM + biz card,— not in main table
24506,EPISCOPAL COMMUNITY,6625294,1,Los ,GAP — never evaluated,likely SEG/employer-gated — verify FOM + biz card,— not in main table
17841,VALLEY AGRICULTURAL,4755068,1,Los ,GAP — never evaluated,likely SEG/employer-gated — verify FOM + biz card,— not in main table
4393,SUNKIST EMPLOYEES,3959286,1,Los ,GAP — never evaluated,likely SEG/employer-gated — verify FOM + biz card,— not in main table
5960,U.S.B. EMPLOYEES,3207028,1,Los ,GAP — never evaluated,likely SEG/employer-gated — verify FOM + biz card,— not in main table
9044,COLUMBUS CLUB,3040635,1,Los ,GAP — never evaluated,likely SEG/employer-gated — verify FOM + biz card,— not in main table
64108,FOUNTAIN VALLEY,1964804,1,Oran,GAP — never evaluated,likely SEG/employer-gated — verify FOM + biz card,— not in main table
10648,MARYKNOLL OF L A,1151903,2,Los ,GAP — never evaluated,likely SEG/employer-gated — verify FOM + biz card,— not in main table
5536,NAVY FEDERAL CREDIT UNION,203558954708,19,Los +Oran+Rive+San ,COVERED,= Navy Federal Credit Union,— not in main table
24212,SCHOOLSFIRST,36737428874,63,Los +Oran+Rive+San ,COVERED,= SchoolsFirst,✓ covered — SchoolsFirst Federal Credit Union
61650,THE GOLDEN 1,21737187207,1,San ,COVERED,= Golden 1 Credit Union,✓ covered — Golden 1 Credit Union
5913,GLOBAL,12863315758,6,San ,COVERED,= Global Credit Union,— not in main table
1999,LOGIX,9716129809,14,Los ,COVERED,= Logix Federal Credit Union,— not in main table
61004,SAN DIEGO COUNTY,9382858048,8,Oran+Rive,COVERED,= San Diego County Credit Union (SDCCU),✓ covered — San Diego County Credit Union (SDCCU)
66703,WESCOM CENTRAL,6472794298,25,Los +Oran+Rive+San ,COVERED,= Wescom Credit Union,✓ covered — Wescom Credit Union
4142,KINECTA,6443715004,20,Los +Oran,COVERED,= Kinecta Federal Credit Union,✓ covered — Kinecta Federal Credit Union
24980,CALIFORNIA,5413638046,14,Los +Oran,COVERED,= California Credit Union,✓ covered — California Bank & Trust
24983,"CREDIT UNION OF SOUTHERN CA, A",3942853719,26,Los +Oran+Rive+San ,COVERED,= Credit Union of Southern California,— not in main table
566,NUVISION,3935777489,12,Los +Oran,COVERED,= Nuvision Credit Union,✓ covered — Nuvision Credit Union
66584,CALIFORNIA COAST,3469511167,4,Rive,COVERED,= California Coast,✓ covered — California Credit Union
68428,PREMIER AMERICA,3313105523,11,Los ,COVERED,= Premier America Credit Union,✓ covered — Premier America Credit Union
24981,ORANGE COUNTY'S,3074685797,12,Los +Oran+San ,COVERED,= Orange County's Credit Union,✓ covered — Orange County's Credit Union
1493,F & A,3056609908,2,Los ,COVERED,= F&A Federal Credit Union,✓ covered — Wells Fargo
24973,ARROWHEAD,2905838677,20,Los +Rive+San ,COVERED,= Arrowhead Credit Union,✓ covered — Arrowhead Credit Union
18708,PARTNERS,2799229823,8,Los +Oran,COVERED,= Partners Bank of California,✓ covered — Partners Bank of California
24969,ALTURA,2665893053,24,Rive,COVERED,= Altura Credit Union,✓ covered — Altura Credit Union
68457,FINANCIAL PARTNERS,2247378836,13,Los +Oran+San ,COVERED,= Financial Partners Credit Union,✓ covered — Financial Partners Credit Union
68460,LBS FINANCIAL,2191340672,8,Los +Oran,COVERED,= LBS Financial Credit Union,✓ covered — LBS Financial Credit Union
68373,FIRST ENTERTAINMENT,2122095658,7,Los ,COVERED,= First Entertainment Credit Union,— not in main table
68494,FRONTWAVE,1764704265,6,Rive+San ,COVERED,= Frontwave Credit Union,✓ covered — Frontwave Credit Union
24553,LOS ANGELES POLICE,1402266653,4,Los ,COVERED,= Los Angeles Federal Credit Union,— not in main table
1074,FARMERS INSURANCE,1366674086,3,Los ,COVERED,= Farmers Insurance Federal Credit Union,— not in main table
7835,RIZE,1309314002,5,Los +San ,COVERED,= Rize Credit Union,— not in main table
68415,SOUTHLAND,1292891510,11,Los +Oran,COVERED,= Southland Credit Union,— not in main table
1207,LOS ANGELES,1278292282,8,Los ,COVERED,= Los Angeles Federal Credit Union,✓ covered — Los Angeles Federal Credit Union (LAFCU)
68493,WATER AND POWER COMMUNITY,990764424,5,Los ,COVERED,= Water and Power Community Credit Union,✓ covered — Water and Power Community Credit Union
68503,FIRST CITY,952449258,7,Los ,COVERED,= First City Credit Union,✓ covered — First City Credit Union
9296,SUN COMMUNITY,896540774,2,Rive,COVERED,= Sun Community Federal Credit Union,— not in main table
6248,SKYONE,875824070,2,Los ,COVERED,= SkyOne Federal Credit Union,— not in main table
68062,AMERICA'S CHRISTIAN,818406188,1,Los ,COVERED,= America's Christian Credit Union,— not in main table
9071,DIRECT,789820428,1,Oran,COVERED,= U.S. Bank (direct),✓ covered — U.S. Bank (direct)
12425,FOOTHILL,772237101,5,Los +San ,COVERED,= Foothill Credit Union,— not in main table
68459,USC,719189202,5,Los ,COVERED,= USC Credit Union,— not in main table
66847,EAGLE COMMUNITY,411440538,6,Los +Oran,COVERED,= Eagle Community Credit Union,— not in main table
594,PASADENA,381308071,5,Los ,COVERED,= Pasadena Federal Credit Union,— not in main table
3526,SCHOOLS,192652276,2,Los ,COVERED,= SchoolsFirst,✓ covered — SchoolsFirst Federal Credit Union
4633,CAMINO,179244240,1,Los ,COVERED,= Camino Federal Credit Union,— not in main table
64834,CALIFORNIA LITHUANIAN,157863523,2,Los ,COVERED,= California Credit Union,✓ covered — California Credit Union
24238,CALIFORNIA ADVENTIST,46063173,1,Los ,COVERED,= California Credit Union,✓ covered — California Credit Union
20720,L. A. MISSION,8606027,1,Los ,COVERED,= Mission Federal Credit Union,— not in main table
16570,LOS ANGELES LEE,644510,2,Los ,COVERED,= Los Angeles Federal Credit Union,— not in main table
