Rec Rank,Rec Pick #,Bank,Type,SoCal Priority,Meets Gold?,ChexSystems (deposit),EWS (deposit),Mentor List,Card Category,Est. Credit Limit,Assets,Deposits,CA Footprint,CA Presence,Self-UW?,Business Card?,Underwriter,Apply,How to Apply,Website,Biz Card Link,HP Bureau,Reports To (biz bureaus),Approval Info & Limits (+link),No-Doc Fit (/5),PG / Tax Returns,Other No-Doc Funding,Deposit Acct?,Best For,Card Products,Region / Metro,City (HQ),Asset Rank,Confidence / Date,Sources
34,34,"American Plus Bank, N.A.",CA Bank,★ Core SoCal,3/4  ✗SUW ✓Onl ✓SoCal ✓Card,N/M,N/M,,C — Other agent card,N/M (TIB; financials typically required $10K+),$0.89B,N/M,~4 CA branches (Arcadia HQ + SGV); CDFI; Chinese-American (founded 2007),CA-HQ'd,No,✅ TIB Visa (Platinum Cash Rewards consumer; Charge Company Rewards business); terms N/M,TIB,Online,Online — apply at https://bankaplus.com/Credit-Cards,https://bankaplus.com,https://bankaplus.com/Credit-Cards,Experian/TU (TIB; INFERENCE),"N/M (TIB; biz-only reporting per forum, unconfirmed here)","TIB Community Card program (mycommunitycc.com portal); no AF typical, ~25-day grace (unverified for this program). No bank-specific DPs.",3,PG likely (TIB standard); docs N/M,None (commercial LOC/CRE/construction/SBA/trade full-doc),N/M,★ No-doc card — apply online,Visa Platinum Cash Rewards (consumer); Visa Charge Company Rewards (business) — TIB Community Card suite,SoCal / LA (San Gabriel Valley),Arcadia,65,"MED-HIGH issuer=TIB (mycommunitycc.com portal)/online/SGV; N/M terms, HP, reports. 2026-05-29",bankaplus.com/Credit-Cards; mycommunitycc.com (TIB portal); FDIC cert 58469
35,35,Orange County's Credit Union,Credit Union,★ Core SoCal,3/4  ✓SUW ✗Onl ✓SoCal ✓Card,N/M,N/M,,B — Self-UW (in branch),N/M (no bank-specific data point found),~$2.5B,—,OC branches + Chino; ~$2.5B,CA-HQ'd,Yes,✅ Business Mastercard; SELF-issued (payments to own Santa Ana PO Box; no external creditor); terms N/M,Self (Orange County's CU),In-person,Visit branch / contact a banker (no online application),https://www.orangecountyscu.org,https://www.orangecountyscu.org/products/business-services/,"Experian (consumer loans, own FAQ; biz N/M)",N/M,BLOC referenced in checking fee-waiver text (no product page). Light census 2026-06-10.,2,N/M,None published,Membership OPEN: American Consumer Council / Community Impact Fund paths; serves OC/LA/Riverside/SB,Self-UW biz MC; ACC open join; branch-apply,Business Mastercard Credit Card,SoCal / Orange County (+Chino SB),"Santa Ana, CA",CU,MED-HIGH self/EX-consumer/ACC-open/branch-apply. Light census 2026-06-10,orangecountyscu.org business-services + FAQ (Experian KB218) + contact
36,36,Christian Community Credit Union (AdelFi),Credit Union,★ Core SoCal,3/4  ✓SUW ✗Onl ✓SoCal ✓Card,N/M,N/M,,B — Self-UW (in branch),N/M (no bank-specific data point found),~$0.89B (combined),—,San Dimas + Brea,CA-HQ'd,Yes,✅ 'Gives to Missions' Visa Business Rewards: 1.5% cash back; $300/$3K bonus; SELF-issued. Merged w/ AdelFi 2025-12-01 (~$885M combined; AdelFi brand by mid-2026),Self (CCCU charter continues),Assisted,Staff-assisted (phone appointment / DocuSign; not instant),https://www.adelfibanking.com,https://www.adelfibanking.com/ministry/ministry-credit-cards/,N/M,N/M,Ministry LOCs need 3yr financial statements (churchlend.com) — biz-card docs N/M. Light census 2026-06-10.,2,N/M,None published,"Membership: Christians (statement of faith) — individuals, churches, ministries, Christian-owned businesses, US-wide (open-ish)",No-doc card — apply in branch,Gives to Missions Visa Business Rewards (1.5%),SoCal / LA (San Dimas HQ) + OC (Brea AdelFi),"San Dimas, CA",CU,MED-HIGH self/products/merger-flux. Light census 2026-06-10,adelfibanking.com ministry-credit-cards + business-lines-of-credit; cutimes.com 2025-12-03
37,37,Truist,National,National (lends in CA),3/4  ✓SUW ✓Onl ✗SoCal ✓Card,Yes — personal (DoC 2025-08-07; ~2026-03 DP); one DP: business in-branch SKIPPED Chex (2025-10-17),Yes — pulls (EWS co-owner; predecessor biz DP 2019-01-12; DP 2026-05-22),,A — Self-UW (online),~$10K (EQ 754); $25K seen; combined stacks ~$18K–$72K  [myFICO #6741527],~$548B,—,SE/Mid-Atlantic + new TX (Austin/Dallas); NO California branches,⚠ Needs local branch/account — minimal/no CA retail (likely NOT reachable),Yes,"✅ Business Card 0% 12 cyc, $0 AF (best); Cash Rewards 0% 9cyc; Visa Infinite ($299) branch-only",Self (Truist Bank),Online,Online — apply at https://businesscreditcard.digitalcommerce.truist.com/product/SBL,https://www.truist.com/small-business/credit-cards/compare,https://businesscreditcard.digitalcommerce.truist.com/product/SBL,Equifax (exclusively),Personal: N/M (Truist absent from DoC list). Business: N/M,"Equifax-ONLY HP, per app; SOFT-pull pre-qual path exists. Friendly velocity (approved 6yr LLC then startup LLC ~1wk later). Limits ~$10K (EQ 754), $25K seen; combined ~$18-72K stacks. myfico.com #6741527 / #6650127",4,"PG yes (Guarantor, for-profit); NO tax returns (Equifax-driven)",LOC/term/SBA = doc-based (not no-doc),No (recommended for Loyalty Cash Bonus),★ ⚠ No CA branches — likely not reachable from CA,"Business Cash Rewards, Business Travel ($49), Business Premium Visa Infinite ($299, branch-only), Business Card (0%)",National — NO CA branches (SE/Mid-Atlantic + TX); CA online eligibility UNVERIFIED,"Charlotte, NC",Natl,"HIGH self/lineup/HP=Equifax/no-CA-branches; LOW CA online eligibility, personal/biz reporting (N/M). 2026-05-28",truist.com/small-business/credit-cards; businesscreditworkshop.me; myfico.com #6741527; media.truist.com (Visa Infinite)
38,38,MidFirst Bank,Regional,★ Core SoCal,3/4  ✓SUW ✗Onl ✓SoCal ✓Card,"Yes — pulls, 4 DPs (DoC 2025-08-07)",N/M,,B — Self-UW (in branch),N/M (no bank-specific data point found),N/M,N/M,3 LA branches (FDIC SOD 2025); largest private US bank,N/M,Yes,✅ Business Credit Card / Business Rewards / Business Secured ($35 AF); terms N/M,Self (MidFirst Bank — no third-party portal),In-person,Visit branch / contact a banker (no online application),https://www.midfirst.com,https://www.midfirst.com/business-and-commercial/card-solutions/credit,N/M,N/M,Self-issued lineup incl. secured tier. Commercial LOC $1M–$30M+ (separate tier). Light census 2026-06-10.,2,N/M,None published,N/M (relationship bank),"Self-UW, branch-apply (3 LA branches)",Business Credit Card; Business Rewards; Business Secured ($35 AF),SoCal / LA (3 branches; OK-HQ'd),"Oklahoma City, OK",Reg,"MED-HIGH self/branch-apply; N/M terms, HP. Light census 2026-06-10","midfirst.com/business-and-commercial/card-solutions/credit; DoC Chex list 2025-08-07 (pulls, 4 DPs)"
39,39,Banner Bank,Regional,Other — West Coast — CA,2/4  ✓SUW ✗Onl ✗SoCal ✓Card,"Yes — pulls, sensitive (Unchex; BankDealGuy reader DP 2026-01-27); BankOn 'Digital Account' = fallback",N/M,"TU #1 (mentor — publicly N/M; plausible, unverified)",B — Self-UW (in branch),N/M (no bank-specific data point found),~$16.56B,—,HQ Walla Walla; ~135 branches; ~30 CA branches (ex-AmericanWest/AltaPacific acquisitions),Major CA (branches + lending),Yes,"✅ Business Platinum Mastercard: 0% 12mo, $0 AF; Business Cash Rewards; + commercial",Self (Banner Bank),In-person,Download PDF application → bring to branch (full PG underwriting),https://www.bannerbank.com/business-solutions/services/small-business-credit-card,https://www.bannerbank.com/business-solutions/services/small-business-credit-card/business-platinum-mastercard,"N/M public — mentor DP (2026-06, unverified): TransUnion",N/M,Download PDF application -> bring to branch. No forum data.,2,PG YES (joint & several) + full underwriting (Tax ID + gross revenue + guarantor SSN/income/net worth + bureau pull),None (full-doc card; commercial lending full-doc),N/M,No-doc card — apply in branch,"Business Platinum Mastercard, Business Cash Rewards Mastercard; Commercial / Commercial Rewards",West Coast — CA/WA/OR/ID (~30 CA branches),"Walla Walla, WA",Reg,HIGH self/products/0%-12mo/PG-full-underwrite/CA-footprint; apply N (paper->branch). 2026-05-28,"bannerbank.com/.../business-platinum-mastercard + application PDF (issuer=self, PG); FDIC cert 28489"
40,40,Infinity Bank,CA Bank,★ Core SoCal,3/4  ✗SUW ✓Onl ✓SoCal ✓Card,"N/M (no disclosure, no DPs — ask the banker)",N/M,,C — Other agent card,N/M (ServisFirst; no published limit / forum DP),$0.39B,N/M,"Single branch (Santa Ana, OC); Infinity Bancorp; est 2018",CA-HQ'd,No,✅ no 0%; ~16.75% (Cash Back) / 18.75% (Platinum) var; $79 / $0 AF; 1% cash back to $1K/yr,ServisFirst Bank (agent program),Online,Online — apply at https://app.ccdepartment.com/Credit/credit?name=GoInfinityBank193,https://www.infinity.bank,https://app.ccdepartment.com/Credit/credit?name=GoInfinityBank193,N/M (personal pull on guarantor; bureau not named),N/M (SBFE/biz reporting not disclosed),ServisFirst Agent Bank Card Program (app.ccdepartment.com) — portal states verbatim 'issued by ServisFirst Bank'; bank disclosure PDF titled 'Servis-First-Business-Credit...'. App requires signed guarantee + financials (P&L/income stmt/balance sheet OR tax return — one of). CORRECTION: prior 'Elan' tag was a subagent mis-ID. No forum DPs.,3,PG yes (signed guarantee required); NO tax returns mandated (financials OR return accepted),None (business LOC/merchant services full-doc),N/M,★ No-doc card — apply online,"Business Platinum Cash Back Rewards ($79 AF, 1% to $1K/yr); Business Platinum ($0 AF) — Visa via ServisFirst",SoCal / Orange County,Santa Ana,90,"HIGH issuer=ServisFirst (portal disclosure + Servis-First PDF, triple-confirmed)/online/OC/terms; N/M HP, reports, limit. 2026-05-29",infinity.bank/.../business-credit-cards; app.ccdepartment.com (ServisFirst disclosure); cms...Servis-First-Business-Credit-CRD-Application-Disclosures.pdf; aba.com (ServisFirst Agent Bank program); FDIC cert 59098
41,,City National Bank,CA Bank,★ Core SoCal,2/4  ✓SUW ✗Onl ✓SoCal ✗Card,N/M,N/M,,Commercial-only,—,$99.95B,$81.07B,~75 offices SoCal + SF Bay Area; RBC-owned,CA-HQ'd,Yes,⚠️ Commercial only — Visa Commercial/Crystal; no 0%; $50/$400 AF; branch only,Self,In-person,Branch only (commercial Visa; relationship),https://www.cnb.com,https://www.cnb.com/business-banking/lending/credit-cards/commercial.html,Experian (personal Crystal card; biz N/M),N/M,N/M for biz card (forum data is for personal Crystal Visa Infinite only),0,PG + Personal Financial Statement + tax returns (full-doc),None (LOC/SBA/ABL full-doc),N/M (relationship expected),Commercial / full underwriting,Visa Commercial; Visa Crystal Commercial (corporate),SoCal / LA,Los Angeles,1,HIGH self-issuer/commercial/no-online. 2026-05-28,cnb.com commercial + crystal pages; Commercial-Credit-Card Agreement PDF
42,41,KeyBank,Regional,National (lends in CA),3/4  ✓SUW ✓Onl ✗SoCal ✓Card,Yes — pulls (DoC 2025-08-07; Crediful 2025-10-22),Yes — mixed 2-yes/1-no (DoC EWS list),EQ #2 (mentor ✓ matches our EQ; but NO CA retail — reachability conflict),A — Self-UW (online),Modest biz $3K–$4K DP; soft-pull EQ; CLIs after 6mo  [myFICO #5345434],~$184B,—,"~940 branches/15 states; CA = commercial banking (LA/Newport/SD), negligible retail",⚠ Needs local branch/account — minimal/no CA retail (likely NOT reachable),Yes,"✅ Business Rewards / Cash Rewards / Business MC: 0% 6 cycles, $0 AF","Self (KeyBank NA; self-issues since 2012, ex-Elan)",Online,Online — apply at https://www.key.com/small-business/banking/credit-cards/card-comparison.html,https://www.key.com/small-business/banking/credit-cards/card-comparison.html,https://www.key.com/small-business/banking/credit-cards/card-comparison.html,Equifax (SOFT pull reported for some / existing customers),Personal: NEVER (FAQ confirmed). Business: SBFE likely (N/M),Soft-pull Equifax common (esp. existing customers); relationship-gated. Biz limits modest ($3-4K DP); consumer high ($25K+$32.5K dual). CLIs after 6mo. myfico.com #5345434 / #1073204,5,PG likely (INFERENCE); no tax returns for cards,Business LOC/term = full-doc. Cards NEVER report to personal = strong keep-off-personal play.,No to apply (relationship helps),★ ⚠ Minimal CA retail — great no-doc IF you have a relationship,"KeyBank Business Rewards MC, Business Cash Rewards MC, Business MC","National — CA commercial presence (expanded SoCal 2024), minimal CA retail","Cleveland, OH",Reg,HIGH self/no-personal-reporting (FAQ)/soft-pull-EQ; MED apply-online (relationship-gated). 2026-05-28,key.com/small-business/.../credit-cards + business-credit-card-faq (no personal reporting); crainscleveland.com (self-issue since 2012); cardright.com (Equifax); myfico.com #5345434
43,42,Mission Valley Bank,CA Bank,★ Core SoCal,3/4  ✗SUW ✓Onl ✓SoCal ✓Card,N/M,N/M,,D — TCM agent,"N/M (TCM; conservative, Experian-driven)",$0.77B,N/M,LA County; Sun Valley HQ + Santa Clarita branch,CA-HQ'd,No,✅ TCM business Visa; terms N/M (see Summary of Credit Terms at app); 1pt/$1 typical,"TCM Bank, N.A.",Online,Online — apply at https://www.mycommunitycc.com/A0oVKGkHmrYt,https://www.missionvalleybank.com,https://www.mycommunitycc.com/A0oVKGkHmrYt,Experian (TCM),N/M (TCM; biz bureaus/SBFE typical),TCM platform: Experian pull (apps + CLIs); SBA-eligible only; conservative. myfico.com #6303273,3,PG likely; SBA-eligible only; no tax returns at app,None (SBA/AR financing/BusinessManager/LOC/term/equipment/CRE full-doc),N/M,★ No-doc card — apply online,TCM business Visa (rewards/cash-back variants; names not enumerated),SoCal / LA (San Fernando Valley),Sun Valley,71,"HIGH issuer=TCM (own page quote)/online/SFV; N/M terms, HP forum-only, reports. 2026-05-29","missionvalleybank.com/card-services ('issued by TCM Bank, N.A.'); mycommunitycc.com; FDIC cert 57101"
44,43,GBC International Bank,CA Bank,★ Core SoCal,3/4  ✗SUW ✓Onl ✓SoCal ✓Card,N/M,N/M,,D — TCM agent,"N/M (TCM; conservative, Experian-driven)",$0.68B,N/M,"8 offices, all SoCal/LA; Chinese-American + trade finance; SBA Preferred Lender",CA-HQ'd,No,✅ TCM business Visa; terms N/M; $0 AF likely,"TCM Bank, N.A.",Online,Online — apply at https://www.mycommunitycc.com/k7OgnYPt1fSE,https://www.gbcib.com,https://www.mycommunitycc.com/k7OgnYPt1fSE,Experian (TCM; BBB DPs),N/M (TCM; biz bureaus typical),TCM platform: Experian pull (apps + CLIs); SBA-eligible only; conservative. myfico.com #6303273,3,PG likely; SBA-eligible only,None (BELOC real-estate-secured / SBA / Ex-Im / LC / CRE full-doc),N/M,★ No-doc card — apply online,GBC-branded TCM business Visa (names not enumerated),SoCal / LA,Los Angeles,74,"MED-HIGH issuer=TCM (mycommunitycc.com portal + mycardstatement.com)/online/LA; N/M terms, reports. 2026-05-29",gbcib.com/business; mycommunitycc.com/k7OgnYPt1fSE; tcmbank.com; FDIC cert 22366
45,44,Banc of California,CA Bank,★ Core SoCal,3/4  ✗SUW ✓Onl ✓SoCal ✓Card,"Yes — weak single source (Unchex, undated); verify in branch",N/M,,E — Elan agent,"Elan platform: ~$3K–$10K start, to ~$20K strong files (~$500 seen at 800+ FICO)  [myFICO #6658960]",$34.64B,$27.44B,"~80 CA branches; LA County, Orange County, San Diego (merged PacWest)",CA-HQ'd,No,✅ 0% 20 cycles → ~17-26% var; $0 AF (BEST 0% in set),Elan,Online,Online — apply at https://bancofcal.com/payment-solutions/business-credit-card/,https://bancofcal.com,https://bancofcal.com/payment-solutions/business-credit-card/,TransUnion (varies EX/EQ),D&B; not personal in good standing,Elan platform: starts ~$3-10K (to $20K strong files; ~$500 seen even at 800+ FICO). PG required; ~2yr TIB preferred not required; D&B profile helps. Multiple cards same day = SEPARATE hard pull each (no 1-HP-multi). Don't check 'balance transfer' on app (=low limit). myfico.com #6658960 / #6308920 / #6244031,3,PG yes; no tax returns (<$25K),None (SBA/LOC/term full-doc),No,Longest 0% — 20 billing cycles (Elan),Business Card (0% 20 cyc); Business Cash Card (3/2/1%),SoCal / LA,Los Angeles,3,HIGH issuer/PG/0%-20cyc/apply/$0AF; N/M go-to APR. 2026-05-28,bancofcal.com business credit card page; online1.elancard.com STD_BIZ.pdf; hustlermoneyblog.com
46,45,Mega Bank,CA Bank,★ Core SoCal,3/4  ✗SUW ✓Onl ✓SoCal ✓Card,N/M,N/M,,D — TCM agent,"N/M (TCM; conservative, Experian-driven)",$0.47B,N/M,"4 CA branches (San Gabriel HQ, Arcadia, Hacienda Heights); est 2008; Chinese-American",CA-HQ'd,No,✅ TCM business + personal Visa; terms N/M; $0/low AF likely,"TCM Bank, N.A.",Online,Online — apply at https://www.mycommunitycc.com/vsqcwJmaxwd7,https://www.megabankusa.com,https://www.mycommunitycc.com/vsqcwJmaxwd7,Experian (TCM),N/M (TCM),TCM platform (mycommunitycc.com): Experian pull; SBA-eligible only; conservative. myfico.com #6303273,3,PG likely; SBA-eligible only,None (CRE/construction/commercial/small-business full-doc),N/M,★ No-doc card — apply online,"TCM business Visa ('Administered by TCM Bank, N.A.'; names not enumerated)",SoCal / LA (San Gabriel Valley),San Gabriel,80,"HIGH issuer=TCM (own page 'Administered by TCM Bank')/online/SGV; N/M terms, reports. 2026-05-29",megabankusa.com/Other-Services; mycommunitycc.com/vsqcwJmaxwd7; FDIC cert 58401
47,46,Home Bank of California,CA Bank,★ Core SoCal,3/4  ✗SUW ✓Onl ✓SoCal ✓Card,N/M,N/M,,D — TCM agent,"N/M (TCM; conservative, Experian-driven)",$0.25B,N/M,"Single branch (San Diego, Ruffin Rd); est 1981",CA-HQ'd,No,"✅ TCM business Visa + Company Rewards Charge ($0 AF, 1pt/$1 no cap); terms N/M","TCM Bank, N.A.",Online,Online — apply at https://www.mycommunitycc.com/uJU63OjSlxHb,https://www.hbc.bank,https://www.mycommunitycc.com/uJU63OjSlxHb,Experian (TCM; BBB DPs),N/M (TCM),TCM platform (mycommunitycc.com): Experian pull; SBA-eligible only; conservative. myfico.com #6303273,3,PG likely; SBA-eligible only,None (SBA/CRE/term/LOC full-doc),N/M,★ No-doc card — apply online,"TCM business Visa (multiple) + Company Rewards Charge Card ($0 AF, 1pt/$1 uncapped, free employee cards)",SoCal / San Diego,San Diego,98,"HIGH issuer=TCM (own page 'issued by TCM Bank, N.A.')/online/San Diego/products; N/M APR, reports. 2026-05-29",hbc.bank/business/.../business-credit-cards + /company-rewards-charge-card; mycommunitycc.com; FDIC cert 26271
48,47,Comerica Bank,National,National (lends in CA),2/4  ✗SUW ✓Onl ✗SoCal ✓Card,N/M,N/M,,E — Elan agent,$25K starting (Elan DP); declined 3rd Elan card  [creditboards #632782],~$79B,—,"TX/MI/CA/FL/AZ; CA core market. NOTE: acquired by Fifth Third Bank (closed Feb 1, 2026) — program in transition",Major CA (branches + lending),No,✅ Elan Mastercards (Business Cash 0% 12cyc; Smart Business Rewards $95 after yr1),Elan,Online,Online — apply at https://branchoffer.com/11t1/smart-business-rewards,https://www.comerica.com/small-business/banking-and-services/business-credit-cards.html,https://branchoffer.com/11t1/smart-business-rewards,TransUnion-lean (Elan; varies EX/EQ),Personal: only on default. Business: SBFE,Elan platform. Comerica DP: $25K starting limit. Declined on 3rd Elan card ('sufficient available credit'); Elan rep says no hard cap (cited a customer w/ 13 Elan accounts). creditboards.com #632782 / myfico.com #6478775,3,PG yes; NO tax returns,None (commercial LOC/SBA doc-based),N/M (relationship path),No-doc 0% card — apply online (Elan),"Mastercard Business Platinum, Real Rewards, Rewards PLUS, Smart Business Rewards; + Visa Secured",National — major CA market since 1983,"Dallas, TX",Natl,HIGH issuer=Elan (NOT self)/PG/personal-default-only; MED Comerica-branded terms; flag Fifth Third acquisition. 2026-05-28,comerica.com business credit cards; online1.elancard.com COMERICA_CLIENT_SEC.pdf; creditboards.com #632782; 53.com (acquisition)
49,48,Cathay Bank,CA Bank,★ Core SoCal,3/4  ✗SUW ✓Onl ✓SoCal ✓Card,N/M,N/M,,E — Elan agent,"Elan platform: ~$3K–$10K start, to ~$20K strong files (~$500 seen at 800+ FICO)  [myFICO #6658960]",$24.04B,$20.70B,"~43 branches/37 cities; LA/SGV, SF Bay, Orange County",CA-HQ'd,No,✅ 6-mo intro; 1% cash back; APR N/M,Elan,Online,Online — apply at https://www.mycardapply.com/synindex/?ecdma-lc=36055&ecid=OTHE_25940#business,https://www.cathaybank.com,https://www.mycardapply.com/synindex/?ecdma-lc=36055&ecid=OTHE_25940#business,TransUnion (varies EX/EQ),D&B; not personal in good standing,Elan platform: starts ~$3-10K (to $20K strong files; ~$500 seen even at 800+ FICO). PG required; ~2yr TIB preferred not required; D&B profile helps. Multiple cards same day = SEPARATE hard pull each (no 1-HP-multi). Don't check 'balance transfer' on app (=low limit). myfico.com #6658960 / #6308920 / #6244031,3,PG yes; no tax returns (<$25K),Smart Loans (simplified-doc LOC) $5K-$250K by time-in-biz,N/M (not required to apply),Smart Loans: simplified-doc LOC (Elan),MC Business Platinum; MC Business Platinum Rewards (1% cash back),SoCal / LA,Los Angeles,5,"HIGH relevance/issuer/online/6mo-intro/1%; N/M APR, AF. 2026-05-28",cathaybank.com/business/credit-cards; mycardapply.com; cathaybank.com smart-loans
50,49,Patelco Credit Union,Credit Union,Other — NorCal,2/4  ✓SUW ✗Onl ✗SoCal ✓Card,N/M,N/M,,B — Self-UW (in branch),N/M (no bank-specific data point found),~$9.52B,—,16 NorCal/Central counties + nationwide via FFA; ~35 branches,CA-HQ'd,Yes,✅ Mastercard Business Rewards: NO 0% intro; 10.65-20.15% (LOW); $0 AF; 1.5pts. 2yr-in-business required,Self (Patelco Credit Union),Assisted,Virtual Branch (staff-assisted),https://www.patelco.org/business-banking/business-rewards-card,https://www.patelco.org/business-banking/business-rewards-card,Experian (personal cards; business INFERENCE),⚠️ Personal: ALWAYS (reports to BOTH personal + business credit). Business: D&B/EX-Biz/EQ-Biz,"Apply via Virtual Branch (staff-assisted). 2yr-business required. Personal-card DPs: $25K approvals, Experian, generous CLIs. Business-card DPs N/M.",0,PG yes (INFERENCE); no tax returns,None. Card reports to personal credit (weak for keep-off-personal). Low APR is the draw.,"Membership required (16 NorCal counties + family; OPEN nationwide via Financial Fitness Assoc, Patelco pays yr1)",Low APR but reports to personal,"Patelco Mastercard Business Rewards (low-rate, 1.5 pts)",NorCal / SF Bay (16-county FOM),"Dublin, CA",CU,HIGH self/low-APR/membership; ⚠️ reports to PERSONAL credit always. 2026-05-28,patelco.org/business-banking/business-rewards-card + T&C PDF; /how-do-business-credit-cards-work (personal+business reporting); /become-a-member (FFA); myfico.com #6585690
51,50,SAFE Credit Union,Credit Union,Other — NorCal,2/4  ✓SUW ✗Onl ✗SoCal ✓Card,N/M,N/M,,B — Self-UW (in branch),N/M (no bank-specific data point found),~$5B,—,13 NorCal counties + family / Aerospace Museum path; ~20 branches,CA-HQ'd,Yes,✅ SAFE Visa Business: 0% 12mo BT promo; 13.40-19.40%; $0 AF; ScoreCard points,Self (SAFE Credit Union),In-person,Phone appointment (no online form),https://www.safecu.org/business/grow-your-business/visa-business,https://www.safecu.org/business/grow-your-business/visa-business,N/M business (TransUnion for personal/membership),Negative/default reporting (personal); business bureaus N/M,Apply via phone appointment (no online form). PG explicit; financials on request (Sec 23). Membership-gated.,2,PG YES (explicit guaranty) + financials on request — NOT fully no-doc,None (PG + financials-on-request clause),Membership required (13 NorCal counties + family; Aerospace Museum 'anyone can join' path),No-doc card — apply in branch,SAFE Visa Business Credit Card,NorCal / Sacramento (13-county FOM),"Folsom, CA (Sacramento metro)",CU,"HIGH self/terms/PG-explicit/membership; MED 0%-BT-promo, HP. Financials-on-request = not pure no-doc. 2026-05-28","safecu.org/business/grow-your-business/visa-business + Business Credit Card Agreement PDF (PG, Sec 23 financials); /about/join-safe; dfpi.ca.gov"
52,51,Icon Business Bank,CA Bank,★ Core SoCal,3/4  ✗SUW ✓Onl ✓SoCal ✓Card,N/M,N/M,,D — TCM agent,"N/M (TCM; conservative, Experian-driven)",$0.16B,N/M,Riverside HQ (IE) + Santa Ana (OC); de novo est Aug 2023; Icon Bcorp,CA-HQ'd,No,✅ TCM business + personal Visa; terms N/M; $0/low AF likely,"TCM Bank, N.A.",Online,Online — apply at https://www.mycommunitycc.com/lSp9OsZX4zOr,https://www.iconbusinessbank.com,https://www.mycommunitycc.com/lSp9OsZX4zOr,Experian (TCM),N/M (TCM; biz bureaus/SBFE typical),TCM Agent Program (mycommunitycc.com): Experian pull; SBA-eligible only; PG-based. myfico.com #6303273,3,PG likely; SBA-eligible only,None (unsecured LOC/term/ABL/equipment/CRE/CELOC/SBA 504/7(a) full-doc),N/M,★ No-doc card — apply online,TCM business Visa (via mycommunitycc.com; SKUs N/M),SoCal / Inland Empire,Riverside,109,"MED-HIGH issuer=TCM (mycommunitycc.com portal)/online/Inland Empire; N/M terms, HP, reports. 2026-05-29",iconbusinessbank.com (homepage credit-cards link); mycommunitycc.com/lSp9OsZX4zOr; icba.org TCM; FDIC cert 59314
53,52,Citizens Business Bank,CA Bank,★ Core SoCal,3/4  ✗SUW ✓Onl ✓SoCal ✓Card,N/M,N/M,,E — Elan agent,"Elan platform: ~$3K–$10K start, to ~$20K strong files (~$500 seen at 800+ FICO)  [myFICO #6658960]",$15.51B,$12.00B,CA-only; ~64 branches/57 cities statewide,CA-HQ'd,No,✅ 0% 12 cycles → 17.24-26.24%; $0 AF,Elan,Online,Online — apply at https://creditcardlearnmore.com/11t3/index?ecdma-lc=26893&ecid=OTHE_25940#business,https://www.cbbank.com,https://creditcardlearnmore.com/11t3/index?ecdma-lc=26893&ecid=OTHE_25940#business,TransUnion (varies EX/EQ),D&B; not personal in good standing,Elan platform: starts ~$3-10K (to $20K strong files; ~$500 seen even at 800+ FICO). PG required; ~2yr TIB preferred not required; D&B profile helps. Multiple cards same day = SEPARATE hard pull each (no 1-HP-multi). Don't check 'balance transfer' on app (=low limit). myfico.com #6658960 / #6308920 / #6244031,3,PG yes; no tax returns (<$25K),None (SBA/LOC need biz tax returns),No,No-doc 0% card — apply online (Elan),'Mastercard Business Card' = Elan suite (Cash Preferred/Smart/Real Rewards),SoCal / Inland Empire,Ontario,8,HIGH relevance/issuer/online/PG/footprint. 2026-05-28,cbbank.com/business-cards; creditcardlearnmore.com; cbbank.com/sba-lending
54,53,Community West Bank,CA Bank,Other — Central Valley,2/4  ✗SUW ✓Onl ✗SoCal ✓Card,N/M,N/M,,C — Other agent card,"TIB: $10K+ needs financials (flat-priced, not FICO-risk)  [myFICO #5028638]",$3.70B,$3.15B,Central Valley + Central Coast (Central Valley Community Bancorp merger 2024),CA-HQ'd,No,✅ no 0%; ~19.5% (Prime+10.99%); $0/$49 AF,TIB,Online,Online — apply at https://www.cardaccount.net/application/f87a3255c0/business/new,https://www.communitywestbank.com,https://www.cardaccount.net/application/f87a3255c0/business/new,Experian,N/M (TIB not on DoC list),TIB: pulls Experian incl. CLIs (CLI=hard pull); $10K+ needs financials; flat pricing (not FICO-risk-priced). myfico.com #5028638,3,PG yes; financials required $10K+ (sub-$10K light-doc),N/M (TIB card <$10K is the light-doc path),N/M,★ No-doc card — apply online,Standard Business Card ($0 AF); Preferred Points Business Rewards ($49 AF),Central Valley / Central Coast,Fresno,31,"HIGH products/issuer (TIB)/APR/fees/HP=Experian; N/M reports, deposit. 2026-05-28",communitywestbank.com/business-credit-cards; cardaccount.net/application/f87a3255c0; myfico.com #5028638
