Rank_by_distance,Institution,Type,Nearest_branch_address,Distance_miles,CERT_or_Charter,HQ_City_State,Total_Assets,Total_Deposits,Branches_within_5mi,In_v6_table,Found_by,Source_links
12,SOUTHLAND,CU,"1050 Linden Ave, Long Beach, CA 90813",1.14,Charter 68415,"Los Alamitos, CA",$1.29B,$1.07B,3,No,NCUA+OSM+web,"NCUA call report 2026-03 FS220 (ACCT_010/ACCT_018), CU_NUMBER 68415; https://www.openstreetmap.org/node/11097280352"
13,"Bank of America, National Association",Bank,"2000 E Anaheim St, Long Beach, CA 90804",2.11,CERT 3510,"Charlotte, NC",$2.67T,$2.13T,6,Yes — Bank of America,SOD+OSM,"https://api.fdic.gov/banks/institutions?filters=CERT:3510&fields=NAME,ASSET,DEP; FDIC SOD 2025 (local sod_2025_*.json); https://www.openstreetmap.org/way/441332163"
14,First-Citizens Bank & Trust Company,Bank,"3500 E 7th St, Long Beach, CA 90804",2.82,CERT 11063,"Raleigh, NC",$235.52B,$171.45B,1,Yes — First Citizens Bank,SOD+OSM,"https://api.fdic.gov/banks/institutions?filters=CERT:11063&fields=NAME,ASSET,DEP; FDIC SOD 2025 (local sod_2025_*.json); https://www.openstreetmap.org/way/441069456"
15,WESCOM CENTRAL,CU,"2600 Cherry Ave, Signal Hill, CA 90755",3.15,Charter 66703,"Pasadena, CA",$6.47B,$4.40B,1,Yes — Wescom Credit Union,NCUA,"NCUA call report 2026-03 FS220 (ACCT_010/ACCT_018), CU_NUMBER 66703"
16,LBS FINANCIAL,CU,"4341 E 10th St, Long Beach, CA 90804",3.39,Charter 68460,"Long Beach, CA",$2.19B,$1.90B,3,Yes — LBS Financial Credit Union,NCUA+OSM+web,"NCUA call report 2026-03 FS220 (ACCT_010/ACCT_018), CU_NUMBER 68460; https://www.openstreetmap.org/way/350394438"
17,SCHOOLSFIRST,CU,"4725 E 2nd St Ste D, Long Beach, CA 90803",3.53,Charter 24212,"Santa Ana, CA",$36.74B,$31.59B,1,Yes — SchoolsFirst Federal Credit Union,NCUA+OSM,"NCUA call report 2026-03 FS220 (ACCT_010/ACCT_018), CU_NUMBER 24212; https://www.openstreetmap.org/node/5636407827"
18,LONG BEACH CITY EMPLOYEES,CU,"2801 Temple Ave, Signal Hill, CA 90755",3.65,Charter 1438,"Signal Hill, CA",$279.3M,$235.3M,2,No,NCUA+web,"NCUA call report 2026-03 FS220 (ACCT_010/ACCT_018), CU_NUMBER 1438"
19,VA DESERT PACIFIC,CU,"2845 Temple Ave, Signal Hill, CA 90755",3.68,Charter 5530,"Long Beach, CA",$99.0M,$77.8M,2,No,NCUA,"NCUA call report 2026-03 FS220 (ACCT_010/ACCT_018), CU_NUMBER 5530"
20,I.L.W.U.,CU,"3447 Atlantic Ave, Long Beach, CA 90807",3.69,Charter 24916,"Long Beach, CA",$601.9M,$546.9M,2,No,NCUA,"NCUA call report 2026-03 FS220 (ACCT_010/ACCT_018), CU_NUMBER 24916"
21,POSTCITY FINANCIAL,CU,"2371 Grand Ave, Long Beach, CA 90809",3.76,Charter 86063,"Long Beach, CA",$78.2M,$68.7M,1,No,NCUA,"NCUA call report 2026-03 FS220 (ACCT_010/ACCT_018), CU_NUMBER 86063"
22,SELF-HELP,CU,"1000 N Avalon Blvd, Wilmington, CA 90744",3.78,Charter 24802,"Durham, NC",$2.41B,$1.74B,1,Yes — Self-Help Federal Credit Union,NCUA,"NCUA call report 2026-03 FS220 (ACCT_010/ACCT_018), CU_NUMBER 24802"
23,ORANGE COUNTY'S,CU,"1802 Ximeno Ave, Long Beach, CA 90815",3.81,Charter 24981,"Santa Ana, CA",$3.07B,$2.58B,1,Yes — Orange County's Credit Union,NCUA+OSM+web,"NCUA call report 2026-03 FS220 (ACCT_010/ACCT_018), CU_NUMBER 24981; https://www.openstreetmap.org/node/5640778532"
24,U.S.B. EMPLOYEES,CU,"300 Falcon St, Wilmington, CA 90744",3.91,Charter 5960,"Wilmington, CA",$3.2M,$2.6M,1,No,NCUA,"NCUA call report 2026-03 FS220 (ACCT_010/ACCT_018), CU_NUMBER 5960"
25,Washington Federal Bank,Bank,"5348 E 2nd St, Long Beach, CA 90803",3.94,CERT 28088,"Seattle, WA",$27.55B,$21.24B,1,Yes — WaFd Bank,SOD+OSM,"https://api.fdic.gov/banks/institutions?filters=CERT:28088&fields=NAME,ASSET,DEP; FDIC SOD 2025 (local sod_2025_*.json); https://www.openstreetmap.org/node/5636459428"
26,United Business Bank,Bank,"3750 Kilroy Airport Way, Ste 130, Long Beach, CA 90806",4.09,CERT 57716,"Walnut Creek, CA",$2.63B,$2.27B,1,Yes — United Business Bank,SOD,"https://api.fdic.gov/banks/institutions?filters=CERT:57716&fields=NAME,ASSET,DEP; FDIC SOD 2025 (local sod_2025_*.json)"
27,LONG BEACH FIREMEN S,CU,"2245 Argonne Ave, Long Beach, CA 90815",4.19,Charter 67921,"Long Beach, CA",$204.3M,$145.6M,1,No,NCUA,"NCUA call report 2026-03 FS220 (ACCT_010/ACCT_018), CU_NUMBER 67921"
28,NUVISION,CU,"2350 E 223rd St, Carson, CA 90810",4.38,Charter 566,"Huntington Beac, CA",$3.94B,$3.30B,2,Yes — Nuvision Credit Union,NCUA+OSM,"NCUA call report 2026-03 FS220 (ACCT_010/ACCT_018), CU_NUMBER 566; https://www.openstreetmap.org/node/3046552087"
29,First Bank,Bank,"4040 Atlantic Ave, Long Beach, CA 90807",4.49,CERT 12229,"St. Louis, MO",$6.69B,$5.94B,2,No,SOD+OSM,"https://api.fdic.gov/banks/institutions?filters=CERT:12229&fields=NAME,ASSET,DEP; FDIC SOD 2025 (local sod_2025_*.json); https://www.openstreetmap.org/node/4006042552"
30,ARROWHEAD,CU,"5531 E Stearns St, Long Beach, CA 90815",4.75,Charter 24973,"Rancho Cucamong, CA",$2.91B,$2.40B,1,Yes — Arrowhead Credit Union,NCUA+OSM,"NCUA call report 2026-03 FS220 (ACCT_010/ACCT_018), CU_NUMBER 24973; https://www.openstreetmap.org/node/11799089191"
31,BOPTI,CU,"1451 S Seaside Ave, San Pedro, CA 90731",4.78,Charter 10433,"San Pedro, CA",$64.4M,$48.3M,1,No,NCUA,"NCUA call report 2026-03 FS220 (ACCT_010/ACCT_018), CU_NUMBER 10433"
32,Poppy Bank,Bank,"6290 E Pacific Coast Hwy, Long Beach, CA 90803",4.9,CERT 57903,"Santa Rosa, CA",$7.80B,$6.02B,1,Yes — Poppy Bank,SOD,"https://api.fdic.gov/banks/institutions?filters=CERT:57903&fields=NAME,ASSET,DEP; FDIC SOD 2025 (local sod_2025_*.json)"
