Bank,CERT,ICBA_member,HQ,"Nearest_to_LB(city, ~mi)","Nearest_to_Fontana(city, ~mi)",Total_Assets,Total_Deposits,Biz_card?,Underwriter_verdict(+evidence),Card_page_URL,No_doc_note,In_v6_table,Source_links
Wallis Bank,20845,VERIFIED (ICBA locator 2026-06-11),"Wallis, TX","Los Angeles, ~19.0 mi","Los Angeles, ~45.2 mi","$1,398,702K","$1,200,595K","YES - Visa Business Credit Card (rewards), terms N/M","TCM agent (NO-GO, MED confidence) - mycardstatement.com decode, 2020 archive (v6 2026-06-10)",https://www.wallisbank.com/visa-business-credit-cards/,No-doc fit 2/5 - TCM paper likely; re-verify current rail by phone,Yes,"https://directory.icba.org/14650/Wallis-Bank | https://api.fdic.gov/banks/institutions (REPDTE 2026-03-31, $K)"
HCN Bank,21606,VERIFIED (ICBA locator 2026-06-11),"Riverside, CA","Riverside, ~47.9 mi","Riverside, ~10.0 mi","$974,149K","$852,684K","YES - business cards, Prime-based APR, $0/$49 AF, Preferred Points",TIB agent (NO-GO class - bankers'-bank rail analogous to TCM) - own page disclosure (v6 2026-05-29),https://www.hcnbank.com/Business-Credit-Cards/,No-doc fit 3/5 but TIB underwrites; 5 locator offices around Riverside/Hemet - 2nd closest member cluster to Fontana,Yes,"https://directory.icba.org/117784/HCN-Bank | https://api.fdic.gov/banks/institutions (REPDTE 2026-03-31, $K)"
"Chino Commercial Bank, N.A.",35366,VERIFIED (ICBA locator 2026-06-11; listed twice - Chino/RC/Ontario + Upland),"Chino, CA","Chino, ~31.8 mi","Rancho Cucamonga, ~4.8 mi","$465,786K","$388,102K",NO business card - third-party CONSUMER card only; Unsecured Business LOC $10K-$100K instead,NO CARD (v6 re-verified 2026-05-29),,Business LOC $10K-$100K is the funding path; closest-to-Fontana member after Banner,Yes,"https://directory.icba.org/8022/Chino-Commercial-Bank-National-Association | https://api.fdic.gov/banks/institutions (REPDTE 2026-03-31, $K)"
OneUnited Bank,23966,VERIFIED (ICBA locator 2026-06-11),"Boston, MA","Compton, ~9.8 mi","Compton, ~46.1 mi","$609,027K","$481,925K",NO business card - consumer UNITY Visa secured only; small-biz lending referred to Lendistry,NO CARD (v6 2026-06-10),,n/a,Yes,"https://directory.icba.org/113319/OneUnited-Bank | https://api.fdic.gov/banks/institutions (REPDTE 2026-03-31, $K)"
Tustin Community Bank,32908,VERIFIED (ICBA locator 2026-06-11),"Tustin, CA","Tustin, ~21.8 mi","Tustin, ~31.6 mi","$86,207K","$71,352K",NO card - FDIC call reports LNCRCD=$0 four straight quarters,NO CARD (v6 re-verified 2026-06-09; dispositive call-report check),,n/a,Yes,"https://directory.icba.org/11257/Tustin-Community-Bank | https://api.fdic.gov/banks/institutions (REPDTE 2026-03-31, $K)"
"TIB, National Association",23647,VERIFIED (ICBA locator 2026-06-11; Huntington Beach office),"Farmers Branch, TX","Huntington Beach, ~12.6 mi","Huntington Beach, ~39.6 mi","$2,999,669K","$2,455,242K",NO direct-to-business card - TIB is the bankers'-bank AGENT ISSUER behind community-bank programs (cardaccount.net / mypreferredpoints.com),NO CARD direct - TIB IS an agent rail (NO-GO class when it appears as underwriter),,"n/a - correspondent bank, not retail",Yes,"https://directory.icba.org/3838/TIB-National-Association | https://api.fdic.gov/banks/institutions (REPDTE 2026-03-31, $K)"
First Foundation Bank,58647 (INACTIVE),"VERIFIED in locator 2026-06-11 but STALE - bank merged into Sunflower Bank, N.A. 2026-04-01 (FirstSun)","Irvine, CA (now Dallas, TX as Sunflower)","Los Angeles, ~19.6 mi","Big Bear Lake, ~33.4 mi","$11,343,543K (last report)","$8,783,466K (last report)",YES (legacy) - Visa/Amex serviced at myaccountaccess.com = Elan; in merger transition,Elan (NO-GO) + MERGED - no longer a community bank; ~$17B combined,https://www.firstfoundationinc.com/business-banking/business-lending/business-credit-cards,Skip - charter gone; any app now routes to Sunflower Bank,Yes,"https://directory.icba.org/121007/First-Foundation-Bank | https://www.businesswire.com/news/home/20260331761127/en/ | https://api.fdic.gov/banks/institutions (REPDTE 2026-03-31, $K)"
Premier Foundation Bank (locator artifact),none found,Listed in locator 2026-06-11 but NO FDIC record; website field = firstfoundationinc.com; 2 Running Springs offices (ex-First Foundation/Premier Business Bank sites),"Running Springs, CA (listing)","Running Springs, ~69.5 mi","Running Springs, ~21.9 mi",n/a,n/a,n/a,STALE/ARTIFACT - treat as First Foundation remnant; do not pursue,,n/a,No,https://directory.icba.org/120971/Premier-Foundation-Bank | https://api.fdic.gov/banks/institutions?search=NAME:%22Premier%20Foundation%22 (0 results 2026-06-11)
Beneficial State Bank,58490,"COMMUNITY-BANK-ONLY (not in ICBA locator within 100 mi, checked 2026-06-11)","Oakland, CA","Los Angeles (East LA, 3626 E 1st St), ~18.5 mi","Los Angeles (East LA), ~40.9 mi","$1,973,803K","$1,655,342K",YES - business card exists (CA/OR/WA); terms not yet published,SELF-ISSUER CANDIDATE - self UW on Fiserv SpendTrack platform (v6 2026-06-10),https://www.beneficialstatebank.com/,"No-doc fit 2/5 - CDFI, relationship-friendly; terms unpublished, call East LA branch",Yes,"FDIC SOD 2025 (sod_2025_Los_Angeles.json) | https://api.fdic.gov/banks/institutions (REPDTE 2026-03-31, $K)"
Fremont Bank,19222,"COMMUNITY-BANK-ONLY (not in ICBA locator, checked 2026-06-11)","Fremont, CA",no SoCal branch - online/statewide lending,no SoCal branch - online/statewide lending,"$5,915,963K","$5,269,655K","YES - Business Platinum 0% 6mo then 12.49-20.49%, $0 AF",SELF-ISSUER CANDIDATE - self UW on CorServ Apex platform (v6),https://www.fremontbank.com/,No-doc fit 3/5 - online apply statewide; best pure self-issuer paper reachable from both addresses (remote),Yes,"https://api.fdic.gov/banks/institutions (REPDTE 2026-03-31, $K)"
