Sheet,Row_key,CERT_or_Charter,Assets_value,Deposits_value,As_of_date,Source,Match_method,Note
funding_table,Los Angeles Federal Credit Union (LAFCU),Charter 1207,$1.28B,$1.15B,2026-03-31,"research/v6/out/cr202603/FS220.txt (Acct_010 total assets, Acct_018 total shares & deposits) + FOICU.txt, cycle 2026-03",name+city,"NCUA 5300: Acct_010=1,278,292,282 Acct_018=1,146,363,151 (LOS ANGELES, Glendale, CA)"
funding_table,San Diego County Credit Union (SDCCU),Charter 61004,$9.38B,$7.57B,2026-03-31,"research/v6/out/cr202603/FS220.txt (Acct_010 total assets, Acct_018 total shares & deposits) + FOICU.txt, cycle 2026-03",name+city,"NCUA 5300: Acct_010=9,382,858,048 Acct_018=7,569,256,490 (SAN DIEGO COUNTY, San Diego, CA)"
funding_table,Nuvision Credit Union,Charter 566,$3.94B,$3.30B,2026-03-31,"research/v6/out/cr202603/FS220.txt (Acct_010 total assets, Acct_018 total shares & deposits) + FOICU.txt, cycle 2026-03",name+city,"NCUA 5300: Acct_010=3,935,777,489 Acct_018=3,297,428,936 (NUVISION, HUNTINGTON BEAC, CA)"
funding_table,Premier America Credit Union,Charter 68428,$3.31B,$2.93B,2026-03-31,"research/v6/out/cr202603/FS220.txt (Acct_010 total assets, Acct_018 total shares & deposits) + FOICU.txt, cycle 2026-03",name+city,"NCUA 5300: Acct_010=3,313,105,523 Acct_018=2,934,356,296 (PREMIER AMERICA, Chatsworth, CA)"
funding_table,Firefighters First Credit Union,Charter 24877,$2.47B,$2.22B,2026-03-31,"research/v6/out/cr202603/FS220.txt (Acct_010 total assets, Acct_018 total shares & deposits) + FOICU.txt, cycle 2026-03",name+city,"NCUA 5300: Acct_010=2,470,349,300 Acct_018=2,221,334,288 (FIREFIGHTERS FIRST, Los Angeles, CA)"
funding_table,WaFd Bank,CERT 28088,$27.55B,$21.24B,2026-03-31,https://api.fdic.gov/banks/institutions?filters=CERT:28088,name+city,"FDIC $K: ASSET=27,552,061 DEP=21,241,331 (WaFd Bank, Seattle, WA)"
funding_table,First Citizens Bank,CERT 11063,$235.52B,$171.45B,2026-03-31,https://api.fdic.gov/banks/institutions?filters=CERT:11063,CERT,"FDIC $K: ASSET=235,521,000 DEP=171,449,000 (First-Citizens Bank & Trust Company, Raleigh, NC)"
funding_table,First Bank (MO),CERT 12229,$6.69B,$5.94B,2026-03-31,https://api.fdic.gov/banks/institutions?filters=CERT:12229,CERT,"FDIC $K: ASSET=6,691,682 DEP=5,937,676 (First Bank, St. Louis, MO)"
funding_table,Valley National Bank,CERT 9396,$64.39B,$52.96B,2026-03-31,https://api.fdic.gov/banks/institutions?filters=CERT:9396,"name+city (FDIC legal HQ: Passaic, NJ)","FDIC $K: ASSET=64,388,074 DEP=52,955,541 (Valley National Bank, Passaic, NJ)"
funding_table,Western Alliance Bank,CERT 57512,$98.77B,$83.22B,2026-03-31,https://api.fdic.gov/banks/institutions?filters=CERT:57512,name+city,"FDIC $K: ASSET=98,766,387 DEP=83,216,785 (Western Alliance Bank, Phoenix, AZ)"
funding_table,Redwood Credit Union,Charter 60793,$9.95B,$8.56B,2026-03-31,"research/v6/out/cr202603/FS220.txt (Acct_010 total assets, Acct_018 total shares & deposits) + FOICU.txt, cycle 2026-03",name+city,"NCUA 5300: Acct_010=9,946,470,013 Acct_018=8,560,969,412 (REDWOOD, Santa Rosa, CA)"
funding_table,California Credit Union,Charter 24980,$5.41B,$4.87B,2026-03-31,"research/v6/out/cr202603/FS220.txt (Acct_010 total assets, Acct_018 total shares & deposits) + FOICU.txt, cycle 2026-03",name+city,"NCUA 5300: Acct_010=5,413,638,046 Acct_018=4,866,121,480 (CALIFORNIA, GLENDALE, CA)"
funding_table,Kinecta Federal Credit Union,Charter 4142,$6.44B,$5.72B,2026-03-31,"research/v6/out/cr202603/FS220.txt (Acct_010 total assets, Acct_018 total shares & deposits) + FOICU.txt, cycle 2026-03",name+city,"NCUA 5300: Acct_010=6,443,715,004 Acct_018=5,720,278,440 (KINECTA, Manhattan Beach, CA)"
funding_table,CommunityAmerica Credit Union (ex-UNIFY),Charter 15732,$8.98B,$8.09B,2026-03-31,"research/v6/out/cr202603/FS220.txt (Acct_010 total assets, Acct_018 total shares & deposits) + FOICU.txt, cycle 2026-03",name+city,"NCUA 5300: Acct_010=8,983,073,793 Acct_018=8,086,504,234 (COMMUNITYAMERICA, Lenexa, KS)"
funding_table,Provident Credit Union,Charter 66343,$3.63B,$3.19B,2026-03-31,"research/v6/out/cr202603/FS220.txt (Acct_010 total assets, Acct_018 total shares & deposits) + FOICU.txt, cycle 2026-03",name+city,"NCUA 5300: Acct_010=3,625,344,175 Acct_018=3,191,602,249 (PROVIDENT, REDWOOD CITY, CA)"
funding_table,American United Federal Credit Union,Charter 8187,$394.2M,$334.7M,2026-03-31,"research/v6/out/cr202603/FS220.txt (Acct_010 total assets, Acct_018 total shares & deposits) + FOICU.txt, cycle 2026-03",name+city,"NCUA 5300: Acct_010=394,236,316 Acct_018=334,660,060 (AMERICAN UNITED, West Jordan, UT)"
funding_table,Logix Federal Credit Union,Charter 1999,$9.72B,$8.19B,2026-03-31,"research/v6/out/cr202603/FS220.txt (Acct_010 total assets, Acct_018 total shares & deposits) + FOICU.txt, cycle 2026-03",name+city,"NCUA 5300: Acct_010=9,716,129,809 Acct_018=8,192,822,056 (LOGIX, Valencia, CA)"
funding_table,"Flagstar Bank, N.A.",CERT 32541,$87.13B,$66.83B,2026-03-31,https://api.fdic.gov/banks/institutions?filters=CERT:32541,name+city,"FDIC $K: ASSET=87,128,815 DEP=66,832,203 (Flagstar Bank, National Association, Hicksville, NY)"
funding_table,HCN Bank,CERT 21606,$974.1M,$852.7M,2026-03-31,https://api.fdic.gov/banks/institutions?filters=CERT:21606,name+city,"FDIC $K: ASSET=974,149 DEP=852,684 (HCN Bank, Riverside, CA)"
funding_table,"American Plus Bank, N.A.",CERT 58469,$890.7M,$716.6M,2026-03-31,https://api.fdic.gov/banks/institutions?filters=CERT:58469,name+city,"FDIC $K: ASSET=890,687 DEP=716,600 (American Plus Bank, N.A., Arcadia, CA)"
funding_table,Orange County's Credit Union,Charter 24981,$3.07B,$2.58B,2026-03-31,"research/v6/out/cr202603/FS220.txt (Acct_010 total assets, Acct_018 total shares & deposits) + FOICU.txt, cycle 2026-03",name+city,"NCUA 5300: Acct_010=3,074,685,797 Acct_018=2,584,116,087 (ORANGE COUNTY'S, Santa Ana, CA)"
funding_table,Christian Community Credit Union (AdelFi),Charter 97068,$1.44B,$1.24B,2026-03-31,"research/v6/out/cr202603/FS220.txt (Acct_010 total assets, Acct_018 total shares & deposits) + FOICU.txt, cycle 2026-03",name+city,"Privately insured (ASI; CU_TYPE 3) but files NCUA 5300; NCUA 5300: Acct_010=1,443,573,352 Acct_018=1,236,810,144 (CHRISTIAN COMMUNITY, San Dimas, CA)"
funding_table,Truist,CERT 9846,$541.18B,$413.57B,2026-03-31,https://api.fdic.gov/banks/institutions?filters=CERT:9846,CERT,"FDIC $K: ASSET=541,180,000 DEP=413,574,000 (Truist Bank, Charlotte, NC)"
funding_table,MidFirst Bank,CERT 4063,$42.11B,$24.69B,2026-03-31,https://api.fdic.gov/banks/institutions?filters=CERT:4063,name+city,"FDIC $K: ASSET=42,109,827 DEP=24,689,384 (MidFirst Bank, Oklahoma City, OK)"
funding_table,Banner Bank,CERT 28489,$16.34B,$13.93B,2026-03-31,https://api.fdic.gov/banks/institutions?filters=CERT:28489,name+city,"FDIC $K: ASSET=16,338,071 DEP=13,928,915 (Banner Bank, Walla Walla, WA)"
funding_table,Infinity Bank,CERT 59098,$392.9M,$343.7M,2026-03-31,https://api.fdic.gov/banks/institutions?filters=CERT:59098,name+city,"FDIC $K: ASSET=392,898 DEP=343,655 (Infinity Bank, Santa Ana, CA)"
funding_table,KeyBank,CERT 17534,$185.98B,$153.31B,2026-03-31,https://api.fdic.gov/banks/institutions?filters=CERT:17534,name+city,"FDIC $K: ASSET=185,983,433 DEP=153,305,440 (KeyBank National Association, Cleveland, OH)"
funding_table,Mission Valley Bank,CERT 57101,$772.6M,$632.1M,2026-03-31,https://api.fdic.gov/banks/institutions?filters=CERT:57101,name+city,"FDIC $K: ASSET=772,560 DEP=632,141 (Mission Valley Bank, Sun Valley, CA)"
funding_table,GBC International Bank,CERT 22366,$676.6M,$522.8M,2026-03-31,https://api.fdic.gov/banks/institutions?filters=CERT:22366,name+city,"FDIC $K: ASSET=676,588 DEP=522,816 (GBC International Bank, Los Angeles, CA)"
funding_table,Mega Bank,CERT 58401,$515.1M,$437.4M,2026-03-31,https://api.fdic.gov/banks/institutions?filters=CERT:58401,name+city,"FDIC $K: ASSET=515,129 DEP=437,435 (Mega Bank, San Gabriel, CA)"
funding_table,Home Bank of California,CERT 26271,$254.9M,$193.2M,2026-03-31,https://api.fdic.gov/banks/institutions?filters=CERT:26271,name+city,"FDIC $K: ASSET=254,901 DEP=193,199 (Home Bank of California, San Diego, CA)"
funding_table,Comerica Bank,CERT 983,$80.05B,$66.28B,2025-12-31,https://api.fdic.gov/banks/institutions?filters=CERT:983,CERT,"Charter inactive 2026-02-01 (merged into Fifth Third Bank, N.A.); last reported figures; FDIC $K: ASSET=80,052,000 DEP=66,282,000 (Comerica Bank, Dallas, TX)"
funding_table,Patelco Credit Union,Charter 68579,$9.62B,$8.29B,2026-03-31,"research/v6/out/cr202603/FS220.txt (Acct_010 total assets, Acct_018 total shares & deposits) + FOICU.txt, cycle 2026-03",name+city,"NCUA 5300: Acct_010=9,616,999,527 Acct_018=8,288,036,153 (PATELCO, Dublin, CA)"
funding_table,SAFE Credit Union,Charter 68366,$4.45B,$3.99B,2026-03-31,"research/v6/out/cr202603/FS220.txt (Acct_010 total assets, Acct_018 total shares & deposits) + FOICU.txt, cycle 2026-03",name+city,"NCUA 5300: Acct_010=4,451,526,757 Acct_018=3,990,691,293 (SAFE, FOLSOM, CA)"
funding_table,Icon Business Bank,CERT 59314,$156.7M,$124.7M,2026-03-31,https://api.fdic.gov/banks/institutions?filters=CERT:59314,name+city,"FDIC $K: ASSET=156,656 DEP=124,737 (Icon Business Bank, Riverside, CA)"
funding_table,Travis Credit Union,Charter 68429,$5.69B,$4.73B,2026-03-31,"research/v6/out/cr202603/FS220.txt (Acct_010 total assets, Acct_018 total shares & deposits) + FOICU.txt, cycle 2026-03",name+city,"NCUA 5300: Acct_010=5,687,904,011 Acct_018=4,734,336,284 (TRAVIS, VACAVILLE, CA)"
funding_table,American Airlines Credit Union,Charter 23957,$9.45B,$8.28B,2026-03-31,"research/v6/out/cr202603/FS220.txt (Acct_010 total assets, Acct_018 total shares & deposits) + FOICU.txt, cycle 2026-03",name+city,"NCUA 5300: Acct_010=9,448,440,753 Acct_018=8,280,235,892 (AMERICAN AIRLINES, Fort Worth, TX)"
funding_table,Baxter Credit Union (BCU),Charter 68187,$6.50B,$5.22B,2026-03-31,"research/v6/out/cr202603/FS220.txt (Acct_010 total assets, Acct_018 total shares & deposits) + FOICU.txt, cycle 2026-03",name+city,"NCUA 5300: Acct_010=6,501,796,742 Acct_018=5,216,677,004 (BAXTER, Vernon Hills, IL)"
funding_table,Beach Cities Commercial Bank,CERT 59290,$182.5M,$139.6M,2026-03-31,https://api.fdic.gov/banks/institutions?filters=CERT:59290,name+city,"FDIC $K: ASSET=182,473 DEP=139,564 (Beach Cities Commercial Bank, Irvine, CA)"
funding_table,First Tech Federal Credit Union,Charter 23521,$28.58B,$24.59B,2026-03-31,"research/v6/out/cr202603/FS220.txt (Acct_010 total assets, Acct_018 total shares & deposits) + FOICU.txt, cycle 2026-03",charter,"NCUA 5300: Acct_010=28,579,913,967 Acct_018=24,592,588,657 (FIRST TECHNOLOGY, SAN JOSE, CA)"
funding_table,Metropolitan Bank (Oakland),CERT 25869,$231.8M,$196.2M,2026-03-31,https://api.fdic.gov/banks/institutions?filters=CERT:25869,name+city,"FDIC $K: ASSET=231,773 DEP=196,224 (Metropolitan Bank, Oakland, CA)"
funding_table,Together Credit Union,Charter 62715,$2.72B,$2.34B,2026-03-31,"research/v6/out/cr202603/FS220.txt (Acct_010 total assets, Acct_018 total shares & deposits) + FOICU.txt, cycle 2026-03","name+city (NCUA HQ city: Saint Louis, MO)","NCUA 5300: Acct_010=2,722,399,325 Acct_018=2,343,974,415 (TOGETHER, Saint Louis, MO)"
funding_table,State Bank of India (California),CERT 23998,$1.39B,$1.19B,2026-03-31,https://api.fdic.gov/banks/institutions?filters=CERT:23998,CERT,"FDIC $K: ASSET=1,394,366 DEP=1,189,577 (State Bank of India (California), Los Angeles, CA)"
funding_table,Umpqua Bank (Columbia),CERT 17266,$66.01B,$53.61B,2026-03-31,https://api.fdic.gov/banks/institutions?filters=CERT:17266,CERT,"Umpqua Bank merged/renamed into Columbia Bank (CERT 17266); figures are Columbia Bank; FDIC $K: ASSET=66,011,146 DEP=53,614,966 (Columbia Bank, Roseburg, OR)"
funding_table,Altura Credit Union,Charter 24969,$2.67B,$2.39B,2026-03-31,"research/v6/out/cr202603/FS220.txt (Acct_010 total assets, Acct_018 total shares & deposits) + FOICU.txt, cycle 2026-03",name+city,"NCUA 5300: Acct_010=2,665,893,053 Acct_018=2,386,844,398 (ALTURA, Riverside, CA)"
funding_table,Skyla Credit Union,Charter 24808,$1.66B,$1.40B,2026-03-31,"research/v6/out/cr202603/FS220.txt (Acct_010 total assets, Acct_018 total shares & deposits) + FOICU.txt, cycle 2026-03",name+city,"NCUA 5300: Acct_010=1,656,044,095 Acct_018=1,399,251,562 (SKYLA, Charlotte, NC)"
funding_table,BluPeak Credit Union (formerly USE Credit Union),Charter 60801,$1.13B,$1.03B,2026-03-31,"research/v6/out/cr202603/FS220.txt (Acct_010 total assets, Acct_018 total shares & deposits) + FOICU.txt, cycle 2026-03",name+city,"NCUA 5300: Acct_010=1,128,146,621 Acct_018=1,031,024,877 (BLUPEAK, San Diego, CA)"
funding_table,EverTrust Bank,CERT 34010,$1.11B,$839.6M,2026-03-31,https://api.fdic.gov/banks/institutions?filters=CERT:34010,name+city,"FDIC $K: ASSET=1,114,478 DEP=839,626 (EverTrust Bank, City Of Industry, CA)"
funding_table,"EverBank, N.A.",CERT 34775,$47.23B,$37.69B,2026-03-31,https://api.fdic.gov/banks/institutions?filters=CERT:34775,name+city,"FDIC $K: ASSET=47,232,699 DEP=37,687,611 (EverBank, National Association, Jacksonville, FL)"
funding_table,"City First Bank, N.A.",CERT 34352,$1.42B,$1.14B,2026-03-31,https://api.fdic.gov/banks/institutions?filters=CERT:34352,name+city,"FDIC $K: ASSET=1,424,577 DEP=1,142,340 (City First Bank, National Association, Washington, DC)"
funding_table,Endeavor Bank,CERT 59099,$805.3M,$709.4M,2026-03-31,https://api.fdic.gov/banks/institutions?filters=CERT:59099,name+city,"FDIC $K: ASSET=805,315 DEP=709,408 (Endeavor Bank, San Diego, CA)"
funding_table,CommerceWest Bank,CERT 57176,$1.24B,$1.09B,2026-03-31,https://api.fdic.gov/banks/institutions?filters=CERT:57176,CERT,"FDIC legal name: Commerce West Bank; FDIC $K: ASSET=1,243,344 DEP=1,092,294 (Commerce West Bank, Irvine, CA)"
funding_table,University Credit Union (LA),Charter 64171,$1.19B,$1.01B,2026-03-31,"research/v6/out/cr202603/FS220.txt (Acct_010 total assets, Acct_018 total shares & deposits) + FOICU.txt, cycle 2026-03",name+city,"NCUA 5300: Acct_010=1,187,569,456 Acct_018=1,010,441,020 (UNIVERSITY, Los Angeles, CA)"
funding_table,First General Bank,CERT 58060,$1.14B,$811.9M,2026-03-31,https://api.fdic.gov/banks/institutions?filters=CERT:58060,name+city,"FDIC $K: ASSET=1,141,218 DEP=811,904 (First General Bank, Rowland Heights, CA)"
funding_table,Shinhan Bank America,CERT 33188,$1.97B,$1.66B,2026-03-31,https://api.fdic.gov/banks/institutions?filters=CERT:33188,name+city,"FDIC $K: ASSET=1,972,804 DEP=1,664,812 (Shinhan Bank America, New York, NY)"
funding_table,Habib American Bank (HAB),CERT 25093,$2.98B,$2.58B,2026-03-31,https://api.fdic.gov/banks/institutions?filters=CERT:25093,name+city,"FDIC $K: ASSET=2,977,085 DEP=2,577,829 (Habib American Bank, New York, NY)"
funding_table,First Pacific Bank,CERT 58218,$489.8M,$409.8M,2026-03-31,https://api.fdic.gov/banks/institutions?filters=CERT:58218,name+city,"FDIC $K: ASSET=489,849 DEP=409,799 (First Pacific Bank, Whittier, CA)"
funding_table,Credit Union of New Jersey,Charter 24927,$504.0M,$433.4M,2026-03-31,"research/v6/out/cr202603/FS220.txt (Acct_010 total assets, Acct_018 total shares & deposits) + FOICU.txt, cycle 2026-03",charter,"NCUA 5300: Acct_010=503,973,515 Acct_018=433,389,950 (CREDIT UNION OF NEW JERSEY, A, Ewing, NJ)"
funding_table,CAHP Credit Union,Charter 95071,$404.0M,$365.7M,2026-03-31,"research/v6/out/cr202603/FS220.txt (Acct_010 total assets, Acct_018 total shares & deposits) + FOICU.txt, cycle 2026-03",name+city,"NCUA 5300: Acct_010=403,972,301 Acct_018=365,689,071 (CAHP, SACRAMENTO, CA)"
funding_table,Fifth Third Bank,CERT 6672,$296.12B,$240.42B,2026-03-31,https://api.fdic.gov/banks/institutions?filters=CERT:6672,name+city,"FDIC $K: ASSET=296,118,000 DEP=240,416,000 (Fifth Third Bank, National Association, Cincinnati, OH)"
funding_table,"Sunflower Bank, N.A.",CERT 4767,$8.55B,$7.15B,2026-03-31,https://api.fdic.gov/banks/institutions?filters=CERT:4767,"name+city (FDIC legal HQ: Dallas, TX)","FDIC $K: ASSET=8,553,297 DEP=7,151,046 (Sunflower Bank, National Association, Dallas, TX)"
funding_table,Woori America Bank,CERT 24920,$4.04B,$3.47B,2026-03-31,https://api.fdic.gov/banks/institutions?filters=CERT:24920,name+city,"FDIC $K: ASSET=4,041,585 DEP=3,467,016 (Woori America Bank, New York, NY)"
funding_table,Wallis Bank,CERT 20845,$1.40B,$1.20B,2026-03-31,https://api.fdic.gov/banks/institutions?filters=CERT:20845,name+city,"FDIC $K: ASSET=1,398,702 DEP=1,200,595 (Wallis Bank, Wallis, TX)"
funding_table,Partners Bank of California,CERT 58588,$614.5M,$482.2M,2026-03-31,https://api.fdic.gov/banks/institutions?filters=CERT:58588,name+city,"FDIC $K: ASSET=614,543 DEP=482,189 (Partners Bank of California, Mission Viejo, CA)"
funding_table,Genesis Bank,CERT 59245,$405.5M,$356.6M,2026-03-31,https://api.fdic.gov/banks/institutions?filters=CERT:59245,CERT,"FDIC $K: ASSET=405,513 DEP=356,609 (Genesis Bank, Newport Beach, CA)"
funding_table,"Legacy Bank (Murrieta, CA)",CERT 59204,$111.5M,$99.9M,2026-03-31,https://api.fdic.gov/banks/institutions?filters=CERT:59204,CERT,"FDIC $K: ASSET=111,488 DEP=99,856 (Legacy Bank, Murrieta, CA)"
funding_table,Redwood Capital Bank,CERT 57610,$543.4M,$484.1M,2026-03-31,https://api.fdic.gov/banks/institutions?filters=CERT:57610,name+city,"FDIC $K: ASSET=543,402 DEP=484,145 (Redwood Capital Bank, Eureka, CA)"
funding_table,Summit Bank (Oakland),CERT 23864,$270.2M,$211.5M,2026-03-31,https://api.fdic.gov/banks/institutions?filters=CERT:23864,CERT,"FDIC $K: ASSET=270,191 DEP=211,474 (Summit Bank, Oakland, CA)"
funding_table,Savings Bank of Mendocino County,CERT 8011,$1.29B,$1.04B,2026-03-31,https://api.fdic.gov/banks/institutions?filters=CERT:8011,name+city,"FDIC $K: ASSET=1,293,076 DEP=1,040,520 (Savings Bank of Mendocino County, Ukiah, CA)"
funding_table,"Pinnacle Bank (Gilroy, CA)",CERT 58297,$945.8M,$823.5M,2026-03-31,https://api.fdic.gov/banks/institutions?filters=CERT:58297,CERT,"FDIC $K: ASSET=945,774 DEP=823,506 (Pinnacle Bank, Gilroy, CA)"
funding_table,Golden Valley Bank,CERT 58278,$577.7M,$525.8M,2026-03-31,https://api.fdic.gov/banks/institutions?filters=CERT:58278,name+city,"FDIC $K: ASSET=577,734 DEP=525,767 (Golden Valley Bank, Chico, CA)"
funding_table,First Foundation Bank,CERT 58647,$11.34B,$8.78B,2026-03-31,https://api.fdic.gov/banks/institutions?filters=CERT:58647,CERT,"Charter inactive 2026-04-01 (merger); last reported figures; FDIC $K: ASSET=11,343,543 DEP=8,783,466 (First Foundation Bank, Irvine, CA)"
funding_table,Israel Discount Bank of New York (IDB),CERT 19977,$13.99B,$11.94B,2026-03-31,https://api.fdic.gov/banks/institutions?filters=CERT:19977,name+city,"FDIC $K: ASSET=13,986,756 DEP=11,938,804 (Israel Discount Bank of New York, New York, NY)"
funding_table,HSBC Bank USA,CERT 57890,$167.71B,$135.52B,2026-03-31,https://api.fdic.gov/banks/institutions?filters=CERT:57890,"name+city (FDIC legal HQ: Tysons, VA)","FDIC $K: ASSET=167,705,510 DEP=135,520,708 (HSBC Bank USA, National Association, Tysons, VA)"
funding_table,Bank of San Francisco,CERT 58069,$767.5M,$670.0M,2026-03-31,https://api.fdic.gov/banks/institutions?filters=CERT:58069,name+city,"FDIC $K: ASSET=767,510 DEP=670,003 (Bank of San Francisco, San Francisco, CA)"
funding_table,The Northern Trust Company,CERT 913,$173.84B,$142.29B,2026-03-31,https://api.fdic.gov/banks/institutions?filters=CERT:913,name+city,"FDIC $K: ASSET=173,842,608 DEP=142,285,087 (The Northern Trust Company, Chicago, IL)"
funding_table,Pacific Premier Bank,CERT 32172,$17.78B,$14.58B,2025-06-30,https://api.fdic.gov/banks/institutions?filters=CERT:32172,CERT,"Charter inactive 2025-09-01 (merged into Columbia Bank / Columbia Banking System); last reported figures; FDIC $K: ASSET=17,783,977 DEP=14,578,484 (Pacific Premier Bank, National Association, Irvine, CA)"
funding_table,SchoolsFirst Federal Credit Union,Charter 24212,$36.74B,$31.59B,2026-03-31,"research/v6/out/cr202603/FS220.txt (Acct_010 total assets, Acct_018 total shares & deposits) + FOICU.txt, cycle 2026-03","name+city (NCUA HQ city: Santa Ana, CA)","NCUA 5300: Acct_010=36,737,428,874 Acct_018=31,586,617,738 (SCHOOLSFIRST, SANTA ANA, CA)"
funding_table,HomeStreet Bank,CERT 1768,$21.40B,$18.25B,2026-03-31,https://api.fdic.gov/banks/institutions?filters=CERT:1768,CERT,"HomeStreet Bank merged into Mechanics Bank (Walnut Creek, CA; CERT 1768) in 2025; figures are Mechanics Bank; FDIC $K: ASSET=21,403,986 DEP=18,251,541 (Mechanics Bank, Walnut Creek, CA)"
funding_table,Golden 1 Credit Union,Charter 61650,$21.74B,$19.51B,2026-03-31,"research/v6/out/cr202603/FS220.txt (Acct_010 total assets, Acct_018 total shares & deposits) + FOICU.txt, cycle 2026-03",charter,"NCUA 5300: Acct_010=21,737,187,207 Acct_018=19,512,113,883 (THE GOLDEN 1, SACRAMENTO, CA)"
funding_table,Star One Credit Union,Charter 68465,$9.58B,$8.24B,2026-03-31,"research/v6/out/cr202603/FS220.txt (Acct_010 total assets, Acct_018 total shares & deposits) + FOICU.txt, cycle 2026-03",name+city,"NCUA 5300: Acct_010=9,584,478,051 Acct_018=8,244,607,917 (STAR ONE, SUNNYVALE, CA)"
funding_table,Mission Federal Credit Union (Mission Fed),Charter 14384,$7.23B,$6.32B,2026-03-31,"research/v6/out/cr202603/FS220.txt (Acct_010 total assets, Acct_018 total shares & deposits) + FOICU.txt, cycle 2026-03",name+city,"NCUA 5300: Acct_010=7,232,363,156 Acct_018=6,318,213,139 (MISSION, San Diego, CA)"
funding_table,Wescom Credit Union,Charter 66703,$6.47B,$4.40B,2026-03-31,"research/v6/out/cr202603/FS220.txt (Acct_010 total assets, Acct_018 total shares & deposits) + FOICU.txt, cycle 2026-03",charter,"NCUA 5300: Acct_010=6,472,794,298 Acct_018=4,397,748,939 (WESCOM CENTRAL, PASADENA, CA)"
funding_table,Heritage Bank of Commerce,CERT 33905,$5.67B,$4.82B,2026-03-31,https://api.fdic.gov/banks/institutions?filters=CERT:33905,CERT,"Charter inactive 2026-04-17 (merger); last reported figures; FDIC $K: ASSET=5,670,019 DEP=4,821,348 (Heritage Bank of Commerce, San Jose, CA)"
funding_table,Technology Credit Union (Tech CU),Charter 68383,$4.66B,$3.76B,2026-03-31,"research/v6/out/cr202603/FS220.txt (Acct_010 total assets, Acct_018 total shares & deposits) + FOICU.txt, cycle 2026-03",name+city,"NCUA 5300: Acct_010=4,655,193,719 Acct_018=3,762,517,292 (TECHNOLOGY, SAN JOSE, CA)"
funding_table,Credit Union of Southern California (CU SoCal),Charter 24983,$3.94B,$3.11B,2026-03-31,"research/v6/out/cr202603/FS220.txt (Acct_010 total assets, Acct_018 total shares & deposits) + FOICU.txt, cycle 2026-03",charter,"NCUA 5300: Acct_010=3,942,853,719 Acct_018=3,110,791,031 (CREDIT UNION OF SOUTHERN CA, A, Anaheim, CA)"
