Rank_by_distance,Institution,Type,Nearest_branch_address,Distance_miles,CERT_or_Charter,HQ_City_State,Total_Assets_$M,Total_Deposits_$M,Branches_within_8mi,In_v6_table,Found_by,Source_links,Notes
14,"Fifth Third Bank, N.A. (ex-Comerica)",Bank,"12035 Foothill Blvd, Rancho Cucamonga, CA 91730",5.29,6672 (was 983),"Cincinnati, OH",296118.0,240416.0,2,Yes (both names),SOD+OSM,banks.data.fdic.gov/api/sod 2025; banks.data.fdic.gov/api/institutions; overpass-api amenity=bank r=12.9km,Comerica acquired by Fifth Third (closed 2026; FDIC CERT 983 now inactive). Financials = Fifth Third (CERT 6672)
15,Banner Bank,Bank,"11930 Foothill Blvd, Rancho Cucamonga, CA 91739",5.37,28489,"Walla Walla, WA",16338.1,13928.9,2,Yes,SOD+web,banks.data.fdic.gov/api/sod 2025; banks.data.fdic.gov/api/institutions,
16,"Chino Commercial Bank, N.A.",Bank,"8229 Rochester Ave, Rancho Cucamonga, CA 91730",5.5,35366,"Chino, CA",465.8,388.1,1,Yes,SOD+web,banks.data.fdic.gov/api/sod 2025; banks.data.fdic.gov/api/institutions,Community business bank
17,Chaffey Federal Credit Union,Credit Union,"11563 Foothill Blvd Ste 101, Rancho Cucamonga, CA 91730",5.82,16030,"Upland, CA",229.1,201.8,1,No,NCUA+OSM,ncua.gov call-report-data-2026-03 (branch file + FS220); overpass-api amenity=bank r=12.9km,
18,SchoolsFirst Federal Credit Union,Credit Union,"10910 Foothill Blvd, Rancho Cucamonga, CA 91730",6.58,24212,"Santa Ana, CA",36737.4,31586.6,1,Yes,NCUA+OSM,ncua.gov call-report-data-2026-03 (branch file + FS220); overpass-api amenity=bank r=12.9km,
19,CAHP Credit Union,Credit Union,"9471 Pittsburgh Ave, Rancho Cucamonga, CA 91730",6.74,95071,"Sacramento, CA",404.0,365.7,1,Yes,NCUA+OSM,ncua.gov call-report-data-2026-03 (branch file + FS220); overpass-api amenity=bank r=12.9km,
20,Wescom Credit Union,Credit Union,"4330 Mills Cir, Ontario, CA 91764",6.92,66703,"Pasadena, CA",6472.8,4397.7,1,Yes (Wescom),NCUA+OSM,ncua.gov call-report-data-2026-03 (branch file + FS220); overpass-api amenity=bank r=12.9km,
21,"BMO Bank, N.A.",Bank,"8311 Haven Ave, Ste 100, Rancho Cucamonga, CA 91730",7.16,16571,"Chicago, IL",251964.7,193961.1,1,Yes (BMO Bank),SOD+OSM+web,banks.data.fdic.gov/api/sod 2025; banks.data.fdic.gov/api/institutions; overpass-api amenity=bank r=12.9km,OSM still tagged as Bank of the West
22,Navy Federal Credit Union,Credit Union,"4190 E 4th St Ste A, Ontario, CA 91764",7.18,5536,"Vienna, VA",203559.0,173175.3,1,No,NCUA,ncua.gov call-report-data-2026-03 (branch file + FS220),
23,Banc of California,Bank,"9680 Haven Ave, Ste 100, Rancho Cucamonga, CA 91730",7.8,24045,"Los Angeles, CA",34642.9,27440.7,1,Yes,SOD+web,banks.data.fdic.gov/api/sod 2025; banks.data.fdic.gov/api/institutions,
24,East West Bank,Bank,"9775 Base Line Rd, Unit 109, Rancho Cucamonga, CA 91730",7.83,31628,"Pasadena, CA",82474.5,69086.1,1,Yes,SOD,banks.data.fdic.gov/api/sod 2025; banks.data.fdic.gov/api/institutions,
25,Cathay Bank,Bank,"9759 Base Line Rd, Rancho Cucamonga, CA 91730",7.85,18503,"Los Angeles, CA",24035.1,20698.0,1,Yes,SOD,banks.data.fdic.gov/api/sod 2025; banks.data.fdic.gov/api/institutions,
26,Rize Credit Union (ex-SCE FCU),Credit Union,"975 N Haven Ave, Ontario, CA 91764",7.88,7835,"El Monte, CA",1309.3,1060.9,1,No,NCUA+OSM,ncua.gov call-report-data-2026-03 (branch file + FS220); overpass-api amenity=bank r=12.9km,OSM still tagged SCE Federal Credit Union
27,City National Bank,Bank,"3633 Inland Empire Blvd, Ste 100, Ontario, CA 91764",7.91,17281,"Los Angeles, CA",99947.4,81067.1,1,Yes,SOD,banks.data.fdic.gov/api/sod 2025; banks.data.fdic.gov/api/institutions,
