Bank,CERT,City,Deposits_$K,Card_issuer_rail,Rail_evidence,BizCard_page_URL,Application_link,Card_products,Apply_method,Confidence,Source_links,Screen_date
Oostburg State Bank,10380,Oostburg,380755,Elan,"Own page discloses: ""The creditor and issuer of these cards is Elan Financial Services, pursuant to separate licenses from Visa U.S.A. Inc., and Mastercard International Incorporated."" Apply Now = creditcardlearnmore.com (lc=27395); servicing = myaccountaccess.com",https://www.oostburgstate.bank/business-credit-cards,https://creditcardlearnmore.com/11t3/index?ecdma-lc=27395&ecid=OTHE_25940,Business credit cards - low rate / cash back / flexible rewards (names not itemized),Online self-serve (Apply Now to Elan portal),VERIFIED-own-page,https://www.oostburgstate.bank/business-credit-cards,2026-07-26
Farmers Savings Bank,13025,Mineral Point,405960,OTHER-BankersBank,"NOT TCM. Own site's business Credit Cards nav item links to https://lp.applycommunitycard.com/?merchantId=IR0TEJN4YN (not mycommunitycc.com). Own credit-cards page lists card support as ""Bankers Bank Credit Card Support 877-636-7244 / BBCards@bankersbank.com"" plus legacy Elan servicing link (myaccountaccess.com theme=elan0&loc=0286); cardholder site mycardstatement.com. Rail = Bankers' Bank (Madison WI) agent program; no TCM Bank N.A. mention anywhere",https://www.farmerssavings.com/personal/credit-cards,https://lp.applycommunitycard.com/?merchantId=IR0TEJN4YN,Visa Platinum Cash Rewards Card (personal); business credit cards via same Community Card portal,Online self-serve (applycommunitycard.com landing page),VERIFIED-own-page,https://www.farmerssavings.com/ | https://www.farmerssavings.com/personal/credit-cards,2026-07-26
The Bank of Brodhead,2455,Brodhead,336872,Elan,"Own business payment-solutions page apply links go to https://www.mycardapply.com/synindex/?ecdma-lc=36076&ecid=OTHE_25940&offertype=0#business - mycardapply.com is Elan Financial Services' application portal (same ecid/OTHE_25940 Elan referral scheme). No TCM/mycommunitycc reference on page",https://www.bankofbrodhead.com/business/payment-solutions,https://www.mycardapply.com/synindex/?ecdma-lc=36076&ecid=OTHE_25940&offertype=0#business,Commercial Cards; Business/Agriculture Credit Cards,Online self-serve (apply via mycardapply.com),INFERRED,https://www.bankofbrodhead.com/business/payment-solutions,2026-07-26
Fox Valley Savings Bank,29188,Fond Du Lac,304022,Elan,"Own page discloses: ""The creditor and issuer of these cards is Elan Financial Services."" Apply = mycardapply.com (lc=664) and creditcardlearnmore.com; access = myaccountaccess.com theme=elan0",https://www.fvsbank.com/business/business-visa-credit-card/,https://www.mycardapply.com/synindex?ecdma-lc=664&ecid=OTHE_25940&offertype=0,Business Visa credit cards - low rate / cash back / flexible rewards,Online self-serve (apply via Elan portal),VERIFIED-own-page,https://www.fvsbank.com/business/business-visa-credit-card/,2026-07-26
Citizens First Bank,13032,Viroqua,282194,SELF,"NOT TCM. Own business-credit-card page names no third-party issuer and has no apply link; own personal credit-card page publishes the bank's own APR (Prime-based) and fee schedule (cash advance $5 or 2%, late up to $20) and gives activation/lost-card line 1-800-543-5073. No mycommunitycc.com / creditcardlearnmore.com / mycardapply.com / cardaccount.net links anywhere on site. Consistent with an in-house (on-us) Visa program; third-party rail not disclosed",https://www.citizensfirstbank.net/business-banking/business-lending/business-credit-cards,None published - apply in person at a branch,Business Credit Card (Visa); personal Visa Classic Credit Card,Branch/in-person with a loan officer (no online application),INFERRED,https://www.citizensfirstbank.net/business-banking/business-lending/business-credit-cards | https://www.citizensfirstbank.net/personal-banking/cards/credit-cards,2026-07-26
The Peshtigo National Bank,5317,Peshtigo,257112,Elan,"Own credit-cards page discloses Elan Financial Services as ""the creditor and issuer of these cards, pursuant to separate licenses from Visa U.S.A. Inc., and Mastercard International Incorporated."" Learn More/apply = creditcardlearnmore.com (lc=00086); business cardmember service 1-866-552-8855 (Elan business line)",https://pnbwi.com/credit-cards.html,https://creditcardlearnmore.com/11t3/index?ecdma-lc=00086&ecid=OTHE_25940,Elan Visa & American Express cards (business cards not separately named),Online self-serve (Learn More/Apply) or branch/phone 888-550-4512,VERIFIED-own-page,https://pnbwi.com/credit-cards.html,2026-07-26
Bank of Deerfield,2477,Deerfield,223733,Elan,"Own business credit card page's apply link = https://www.mycardapply.com/synindex?ecdma-lc=35989&ecid=OTHE_25940&offertype=0#business (Elan application portal) and page also links cardholder access myaccountaccess.com (Elan). No TCM/mycommunitycc reference; no explicit issuer sentence on page",https://www.bankofdeerfield.bank/business-banking/credit-cards-merchant-processing,https://www.mycardapply.com/synindex?ecdma-lc=35989&ecid=OTHE_25940&offertype=0#business,Business credit cards from Visa (two options; names not published),Online self-serve via Elan portal; page also invites contacting the bank,INFERRED,https://www.bankofdeerfield.bank/business-banking/credit-cards-merchant-processing,2026-07-26
Cleveland State Bank,9517,Cleveland,203884,Elan,"Own page discloses: ""The creditor and issuer of these cards is Elan Financial Services, pursuant to separate licenses from Visa U.S.A. Inc., and Mastercard International Incorporated."" Apply = creditcardlearnmore.com (lc=337); access = myaccountaccess.com theme=elan1&loc=00337",https://clevelandstate.bank/business-banking/business-credit-cards/,https://creditcardlearnmore.com/11t3/index?ecdma-lc=337&ecid=OTHE_25940#business,Business credit cards - low rate / cash back / flexible rewards,Online self-serve (Learn More or Apply Now),VERIFIED-own-page,https://clevelandstate.bank/business-banking/business-credit-cards/,2026-07-26
Crossbridge Community Bank,30516,Tomahawk,186417,NO-CARD,"No business credit card product found on the bank's own site. Business Banking nav lists only Commercial Deposit Accounts, Commercial Loans, Business ATM/Debit Cards, Business Showcase, Online Business Services; the Business ATM/Debit Cards page covers Visa debit only and mentions no credit card or issuer. No TCM/Elan/TIB/CorServ references anywhere on site",https://www.crossbridge.bank/business/business-atm-debit-cards,None - no business credit card offered,None (Visa debit cards only),N/A,VERIFIED-own-page,https://www.crossbridge.bank/ | https://www.crossbridge.bank/business/business-atm-debit-cards,2026-07-26
Great North Bank,15146,Florence,170360,NO-CARD,"No credit card product on the bank's own site. Business Banking nav = Business Checking, Business Loans, Online Banking/Bill Pay/RDC, ACH Services only; card page is Debit Cards/ATM which mentions no credit card and no issuer. No TCM/Elan/TIB/CorServ references found",https://www.greatnorthbank.com/debit-cards-atm/,None - no business credit card offered,None (debit/ATM cards only),N/A,VERIFIED-own-page,https://www.greatnorthbank.com/ | https://www.greatnorthbank.com/debit-cards-atm/,2026-07-26
State Bank of Reeseville,14960,Reeseville,132458,NO-CARD,"Bank's own business page lists only checking, money market and non-profit savings - no credit card product and no issuer named; personal page also has no credit card product or apply link. No TCM/Elan/TIB/CorServ references found",https://www.statebankofreeseville.com/business/,None - no business credit card offered,None found,N/A,VERIFIED-own-page,https://www.statebankofreeseville.com/business/ | https://www.statebankofreeseville.com/personal/,2026-07-26
Union State Bank,14560,West Salem,99001,TCM,"Own page states ""Cards issued by TCM Bank, N.A."" and ""Union State Bank is partnering with TCM Bank, N.A. to offer our business customers credit card options."" Application link = https://www.mycommunitycc.com/rBXYTnZsM4ee; servicing = MyCardStatement.com; TCM service line 1-800-883-0131",https://www.usbwestsalem.com/business/other-services/credit-cards,https://www.mycommunitycc.com/rBXYTnZsM4ee,Platinum Edition or Rewards Card (revolving); Company Rewards Charge Card (pay-in-full); employee cards at no cost,Online self-serve (questionnaire + mycommunitycc.com application),VERIFIED-own-page,https://www.usbwestsalem.com/business/other-services/credit-cards,2026-07-26
Bluff View Bank,8693,Galesville,120393,TCM,"Own credit cards page states ""We partner with TCM Bank to offer a variety of credit cards with competitive rates, rewards, and convenient features"" and offers to ""securely pre-qualify through TCM Bank - without impacting your credit score""; apply link = https://www.mycommunitycc.com/DiBI8l2drXtv (TCM agent portal). Bank's earlier /business-credit-cards/ page now 404s / consolidated into /credit-cards/",https://www.bluffviewbank.com/credit-cards/,https://www.mycommunitycc.com/DiBI8l2drXtv,"TCM Bank card lineup (build credit, cash back, travel rewards); business cards described elsewhere as employee cards at no extra cost, credit line sharing, consolidated statements",Online self-serve (Learn More & Apply Now / pre-qualify via TCM),VERIFIED-own-page,https://www.bluffviewbank.com/credit-cards/ | https://www.bluffviewbank.com/,2026-07-26
