Tier,Institution,SoCal?,County,Cities,Self-UW,Biz card,Card link,No-doc (+grade),ChexSystems,EWS,Bureau (hard pull),Est. limit,Apply,Website,Sources
🟨 2,Enterprise Bank & Trust (https://www.enterprisebank.com),YES,Los Angeles; Orange; San Diego,Clayton,SELF,YES,link (https://www.enterprisebank.com/business/credit-cards),unknown (none-found) (https://www.enterprisebank.com/business/credit-cards),UNK (https://www.enterprisebank.com/disclosures),UNK,Experian-LEANING via Elan rail — business cards (Smart Busin (RAIL-INFERENCE) (https://www.enterprisebank.com/business/credit-cards),$0,Contact banker (phone/email/form; no online app),https://www.enterprisebank.com (https://www.enterprisebank.com),https://www.enterprisebank.com/business/credit-cards (https://www.enterprisebank.com/business/credit-cards)
🟨 2,Washington Federal Bank (https://www.wafdbank.com),YES,Los Angeles,"Seattle, Long Beach",SELF,YES,link (https://www.wafdbank.com/business-banking/business-credit-cards/small-business-credit-card),⭐ YES (VERIFIED-own-page) (https://www.wafdbank.com/articles/small-business/how-to-qualify-apply-small-business-credit-card),UNK (https://www.crediful.com/second-chance-checking/),UNK,Bureau UNKNOWN; HARD personal-credit underwriting CONFIRMED  (COMMUNITY-DP) (https://ficoforums.myfico.com/t5/Business-Credit/WaFd-Bank-Business-Visa-Approval/td-p/6674742),—,UNKNOWN (https://www.wafdbank.com/business-banking/business-credit-cards),https://www.wafdbank.com (https://www.wafdbank.com),https://www.wafdbank.com/business-banking/business-credit-cards/small-business-credit-card (https://www.wafdbank.com/business-banking/business-credit-cards/small-business-credit-card)
🟨 2,First Bank (https://www.first.bank),YES,Los Angeles; San Bernardino; Riverside; Orange; Ventura; San Diego,"St. Louis, Long Beach",SELF,YES,link (https://www.first.bank/Business/Bank/Business-Credit-Cards),unknown (UNKNOWN),UNK (https://www.depositaccounts.com/banks/first-bank-mo.html),UNK,UNKNOWN bureau — confirmed First Bank uses CorServ Account I (RAIL-INFERENCE) (https://www.prweb.com/releases/first-bank-selects-corservs-comprehensive-credit-card-program-to-serve-business-and-consumer-customers-302046437.html),—,Online (https://www.first.bank/Business/Bank/Business-Credit-Cards),https://www.first.bank (https://www.first.bank),https://www.first.bank/Business/Bank/Business-Credit-Cards (https://www.first.bank/Business/Bank/Business-Credit-Cards)
🟨 2,PREMIER AMERICA CREDIT UNION (https://www.premieramerica.com),YES,Los Angeles; Ventura,Chatsworth,SELF,YES,link (https://www.premieramerica.com/business/loans/premier-business-mastercard),unknown (-),UNK (https://www.premieramerica.com/bank/accounts/checking/fresh-start-checking),UNK,Hard pull confirmed for cards (SuperMoney) but bureau NOT id (UNKNOWN) (https://www.supermoney.com/reviews/personal-credit-cards/premier-america-credit-union-standard-mastercard-credit-card),$0,Online (per prior; site 403 prevented re-check of app flow) (https://www.premieramerica.com/business/loans/premier-business-mastercard),https://www.premieramerica.com (https://www.premieramerica.com),https://www.premieramerica.com/business/loans/premier-business-mastercard (https://www.premieramerica.com/business/loans/premier-business-mastercard)
🟨 2,Sunwest Bank (https://www.sunwestbank.com),YES,Orange,Sandy,SELF,YES,link (https://www.visionarycorporatecard.com/),⭐ YES (VERIFIED-own-page) (https://www.visionarycorporatecard.com/),UNK (https://www.sunwestbank.com/),UNK,NO personal-bureau pull likely. Sunwest Visionary Card = Tor (N/A-BUSINESS-CASHFLOW) (https://www.pymnts.com/news/b2b-payments/2024/sunwest-works-with-marqeta-torpago-launch-corporate-card-platform/),—,Email/contact (VisionaryPayments@SunwestBank.com) (https://www.visionarycorporatecard.com/),https://www.sunwestbank.com (https://www.sunwestbank.com),https://www.visionarycorporatecard.com/ (https://www.visionarycorporatecard.com/)
🟨 2,FIREFIGHTERS FIRST FEDERAL CREDIT UNION (https://www.firefightersfirstcu.org),YES,Los Angeles; San Bernardino; Riverside; Orange; Ventura,Los Angeles,SELF,YES,link (https://www.firefightersfirstcu.org/Business/Business-Loans/Business-Credit-Cards),NO (VERIFIED-own-page) (https://www.firefightersfirstcu.org/Business/Business-Loans/Business-Credit-Cards),UNK (https://www.firefightersfirstcu.org/Resources/Become-A-Member/Membership-Eligibility),UNK,UNKNOWN bureau — but business Visa card page explicitly conf (Hard (personal credit reviewed per own disclosure)) (https://www.firefightersfirstcu.org/Business/Business-Loans/Business-Credit-Cards),—,Email/phone (800-231-1626); business membership prereq (https://www.firefightersfirstcu.org/Business/Business-Loans/Business-Credit-Cards),https://www.firefightersfirstcu.org (https://www.firefightersfirstcu.org),https://www.firefightersfirstcu.org/Business/Business-Loans/Business-Credit-Cards (https://www.firefightersfirstcu.org/Business/Business-Loans/Business-Credit-Cards)
🟨 2,FIRST ENTERTAINMENT CREDIT UNION (https://www.firstent.org),YES,Los Angeles,Hollywood,SELF,YES,link (https://www.firstent.org/business/credit-cards/preferred-cash-visa/),⭐ YES (VERIFIED-own-page) (https://www.firstent.org/faq/how-do-i-apply-for-a-first-entertainment-preferred-cash-business-visa-credit-card/),UNK (https://www.firstent.org/faq/8377/),UNK,Experian-only confirmed across the CU's products (consumer D (B-) (https://ficoforums.myfico.com/t5/Credit-Cards/First-Entertainment-Credit-Union-Info-anyone/td-p/2577071),$100,Call,https://www.firstent.org (https://www.firstent.org),https://www.firstent.org/business/credit-cards/preferred-cash-visa/ (https://www.firstent.org/business/credit-cards/preferred-cash-visa/)
🟨 2,HONDA FEDERAL CREDIT UNION (https://www.hondafcu.org/),YES,Los Angeles,Torrance,SELF,YES,link (https://www.hondafcu.org/hondafcu/media/pdfs/disclosures/visa-disclosure.pdf),unknown (none-found) (https://www.hondafcu.org/hondafcu/media/pdfs/disclosures/visa-disclosure.pdf),UNK (https://www.hondafcu.org/membership/become-member),UNK,UNKNOWN — no bureau DP found; note HQ is Marysville OHIO (no (UNKNOWN) (https://www.hondafcu.org/loans-and-credit-cards/credit-cards),—,UNKNOWN (https://www.hondafcu.org/loans-and-credit-cards/credit-cards),https://www.hondafcu.org/ (https://www.hondafcu.org/),https://www.hondafcu.org/loans-and-credit-cards/credit-cards (https://www.hondafcu.org/loans-and-credit-cards/credit-cards)
🟨 2,UNIVERSITY CREDIT UNION (https://www.ucu.org),YES,Los Angeles,Los Angeles,SELF,YES,link (https://www.ucu.org/banking/business/business-credit-cards),unknown (-),UNK (https://www.ucu.org/),UNK,"Still unknown. University Credit Union (Los Angeles CA, ucu. (UNKNOWN) (https://www.ucu.org/banking/business/business-credit-cards)",$1,Online (https://www.ucu.org/banking/business/business-credit-cards),https://www.ucu.org (https://www.ucu.org),https://www.ucu.org/banking/business/business-credit-cards (https://www.ucu.org/banking/business/business-credit-cards)
🟨 2,SUN COMMUNITY FEDERAL CREDIT UNION (https://www.suncommunity.com),YES,Riverside,El Centro,SELF,YES,link (https://www.suncommunity.com/products/business-credit-card),unknown (none-found) (https://www.suncommunity.com/products/business-credit-card),UNK (https://www.suncommunity.com/),UNK,UNKNOWN bureau — business credit card exists (cashback 1pt/$ (UNKNOWN) (https://www.suncommunity.com/products/business-credit-card),$1,Call,https://www.suncommunity.com (https://www.suncommunity.com),https://www.suncommunity.com/products/business-credit-card (https://www.suncommunity.com/products/business-credit-card)
🟨 2,USC CREDIT UNION (https://www.usccreditunion.org),YES,Los Angeles,Los Angeles,SELF,YES,link (https://www.usccreditunion.org/business-banking/),unknown (none-found) (https://www.usccreditunion.org/business-banking/),UNK (https://www.usccreditunion.org/checking-accounts/),UNK,Still unknown. USC Credit Union (Los Angeles CA) offers Mast (UNKNOWN) (https://www.usccreditunion.org/credit-cards/),—,Online (https://internetloanapplication.cudl.com/usccu/),https://www.usccreditunion.org (https://www.usccreditunion.org),https://www.usccreditunion.org/business-banking/ (https://www.usccreditunion.org/business-banking/)
🟨 2,Shinhan Bank America (https://www.shbamerica.com),YES,Los Angeles; Orange; San Diego,New York,SELF,YES,link (https://www.shbamerica.com/business-business-credit-card/),⭐ YES (VERIFIED-own-page) (https://www.shbamerica.com/business-business-credit-card/),UNK (https://www.shbamerica.com/),UNK,No bureau DP; relationship-based business card (deposit/loan (UNKNOWN) (https://www.shbamerica.com/business-credit-card/),$4000,Branch (https://www.shbamerica.com/business-business-credit-card/),https://www.shbamerica.com (https://www.shbamerica.com),https://www.shbamerica.com/business-business-credit-card/ (https://www.shbamerica.com/business-business-credit-card/)
🟨 2,INTERFAITH FEDERAL CREDIT UNION (https://interfaithfcu.org),YES,San Bernardino,Montclair,SELF,YES,link (https://interfaithfcu.org/business-visa),⭐ YES (VERIFIED-own-page) (https://interfaithfcu.org/business-visa),UNK (https://interfaithfcu.org/checking),UNK,"Still unknown. Interfaith FCU (Montclair CA; ~$121M, ~6K mem (UNKNOWN) (https://interfaithfcu.org/business-visa)",—,Call,https://interfaithfcu.org (https://interfaithfcu.org),https://interfaithfcu.org/business-visa (https://interfaithfcu.org/business-visa)
🟨 2,CALIFORNIA COMMUNITY CREDIT UNION (https://www.caccu.org),YES,Los Angeles; Orange; San Diego,Glendale,SELF,YES,link (https://www.caccu.org/loans/visa/),unknown (-),UNK (CONSUMER-PROXY) (https://letmebank.com/california-second-chance-checking/),UNK,NO BUSINESS CARD — CACCU offers ONLY consumer Visa Platinum  (CONSUMER-PROXY) (https://www.caccu.org/loans/visa/),$500,UNKNOWN (https://www.caccu.org/loans/visa/),https://www.caccu.org (https://www.caccu.org),https://www.caccu.org/loans/visa/ (https://www.caccu.org/loans/visa/)
🟨 2,WEST COAST COMMUNITY BANK (https://wccb.com),YES,Ventura,Fresno,SELF,YES,link (https://wccb.com/corporate_cards),unknown (-),UNK (https://wccb.com/),UNK,"Cards issued/serviced by TCM Bank, N.A. (rail). TCM hard-pul (RAIL-INFERENCE) (https://www.prnewswire.com/news-releases/santa-cruz-county-bank-and-1st-capital-bank-complete-post-merger-rebrand-as-west-coast-community-bank-302416452.html)",$0,Phone/RM (Corporate Card Mgr 831.457.5000; no online app) (https://wccb.com/corporate_cards),https://wccb.com (https://wccb.com),https://wccb.com/corporate_cards (https://wccb.com/corporate_cards)
🟨 2,MONTECITO BANK & TRUST (https://montecito.bank),YES,Ventura,Santa Barbara,SELF,YES,link (https://montecito.bank/business/credit-card),unknown (-),NO (VERIFIED-own-doc) (https://montecito.bank/pdf/deposit-account-terms-and-disclosures),UNK (VERIFIED-own-doc),UNKNOWN — issuer not confirmed on public pages; uses SpendTr (UNKNOWN) (https://montecito.bank/business/credit-card),$0,Assisted (appointment/banker) (https://montecito.bank/business/credit-card (schedule appointment; tel 805-963-7511)),https://montecito.bank (https://montecito.bank),https://montecito.bank/business/credit-card (https://montecito.bank/business/credit-card)
🟨 2,VENTURA COUNTY CREDIT UNION (https://www.vccuonline.net),YES,Ventura,Ventura,SELF,YES,link (https://www.vccuonline.net/Business/Business-Accounts),unknown (-),UNK (https://www.vccuonline.net/),UNK,UNKNOWN bureau — VCCU offers business Visa; no membership or (UNKNOWN) (https://www.vccuonline.net/Business),—,Branch/phone (https://www.vccuonline.net/Business/Business-Accounts (contact business services specialist via form)),https://www.vccuonline.net (https://www.vccuonline.net),https://www.vccuonline.net/Business (https://www.vccuonline.net/Business)
🟥 TIER 3 — SCREENS: pulls ChexSystems and/or EWS (confirmed) — sequence early/with clean file or skip,,,,,,,,,,,,,,,
🟥 3,First-Citizens Bank & Trust Company (https://www.firstcitizens.com),YES,Los Angeles; San Bernardino; Riverside; Orange; Ventura; San Diego,"Raleigh, Long Beach",SELF,YES,link (https://www.firstcitizens.com/small-business/credit-financing/credit-cards),⭐ YES (COMMUNITY-DP) (https://ficoforums.myfico.com/t5/Business-Credit/No-doc-cc-or-bloc/td-p/6726109),YES (uses ChexSystems — DoC/own disclosure) (https://www.crediful.com/chexsystems/first-citizens-bank/),UNK,Mixed/all-three reported (single DP: pulls all 3 personal +  (COMMUNITY-DP (single thread; tri-pull claim from search snippet - verify in thread)) (https://ficoforums.myfico.com/t5/Business-Credit/20k-First-Citizens-Low-Interest-Business-CC-approval/td-p/6704468),$0,In-person (https://www.firstcitizens.com/small-business/credit-financing/credit-cards/compare),https://www.firstcitizens.com (https://www.firstcitizens.com),https://www.firstcitizens.com/small-business/credit-financing/credit-cards (https://www.firstcitizens.com/small-business/credit-financing/credit-cards)
🟥 3,AMERICA'S CHRISTIAN CREDIT UNION (https://americaschristiancu.com/),YES,Los Angeles,Glendora,SELF,YES,link (https://americaschristiancu.com/organization/visa-business-rewards-credit-card/),unknown (-),YES — lenient (DOES use ChexSystems; Unchex) (https://unchex.com/),UNK,"No bureau DP; Visa Business/Ministry Rewards card exists, 'S (UNKNOWN) (https://americaschristiancu.com/organization/visa-business-rewards-credit-card/)",$3500,Call (https://americaschristiancu.com/organization/visa-business-rewards-credit-card/),https://americaschristiancu.com/ (https://americaschristiancu.com/),https://americaschristiancu.com/organization/visa-business-rewards-credit-card/ (https://americaschristiancu.com/organization/visa-business-rewards-credit-card/)
🟥 3,"Bank of America, National Association (https://business.bankofamerica.com)",YES,Los Angeles; San Bernardino; Riverside; Orange; Ventura; San Diego,"Charlotte, Long Beach",SELF,YES,link (https://business.bankofamerica.com/en/credit-cards/business-advantage-unlimited-cash-rewards),⭐ YES (COMMUNITY-DP) (https://ficoforums.myfico.com/t5/Business-Credit/Bank-of-America-Business-Unlimited-Cash-Rewards-Approval-16K/td-p/6816689),NO (COMMUNITY-DP) (https://www.crediful.com/chexsystems/bank-of-america/),YES (COMMUNITY-DP),EX usual; CA mixed (EX/TU/EQ) — no business-specific upgrade (COMMUNITY-DP-business),$0,Online (https://business.bankofamerica.com/en/credit-cards),https://business.bankofamerica.com (https://business.bankofamerica.com),https://business.bankofamerica.com/en/credit-cards (https://business.bankofamerica.com/en/credit-cards)
🟥 3,"Wells Fargo Bank, National Association (https://www.wellsfargo.com)",YES,Los Angeles; San Bernardino; Riverside; Orange; Ventura; San Diego,"Sioux Falls, Long Beach, Fontana",SELF,YES,link (https://creditcards.wellsfargo.com/business-credit-cards/signify-business-cash-credit-card/),⭐ YES (COMMUNITY-DP) (https://ficoforums.myfico.com/t5/Business-Credit/Wells-Fargo-Signify-Business-Card-36K-SL/td-p/6788276),YES (COMMUNITY-DP) (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/),YES (COMMUNITY-DP),Experian dominant for the Signify Business Cash/Business car (B) (https://ficoforums.myfico.com/t5/Business-Credit/Wells-Fargo-Signify-Business-Cash-Card-now-live/td-p/6756650),$0,Online (also branch by appt) (https://creditcards.wellsfargo.com/business-credit-cards/signify-business-cash-credit-card/),https://www.wellsfargo.com (https://www.wellsfargo.com),https://www.wellsfargo.com/biz/business-credit/credit-cards/ (https://www.wellsfargo.com/biz/business-credit/credit-cards/)
🟥 3,"JPMorgan Chase Bank, National Association (https://www.chase.com)",YES,Los Angeles; San Bernardino; Riverside; Orange; Ventura; San Diego,"Columbus, Long Beach, Fontana",SELF,YES,link (https://creditcards.chase.com/business-credit-cards),⭐ YES (COMMUNITY-DP) (https://ficoforums.myfico.com/t5/Business-Credit/Chase-Ink-Business-Unlimited-APPROVED-50k-SL/td-p/6349031),NO (COMMUNITY-DP) (https://www.crediful.com/chexsystems/chase/),YES (COMMUNITY-DP),Experian dominant in CA (~70%+ of Chase pulls nationally; CA (COMMUNITY-DP) (https://www.doctorofcredit.com/knowledge-base/which-credit-bureau-does-chase-pull/),$0,Online (https://creditcards.chase.com/business-credit-cards),https://www.chase.com (https://www.chase.com),https://creditcards.chase.com/business-credit-cards (https://creditcards.chase.com/business-credit-cards)
🟥 3,U.S. Bank National Association (https://www.usbank.com),YES,Los Angeles; San Bernardino; Riverside; Orange; Ventura; San Diego,"Cincinnati, Long Beach, Fontana, Wilmington",SELF,YES,link (https://www.usbank.com/business-banking/business-credit-cards/business-triple-cash-back-credit-card.html),⭐ YES (COMMUNITY-DP) (https://ficoforums.myfico.com/t5/Business-Credit/Approved-U-S-Bank-Business-Triple-Cash-Rewards-10K-SL-Data-Point/td-p/6845780),YES (COMMUNITY-DP) (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/),YES (COMMUNITY-DP),TU-usual for business (CA consumer: TU 47%/EX 26%/EQ 5%) (COMMUNITY-DP (business-specific myFICO DPs)) (https://ficoforums.myfico.com/t5/Business-Credit/US-Bank-Business-Platinum-Approval-35-000/td-p/6608888),$0,Online (https://www.usbank.com/business-banking/business-credit-cards.html),https://www.usbank.com (https://www.usbank.com),https://www.usbank.com/business-banking/business-credit-cards.html (https://www.usbank.com/business-banking/business-credit-cards.html)
🟥 3,"Citibank, National Association (https://www.citi.com)",YES,Los Angeles; San Bernardino; Riverside; Orange; Ventura; San Diego,"Sioux Falls, Long Beach, Fontana",SELF,YES,link (https://www.citi.com/credit-cards/compare/business-credit-cards),⭐ YES (COMMUNITY-DP) (https://ficoforums.myfico.com/t5/Credit-Card-Approvals/Another-Day-Another-DP-Citi-AAdvantage-Business-Approval/td-p/6858388),YES (COMMUNITY-DP) (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/),YES (COMMUNITY-DP),Experian primary for Citi AAdvantage Business card; Citi BUS (B) (https://wallethub.com/answers/cc/what-credit-bureau-does-citi-aadvantage-business-world-elite-mastercard-use-1000625-2140751670/),$0,Online (https://www.citi.com/credit-cards/compare/business-credit-cards),https://www.citi.com (https://www.citi.com),https://www.citi.com/credit-cards/compare/business-credit-cards (https://www.citi.com/credit-cards/compare/business-credit-cards)
🟥 3,Western Alliance Bank (https://www.westernalliancebancorporation.com),YES,Los Angeles; San Diego,Phoenix,SELF,YES,link (https://www.westernalliancebancorporation.com/small-business/credit-cards/business-plus-credit-card),unknown (UNVERIFIED-RUMOR) (https://www.westernalliancebancorporation.com/small-business/credit-cards/business-plus-credit-card),YES (VERIFIED-own-doc) (https://www.westernalliancebancorporation.com/sites/default/files/2024-01/wab-deposit-account-agreement-and-disclosure.pdf),NO (VERIFIED-own-doc),Business Plus Visa card issued DIRECTLY by Western Alliance  (UNKNOWN) (https://www.westernalliancebancorporation.com/small-business/business-credit-cards),"$1,",Online form -> banker callback in 2-3 business days (not instant online decision) (https://www.westernalliancebancorporation.com/small-business/credit-cards/business-plus-credit-card),https://www.westernalliancebancorporation.com (https://www.westernalliancebancorporation.com),https://www.westernalliancebancorporation.com/small-business/credit-cards/business-plus-credit-card (https://www.westernalliancebancorporation.com/small-business/credit-cards/business-plus-credit-card)
🟥 3,"PNC Bank, National Association (https://www.pnc.com)",YES,Los Angeles; San Bernardino; Riverside; San Diego,Wilmington,SELF,YES,link (https://www.pnc.com/en/small-business/borrowing/business-credit-cards/pnc-visa-business-credit-card.html),⭐ YES (COMMUNITY-DP) (https://ficoforums.myfico.com/t5/Business-Credit/PNC-Business-Credit-Card-Approval/td-p/6675929),YES (COMMUNITY-DP) (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/),YES (COMMUNITY-DP),Experian-leaning for PNC Visa Business per WalletHub + Credi (https://wallethub.com/answers/cc/what-credit-bureau-does-pnc-visa-business-credit-card-use-1000625-2140778516/),$0,Online (https://www.pnc.com/en/small-business/borrowing/business-credit-cards.html),https://www.pnc.com (https://www.pnc.com),https://www.pnc.com/en/small-business/borrowing/business-credit-cards/pnc-visa-business-credit-card.html (https://www.pnc.com/en/small-business/borrowing/business-credit-cards/pnc-visa-business-credit-card.html)
🟥 3,KINECTA FEDERAL CREDIT UNION (https://www.kinecta.org),YES,Los Angeles; Orange; Ventura,Manhattan Beach,SELF,YES,link (https://www.kinecta.org/credit-card/mypro),partial (COMMUNITY-DP) (https://ficoforums.myfico.com/t5/Credit-Card-Approvals/KINECTA-CU-MyPerks-Rewards-MC-Approval-for-35K-CL/td-p/6579395),YES (VERIFIED-own-doc) (https://www.kinecta.org/online-mobile-banking/),UNK,No business-card-specific DP; myFICO 'I'm Embarrassed 2nd Pe (CONSUMER-PROXY) (https://ficoforums.myfico.com/t5/Credit-Card-Approvals/I-m-Embarra-ed-2nd-Personal-Kinecta-FCU-CC-Same-HP/td-p/6520919),$0,In-person/phone (book appointment or 800.854.9846; no online app) (https://www.kinecta.org/credit-card/mypro),https://www.kinecta.org (https://www.kinecta.org),https://www.kinecta.org/credit-card/mypro (https://www.kinecta.org/credit-card/mypro)
