Rec Rank,Rec Pick #,Bank,Type,SoCal Priority,Meets Gold?,ChexSystems (deposit),EWS (deposit),Mentor List,Card Category,Est. Credit Limit,Assets,Deposits,CA Footprint,CA Presence,Self-UW?,Business Card?,Underwriter,Apply,How to Apply,Website,Biz Card Link,HP Bureau,Reports To (biz bureaus),Approval Info & Limits (+link),No-Doc Fit (/5),PG / Tax Returns,Other No-Doc Funding,Deposit Acct?,Best For,Card Products,Region / Metro,City (HQ),Asset Rank,Confidence / Date,Sources
29,29,American United Federal Credit Union,Credit Union,Coachella (low),3/4  ✓SUW ✓Onl ✗SoCal ✓Card,N/M,N/M,,A — Self-UW (online),N/M (no bank-specific data point found),"$0.39B ‖ v7 2026-06-11: $394.2M (2026-03-31, research/v6/out/cr202603/FS220.txt (Acct_010 total assets, Acct_018 total shares & deposits) + FOICU.txt, cycle 2026-03)","v7 2026-06-11: $334.7M (2026-03-31, research/v6/out/cr202603/FS220.txt (Acct_010 total assets, Acct_018 total shares & deposits) + FOICU.txt, cycle 2026-03)",3 Riverside-County branches (tribal casinos),CA-HQ'd,Yes,✅ VISA Business Cash Back: 1% back; $0 AF; FIXED as low as 9.90%; SELF-issued (instant-issue in branch),Self (American United FCU),Online,Online — apply at https://www.amucu.org/business/business-cash-back-visa/,https://www.amucu.org,https://www.amucu.org/business/business-cash-back-visa/,N/M,N/M,BLOC secured/unsecured ('limits vary by business financial health'). FAQ cites credit score + biz history + financial statements. Light census 2026-06-10.,3,N/M (financial statements cited in FAQ),None published,Membership OPEN: $5 Financial Fitness Association path (anyone),★ 9.90% FIXED biz Visa online + $5 FFA open join (Riverside Co.),American United Platinum VISA Cash Back (9.90% fixed),"SoCal / Riverside-Coachella (3 casino branches: Spotlight 29 Coachella, Morongo Cabazon, Soboba San Jacinto; UT-HQ'd)","West Jordan, UT",CU,"MED-HIGH self/9.90%-fixed/online/FFA-open; N/M limits, HP. Light census 2026-06-10",amucu.org/business/business-cash-back-visa + lines-of-credit + become-a-member
30,30,Logix Federal Credit Union,Credit Union,★ Core SoCal,3/4  ✓SUW ✗Onl ✓SoCal ✓Card,"Yes — pulls (lenient — second-chance reviews) (COMMUNITY-DP (secondary site, undated); DP 2026-06-10 (searched); v6 2026-06-10)",N/M,,B — Self-UW (in branch),N/M (no bank-specific data point found),"~$9.73B ‖ v7 2026-06-11: $9.72B (2026-03-31, research/v6/out/cr202603/FS220.txt (Acct_010 total assets, Acct_018 total shares & deposits) + FOICU.txt, cycle 2026-03)","v7 2026-06-11: $8.19B (2026-03-31, research/v6/out/cr202603/FS220.txt (Acct_010 total assets, Acct_018 total shares & deposits) + FOICU.txt, cycle 2026-03)",HQ Valencia (LA County); ~18 branches LA + Ventura; CA-only business card,CA-HQ'd,Yes,✅ Smart Business Cashback Mastercard: 5.99% intro 6mo (NOT 0%); 17.99%; $0 AF; 1.5% cash back,Self (Logix FCU),In-person,By appointment (agreement allows online for members),https://www.logixbanking.com/business/credit-card,https://www.logixbanking.com/business/credit-card,N/M (personal pull; a consumer lawsuit alleged EQ + TU),⚠️ Reports to PERSONAL consumer bureaus (negative + tradeline),Apply by appointment (agreement allows online for members). Conservative lender; CA-only business card. No business-card forum data.,0,PG (inferred); creditworthiness-based,None,Membership required (SoCal Easy-Membership + OPEN via American Consumer Council; business within 30mi of a branch),Reports to personal credit,Logix Smart Business Cashback Mastercard,SoCal / Los Angeles (Valencia/Burbank) + Ventura,"Valencia, CA",CU,HIGH self/terms/SoCal/membership; ⚠️ reports to personal credit; apply N (appointment). 2026-05-28,logixbanking.com/business/credit-card + Smart Business Cashback agreement PDF (issuer=self); CFPB; become-a-member ‖ v6 2026-06-10: Chex/EWS v6: secondary sources state Logix reviews Chex but may approve with a single negative item (second-chance). Weak/undated — verify. | https://www.thecreditpeople.com/bureaus/which-credit-unions-really-do-not-use-chexsystems
31,31,Sunwest Bank,Regional,★ Core SoCal,3/4  ✓SUW ✗Onl ✓SoCal ✓Card,"N/M (no public DP either way; 'early warning' on site = fraud-alert copy, not the agency)",N/M,"EXP #2 (mentor — STALE: pre-2019 Elan era; now Torpago self-issue, bureau N/M)",B — Self-UW (in branch),"N/M (company-level limits; 'higher than traditional' marketing, unquantified)",$4.27B,$3.45B,"3 CA branches ALL Orange County: Irvine, Tustin, San Clemente; +UT/AZ/ID/FL; cert 20164",Major CA (branches + lending),Yes,⚠️ Visionary Corporate Card — EXISTING Sunwest CLIENTS ONLY; no 0%; APR N/M; $0 AF; 1% cash back,Self (Torpago 'Visionary' platform + Marqeta rails; own balance sheet),In-person,Visit branch / contact a banker (no online application),https://www.sunwestbank.com,https://www.sunwestbank.com/visionary-corporate-card/,N/M (cash-flow/FICO-monitor UW; bureau unpublished. Mentor 'EXP' = STALE pre-2019 Elan-era intel — archive.org proof) ‖ v7 2026-06-11: bureau verdict [MENTOR-ONLY] vs mentor 'Experian' = CONFLICTS (stale). Current card = Torpago-powered 'Visionary' commercial card (launched ~2023); old Elan program dead. Torpago corporate cards underwrite differently; EX claim is stale legacy data. (DPs 2023 (Torpago launch)). Action: ask banker re Torpago underwriting/personal pull,'Build business credit' marketed; bureaus N/M,"Cash-flow/statement-based UW (no tax returns evidenced; CLIs = bank statements, 3-5 day decision). Zero forum DPs. VisionaryPayments@SunwestBank.com.",2,N/M (Torpago-direct was no-PG; Sunwest agreement login-gated),Card IS statement-based (no-tax-return); SBA Express ≤$350K 36-hr decision (low-doc),YES — must be Sunwest deposit client first,Statement-based corporate card — CLIENTS ONLY (OC),Visionary Corporate Card (Visa; physical + unlimited virtual; Torpago/Marqeta; launched 2024-01),SoCal / Orange County (UT-chartered — why our CA-HQ sweep missed it),"Sandy, UT (ops Irvine/Tustin/San Clemente)",Reg,"HIGH self/clients-only-gate/OC footprint (all primary, 2026-06-09); N/M bureau, PG, limits. 2026-06-09","sunwestbank.com/visionary-corporate-card; support.visionarycorporatecard.com (clients-only, upd 2026-05-18); torpago.com PR 2024-01-24; FDIC cert 20164; web.archive.org 2015 (Elan-era proof) ‖ v7 2026-06-11: bureau: https://www.torpago.com/blog/launching-sunwest-banks-business-credit-card-program/ | https://www.sunwestbank.com/visionary-corporate-card/"
32,32,"Flagstar Bank, N.A.",Regional,★ Core SoCal,3/4  ✗SUW ✓Onl ✓SoCal ✓Card,Yes — pulls (DoC 2025-08-07),N/M,,C — Other agent card,N/M (no bank-specific data point found),"v7 2026-06-11: $87.13B (2026-03-31, api.fdic.gov/banks/institutions?filters=CERT:32541)","v7 2026-06-11: $66.83B (2026-03-31, api.fdic.gov/banks/institutions?filters=CERT:32541)",~13 branches LA/OC/San Bernardino (FDIC SOD 2025); ex-NYCB,N/M,No,✅ Business Edition Visa (+Absolute Rewards / Secured); issued by FNBO; terms N/M,FNBO (First National Bank of Omaha — agent program),Online,Online — apply at https://card.fnbo.com/mpp/fi/flagstar/business/web-visa,https://www.flagstar.com,https://card.fnbo.com/mpp/fi/flagstar/business/web-visa,"Experian (FNBO standard; WalletHub/myFICO, acc. 2026-06-10)",N/M,FNBO agent portal card.fnbo.com — online apply. Secured tier: self-set $2K–$10K deposit. Light census 2026-06-10.,3,PG typical (FNBO; N/M specifics),BLOC = collateral-based (AR/inventory/equipment),No (card portal open),"★ FNBO agent card — online apply, Experian (13 SoCal branches)",Business Edition Visa; w/ Absolute Rewards; Secured w/ Maximum Rewards (FNBO),SoCal / LA-OC-SB (13 branches; NY-HQ'd),"Hicksville, NY",Reg,HIGH issuer=FNBO/online/EX; N/M limits. Light census 2026-06-10,card.fnbo.com/mpp/fi/flagstar/business/web-visa; flagstar.com business-lines-of-credit; DoC Chex list 2025-08-07
33,33,HCN Bank,CA Bank,★ Core SoCal,3/4  ✗SUW ✓Onl ✓SoCal ✓Card,N/M,N/M,,C — Other agent card,N/M (TIB; financials typically required $10K+),"$0.97B ‖ v7 2026-06-11: $974.1M (2026-03-31, api.fdic.gov/banks/institutions?filters=CERT:21606)","v7 2026-06-11: $852.7M (2026-03-31, api.fdic.gov/banks/institutions?filters=CERT:21606)","Inland Empire; Riverside HQ, Hemet, Anza, Beaumont; rebranded from Bank of Hemet (Jan 2023)",CA-HQ'd,No,✅ no 0%; APR N/M (Prime-based); $0/$49 AF; 1pt/$1 (Preferred Points),TIB,Online,Online — apply at https://www.hcnbank.com/Business-Credit-Cards/,https://www.hcnbank.com,https://www.hcnbank.com/Business-Credit-Cards/,Experian (TIB; INFERENCE),N/M (TIB not on DoC list),TIB program (cardaccount.net): underwritten/approved/serviced by TIB; 25-day grace. No HCN-specific forum DPs.,3,PG likely (TIB standard); income docs N/M,None (commercial equipment/CRE/construction/SBA + LOC full-doc),N/M,★ No-doc card — apply online,"Business Card Standard ($0 AF); Business Card Preferred Points ($49 AF, up to 10K pts/mo)",SoCal / Inland Empire,Riverside,63,"HIGH issuer=TIB (own page disclosure)/online/Inland Empire/products; N/M APR, HP, reports. 2026-05-29",hcnbank.com/Business-Credit-Cards (TIB disclosure); cardaccount.net; FDIC cert 21606
34,34,"American Plus Bank, N.A.",CA Bank,★ Core SoCal,3/4  ✗SUW ✓Onl ✓SoCal ✓Card,N/M,N/M,,C — Other agent card,N/M (TIB; financials typically required $10K+),"$0.89B ‖ v7 2026-06-11: $890.7M (2026-03-31, api.fdic.gov/banks/institutions?filters=CERT:58469)","v7 2026-06-11: $716.6M (2026-03-31, api.fdic.gov/banks/institutions?filters=CERT:58469)",~4 CA branches (Arcadia HQ + SGV); CDFI; Chinese-American (founded 2007),CA-HQ'd,No,✅ TIB Visa (Platinum Cash Rewards consumer; Charge Company Rewards business); terms N/M,"TIB ‖ v7 2026-06-11: UPDATE: cards = TCM Bank, N.A. (ICBA agent) — bankaplus.com card apply routes to mycommunitycc.com (TCM platform); supersedes earlier TIB inference. Commercial loans = self-UW.",Online,Online — apply at https://bankaplus.com/Credit-Cards,https://bankaplus.com,https://bankaplus.com/Credit-Cards,Experian/TU (TIB; INFERENCE),"N/M (TIB; biz-only reporting per forum, unconfirmed here)","TIB Community Card program (mycommunitycc.com portal); no AF typical, ~25-day grace (unverified for this program). No bank-specific DPs.",3,PG likely (TIB standard); docs N/M,None (commercial LOC/CRE/construction/SBA/trade full-doc),N/M,★ No-doc card — apply online,Visa Platinum Cash Rewards (consumer); Visa Charge Company Rewards (business) — TIB Community Card suite,SoCal / LA (San Gabriel Valley),Arcadia,65,"MED-HIGH issuer=TIB (mycommunitycc.com portal)/online/SGV; N/M terms, HP, reports. 2026-05-29",bankaplus.com/Credit-Cards; mycommunitycc.com (TIB portal); FDIC cert 58469 ‖ v7 2026-06-11: v7 underwriter update: https://bankaplus.com/Credit-Cards; https://www.mycommunitycc.com/
35,35,Orange County's Credit Union,Credit Union,★ Core SoCal,3/4  ✓SUW ✗Onl ✓SoCal ✓Card,Yes — pulls (DOC-LIST + COMMUNITY-DP; DP 2021-05-26; v6 2026-06-10),Yes — pulls (DOC-LIST + COMMUNITY-DP; DP 2021-05-26; v6 2026-06-10),,B — Self-UW (in branch),N/M (no bank-specific data point found),"~$2.5B ‖ v7 2026-06-11: $3.07B (2026-03-31, research/v6/out/cr202603/FS220.txt (Acct_010 total assets, Acct_018 total shares & deposits) + FOICU.txt, cycle 2026-03)","v7 2026-06-11: $2.58B (2026-03-31, research/v6/out/cr202603/FS220.txt (Acct_010 total assets, Acct_018 total shares & deposits) + FOICU.txt, cycle 2026-03)",OC branches + Chino; ~$2.5B,CA-HQ'd,Yes,✅ Business Mastercard; SELF-issued (payments to own Santa Ana PO Box; no external creditor); terms N/M,Self (Orange County's CU),In-person,Visit branch / contact a banker (no online application),https://www.orangecountyscu.org,https://www.orangecountyscu.org/products/business-services/,"Experian (consumer loans, own FAQ; biz N/M)",N/M,BLOC referenced in checking fee-waiver text (no product page). Light census 2026-06-10.,2,N/M,None published,Membership OPEN: American Consumer Council / Community Impact Fund paths; serves OC/LA/Riverside/SB,Self-UW biz MC; ACC open join; branch-apply,Business Mastercard Credit Card,SoCal / Orange County (+Chino SB),"Santa Ana, CA",CU,MED-HIGH self/EX-consumer/ACC-open/branch-apply. Light census 2026-06-10,orangecountyscu.org business-services + FAQ (Experian KB218) + contact ‖ v6 2026-06-10: Chex/EWS v6: Orange County CU on Davis 2021-05-26 list of banks that PULLED his EWS; DoC Chex: does pull (1). | https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/; https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/#comment-1196492
36,36,Christian Community Credit Union (AdelFi),Credit Union,★ Core SoCal,3/4  ✓SUW ✗Onl ✓SoCal ✓Card,Yes — pulls (separate pulls for checking + later CD) (DOC-LIST + COMMUNITY-DP; DP 2018-08-15; v6 2026-06-10),No EWS inquiry on opening DP (2018 DP) (DOC-LIST + COMMUNITY-DP; DP 2018-08-15; OLD single DP — re-verify; v6 2026-06-10),,B — Self-UW (in branch),N/M (no bank-specific data point found),"~$0.89B (combined) ‖ v7 2026-06-11: $1.44B (2026-03-31, research/v6/out/cr202603/FS220.txt (Acct_010 total assets, Acct_018 total shares & deposits) + FOICU.txt, cycle 2026-03)","v7 2026-06-11: $1.24B (2026-03-31, research/v6/out/cr202603/FS220.txt (Acct_010 total assets, Acct_018 total shares & deposits) + FOICU.txt, cycle 2026-03)",San Dimas + Brea,CA-HQ'd,Yes,✅ 'Gives to Missions' Visa Business Rewards: 1.5% cash back; $300/$3K bonus; SELF-issued. Merged w/ AdelFi 2025-12-01 (~$885M combined; AdelFi brand by mid-2026),Self (CCCU charter continues),Assisted,Staff-assisted (phone appointment / DocuSign; not instant),https://www.adelfibanking.com,https://www.adelfibanking.com/ministry/ministry-credit-cards/,N/M,N/M,Ministry LOCs need 3yr financial statements (churchlend.com) — biz-card docs N/M. Light census 2026-06-10.,2,N/M,None published,"Membership: Christians (statement of faith) — individuals, churches, ministries, Christian-owned businesses, US-wide (open-ish)",No-doc card — apply in branch,Gives to Missions Visa Business Rewards (1.5%),SoCal / LA (San Dimas HQ) + OC (Brea AdelFi),"San Dimas, CA",CU,MED-HIGH self/products/merger-flux. Light census 2026-06-10,"adelfibanking.com ministry-credit-cards + business-lines-of-credit; cutimes.com 2025-12-03 ‖ v6 2026-06-10: Chex/EWS v6: CCCU does pull Chex (5 DPs) and is inquiry-sensitive (sens page: denied at 26+). EWS: NOT among Ampersand's 2018-08-15 EWS inquiries (opened CCCU, no EWS inquiry). Now branded Adel | https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/; https://www.doctorofcredit.com/banks-credit-unions-chexsystems-inquiry-sensitive/; https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-w"
37,37,Truist,National,National (lends in CA),3/4  ✓SUW ✓Onl ✗SoCal ✓Card,Yes — personal (DoC 2025-08-07; ~2026-03 DP); one DP: business in-branch SKIPPED Chex (2025-10-17),Yes — pulls (EWS co-owner; predecessor biz DP 2019-01-12; DP 2026-05-22),,A — Self-UW (online),~$10K (EQ 754); $25K seen; combined stacks ~$18K–$72K  [myFICO #6741527],"~$548B ‖ v7 2026-06-11: $541.18B (2026-03-31, api.fdic.gov/banks/institutions?filters=CERT:9846)","v7 2026-06-11: $413.57B (2026-03-31, api.fdic.gov/banks/institutions?filters=CERT:9846)",SE/Mid-Atlantic + new TX (Austin/Dallas); NO California branches,⚠ Needs local branch/account — minimal/no CA retail (likely NOT reachable),Yes,"✅ Business Card 0% 12 cyc, $0 AF (best); Cash Rewards 0% 9cyc; Visa Infinite ($299) branch-only",Self (Truist Bank),Online,Online — apply at https://businesscreditcard.digitalcommerce.truist.com/product/SBL,https://www.truist.com/small-business/credit-cards/compare,https://businesscreditcard.digitalcommerce.truist.com/product/SBL,Equifax (exclusively),Personal: N/M (Truist absent from DoC list). Business: N/M,"Equifax-ONLY HP, per app; SOFT-pull pre-qual path exists. Friendly velocity (approved 6yr LLC then startup LLC ~1wk later). Limits ~$10K (EQ 754), $25K seen; combined ~$18-72K stacks. myfico.com #6741527 / #6650127",4,"PG yes (Guarantor, for-profit); NO tax returns (Equifax-driven)",LOC/term/SBA = doc-based (not no-doc),No (recommended for Loyalty Cash Bonus),★ ⚠ No CA branches — likely not reachable from CA,"Business Cash Rewards, Business Travel ($49), Business Premium Visa Infinite ($299, branch-only), Business Card (0%)",National — NO CA branches (SE/Mid-Atlantic + TX); CA online eligibility UNVERIFIED,"Charlotte, NC",Natl,"HIGH self/lineup/HP=Equifax/no-CA-branches; LOW CA online eligibility, personal/biz reporting (N/M). 2026-05-28",truist.com/small-business/credit-cards; businesscreditworkshop.me; myfico.com #6741527; media.truist.com (Visa Infinite)
38,38,MidFirst Bank,Regional,★ Core SoCal,3/4  ✓SUW ✗Onl ✓SoCal ✓Card,"Yes — pulls, 4 DPs (DoC 2025-08-07) ‖ v6 2026-06-10: SENSITIVE per sens page: declined 7/12, denied 12/6 (fetched 2026-06-10)",Reports to EWS (no inquiry DP) (DOC-LIST + COMMUNITY-DP; DP 2022-11-20; v6 2026-06-10),,B — Self-UW (in branch),N/M (no bank-specific data point found),"v7 2026-06-11: $42.11B (2026-03-31, api.fdic.gov/banks/institutions?filters=CERT:4063)","v7 2026-06-11: $24.69B (2026-03-31, api.fdic.gov/banks/institutions?filters=CERT:4063)",3 LA branches (FDIC SOD 2025); largest private US bank,N/M,Yes,✅ Business Credit Card / Business Rewards / Business Secured ($35 AF); terms N/M,Self (MidFirst Bank — no third-party portal),In-person,Visit branch / contact a banker (no online application),https://www.midfirst.com,https://www.midfirst.com/business-and-commercial/card-solutions/credit,N/M,N/M,Self-issued lineup incl. secured tier. Commercial LOC $1M–$30M+ (separate tier). Light census 2026-06-10.,2,N/M,None published,N/M (relationship bank),"Self-UW, branch-apply (3 LA branches)",Business Credit Card; Business Rewards; Business Secured ($35 AF),SoCal / LA (3 branches; OK-HQ'd),"Oklahoma City, OK",Reg,"MED-HIGH self/branch-apply; N/M terms, HP. Light census 2026-06-10","midfirst.com/business-and-commercial/card-solutions/credit; DoC Chex list 2025-08-07 (pulls, 4 DPs) ‖ v6 2026-06-10: Chex/EWS v6: MidFirst on Gadget 2022-11-20 EWS-reporter list; D5 appendix (Monifi): EWS in addition to Chex. Sens page: declined 7/12, denied 12/6 = sensitive. | https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/; https://www.doctorofcredit.com/banks-credit-unions-chexsystems-inquiry-sensitive/; https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-w"
39,39,Banner Bank,Regional,Other — West Coast — CA,2/4  ✓SUW ✗Onl ✗SoCal ✓Card,"Yes — pulls, sensitive (Unchex; BankDealGuy reader DP 2026-01-27); BankOn 'Digital Account' = fallback",N/M,"TU #1 (mentor — publicly N/M; plausible, unverified)",B — Self-UW (in branch),N/M (no bank-specific data point found),"~$16.56B ‖ v7 2026-06-11: $16.34B (2026-03-31, api.fdic.gov/banks/institutions?filters=CERT:28489)","v7 2026-06-11: $13.93B (2026-03-31, api.fdic.gov/banks/institutions?filters=CERT:28489)",HQ Walla Walla; ~135 branches; ~30 CA branches (ex-AmericanWest/AltaPacific acquisitions),Major CA (branches + lending),Yes,"✅ Business Platinum Mastercard: 0% 12mo, $0 AF; Business Cash Rewards; + commercial",Self (Banner Bank),In-person,Download PDF application → bring to branch (full PG underwriting),https://www.bannerbank.com/business-solutions/services/small-business-credit-card,https://www.bannerbank.com/business-solutions/services/small-business-credit-card/business-platinum-mastercard,"N/M public — mentor DP (2026-06, unverified): TransUnion ‖ v7 2026-06-11: bureau verdict [MENTOR-ONLY] vs mentor 'TransUnion' = NO-DATA. Banner Bank self-issues its cards (not Elan; Banner FCU is a different entity that uses Elan). No bureau DP found anywhere for Banner Bank cards. (DPs n/a). Action: ask at application",N/M,Download PDF application -> bring to branch. No forum data.,2,PG YES (joint & several) + full underwriting (Tax ID + gross revenue + guarantor SSN/income/net worth + bureau pull),None (full-doc card; commercial lending full-doc),N/M,No-doc card — apply in branch,"Business Platinum Mastercard, Business Cash Rewards Mastercard; Commercial / Commercial Rewards",West Coast — CA/WA/OR/ID (~30 CA branches),"Walla Walla, WA",Reg,HIGH self/products/0%-12mo/PG-full-underwrite/CA-footprint; apply N (paper->branch). 2026-05-28,"bannerbank.com/.../business-platinum-mastercard + application PDF (issuer=self, PG); FDIC cert 28489 ‖ v7 2026-06-11: bureau: https://www.bannerbank.com/personal/credit-cards"
40,40,Infinity Bank,CA Bank,★ Core SoCal,3/4  ✗SUW ✓Onl ✓SoCal ✓Card,"N/M (no disclosure, no DPs — ask the banker)",N/M,,C — Other agent card,N/M (ServisFirst; no published limit / forum DP),"$0.39B ‖ v7 2026-06-11: $392.9M (2026-03-31, api.fdic.gov/banks/institutions?filters=CERT:59098)","v7 2026-06-11: $343.7M (2026-03-31, api.fdic.gov/banks/institutions?filters=CERT:59098)","Single branch (Santa Ana, OC); Infinity Bancorp; est 2018",CA-HQ'd,No,✅ no 0%; ~16.75% (Cash Back) / 18.75% (Platinum) var; $79 / $0 AF; 1% cash back to $1K/yr,ServisFirst Bank (agent program),Online,Online — apply at https://app.ccdepartment.com/Credit/credit?name=GoInfinityBank193,https://www.infinity.bank,https://app.ccdepartment.com/Credit/credit?name=GoInfinityBank193,N/M (personal pull on guarantor; bureau not named),N/M (SBFE/biz reporting not disclosed),ServisFirst Agent Bank Card Program (app.ccdepartment.com) — portal states verbatim 'issued by ServisFirst Bank'; bank disclosure PDF titled 'Servis-First-Business-Credit...'. App requires signed guarantee + financials (P&L/income stmt/balance sheet OR tax return — one of). CORRECTION: prior 'Elan' tag was a subagent mis-ID. No forum DPs.,3,PG yes (signed guarantee required); NO tax returns mandated (financials OR return accepted),None (business LOC/merchant services full-doc),N/M,★ No-doc card — apply online,"Business Platinum Cash Back Rewards ($79 AF, 1% to $1K/yr); Business Platinum ($0 AF) — Visa via ServisFirst",SoCal / Orange County,Santa Ana,90,"HIGH issuer=ServisFirst (portal disclosure + Servis-First PDF, triple-confirmed)/online/OC/terms; N/M HP, reports, limit. 2026-05-29",infinity.bank/.../business-credit-cards; app.ccdepartment.com (ServisFirst disclosure); cms...Servis-First-Business-Credit-CRD-Application-Disclosures.pdf; aba.com (ServisFirst Agent Bank program); FDIC cert 59098
41,,City National Bank,CA Bank,★ Core SoCal,2/4  ✓SUW ✗Onl ✓SoCal ✗Card,Yes — pulls (2 DPs; NOT sensitive — approved 15+/12mo) (DOC-LIST (ambiguous); DP fetched 2026-06-10; v6 2026-06-10),N/M,,Commercial-only,—,$99.95B,$81.07B,~75 offices SoCal + SF Bay Area; RBC-owned,CA-HQ'd,Yes,⚠️ Commercial only — Visa Commercial/Crystal; no 0%; $50/$400 AF; branch only,Self,In-person,Branch only (commercial Visa; relationship),https://www.cnb.com,https://www.cnb.com/business-banking/lending/credit-cards/commercial.html,Experian (personal Crystal card; biz N/M),N/M,N/M for biz card (forum data is for personal Crystal Visa Infinite only),0,PG + Personal Financial Statement + tax returns (full-doc),None (LOC/SBA/ABL full-doc),N/M (relationship expected),Commercial / full underwriting,Visa Commercial; Visa Crystal Commercial (corporate),SoCal / LA,Los Angeles,1,HIGH self-issuer/commercial/no-online. 2026-05-28,"cnb.com commercial + crystal pages; Commercial-Credit-Card Agreement PDF ‖ v6 2026-06-10: Chex/EWS v6: DoC 'City National Bank' does pull (2); sens page: approved with 15+ in past year. CAUTION: some DoC CNB data may be City National Bank WV (a commenter: 'CNB WV pulls Chex, no EWS' | https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/; https://www.doctorofcredit.com/banks-credit-unions-chexsystems-inquiry-sensitive/; https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-w"
42,41,KeyBank,Regional,National (lends in CA),3/4  ✓SUW ✓Onl ✗SoCal ✓Card,Yes — pulls (DoC 2025-08-07; Crediful 2025-10-22),Yes — mixed 2-yes/1-no (DoC EWS list),EQ #2 (mentor ✓ matches our EQ; but NO CA retail — reachability conflict),A — Self-UW (online),Modest biz $3K–$4K DP; soft-pull EQ; CLIs after 6mo  [myFICO #5345434],"~$184B ‖ v7 2026-06-11: $185.98B (2026-03-31, api.fdic.gov/banks/institutions?filters=CERT:17534)","v7 2026-06-11: $153.31B (2026-03-31, api.fdic.gov/banks/institutions?filters=CERT:17534)","~940 branches/15 states; CA = commercial banking (LA/Newport/SD), negligible retail",⚠ Needs local branch/account — minimal/no CA retail (likely NOT reachable),Yes,"✅ Business Rewards / Cash Rewards / Business MC: 0% 6 cycles, $0 AF","Self (KeyBank NA; self-issues since 2012, ex-Elan)",Online,Online — apply at https://www.key.com/small-business/banking/credit-cards/card-comparison.html,https://www.key.com/small-business/banking/credit-cards/card-comparison.html,https://www.key.com/small-business/banking/credit-cards/card-comparison.html,Equifax (SOFT pull reported for some / existing customers) ‖ v7 2026-06-11: bureau verdict [CONSUMER-PROXY] vs mentor 'Equifax' = AGREES. Multiple aggregators (thecreditpeople/CardRight-class lists) report KeyBank usually pulls Equifax for card apps; no business-card CA-specific DP found. (DPs 2024-2026 (aggregate)). Action: use tentatively (EQ); confirm at application,Personal: NEVER (FAQ confirmed). Business: SBFE likely (N/M),Soft-pull Equifax common (esp. existing customers); relationship-gated. Biz limits modest ($3-4K DP); consumer high ($25K+$32.5K dual). CLIs after 6mo. myfico.com #5345434 / #1073204,5,PG likely (INFERENCE); no tax returns for cards,Business LOC/term = full-doc. Cards NEVER report to personal = strong keep-off-personal play.,No to apply (relationship helps),★ ⚠ Minimal CA retail — great no-doc IF you have a relationship,"KeyBank Business Rewards MC, Business Cash Rewards MC, Business MC","National — CA commercial presence (expanded SoCal 2024), minimal CA retail","Cleveland, OH",Reg,HIGH self/no-personal-reporting (FAQ)/soft-pull-EQ; MED apply-online (relationship-gated). 2026-05-28,key.com/small-business/.../credit-cards + business-credit-card-faq (no personal reporting); crainscleveland.com (self-issue since 2012); cardright.com (Equifax); myfico.com #5345434 ‖ v7 2026-06-11: bureau: https://www.thecreditpeople.com/bureaus/which-banks-pull-from-equifax | https://www.key.com/small-business/banking/credit-cards/business-credit-card-faq.html
43,42,Mission Valley Bank,CA Bank,★ Core SoCal,3/4  ✗SUW ✓Onl ✓SoCal ✓Card,N/M,N/M,,D — TCM agent,"N/M (TCM; conservative, Experian-driven)","$0.77B ‖ v7 2026-06-11: $772.6M (2026-03-31, api.fdic.gov/banks/institutions?filters=CERT:57101)","v7 2026-06-11: $632.1M (2026-03-31, api.fdic.gov/banks/institutions?filters=CERT:57101)",LA County; Sun Valley HQ + Santa Clarita branch,CA-HQ'd,No,✅ TCM business Visa; terms N/M (see Summary of Credit Terms at app); 1pt/$1 typical,"TCM Bank, N.A.",Online,Online — apply at https://www.mycommunitycc.com/A0oVKGkHmrYt,https://www.missionvalleybank.com,https://www.mycommunitycc.com/A0oVKGkHmrYt,Experian (TCM),N/M (TCM; biz bureaus/SBFE typical),TCM platform: Experian pull (apps + CLIs); SBA-eligible only; conservative. myfico.com #6303273,3,PG likely; SBA-eligible only; no tax returns at app,None (SBA/AR financing/BusinessManager/LOC/term/equipment/CRE full-doc),N/M,★ No-doc card — apply online,TCM business Visa (rewards/cash-back variants; names not enumerated),SoCal / LA (San Fernando Valley),Sun Valley,71,"HIGH issuer=TCM (own page quote)/online/SFV; N/M terms, HP forum-only, reports. 2026-05-29","missionvalleybank.com/card-services ('issued by TCM Bank, N.A.'); mycommunitycc.com; FDIC cert 57101"
