Bank,Branch_address,City,Zip,Branch_deposits_$K,Distance_mi,Branch_phone,Branch_hours,Bank_website,BizCard_page_URL,Elan_application_link,Business_RM_phone,Rail_current(Elan/TCM/SELF/MIXED+evidence),Notes,Source_links
Mechanics Bank,801 San Pablo Ave,Albany,94706,144830,9.3,510-558-2330,Mon-Fri 9:00am-5:00pm; Sat-Sun closed,https://www.mechanicsbank.com,https://creditcardlearnmore.com/11t3/index?ecdma-lc=10128&ecid=othe_25940 (site nav 'Credit Cards' links straight to the Elan page; Mechanics Bank has no on-site card product page),https://creditcardlearnmore.com/11t3/index?ecdma-lc=10128&ecid=othe_25940#business,"800-797-6324 Customer Care (M-F 8-6 PT, Sat 9-5 PT); Treasury Management 800-272-1876","Elan | Westamerica-style co-branded Elan page: ""The creditor and issuer of these Cards is Elan Financial Services, pursuant to a license from Visa U.S.A. Inc., and Mastercard International Incorporated."" on the Mechanics Bank-branded creditcardlearnmore.com page, location code 10128, verified 2026-07-26; servicing at myaccountaccess.com?theme=elan1&loc=10128.",Locator record 'Albany Branch'. | Branch name in source CSV: Albany Branch. Evidence date-stamped 2026-07-26.,https://www.mechanicsbank.com/locations/ (wave2 locator API locationapi.wave2.io/api/client/getlocations); https://www.mechanicsbank.com/business-commercial/banking-services/; https://creditcardlearnmore.com/11t3/index?ecdma-lc=10128
Bank of Marin,805 Marina Village Pkwy,Alameda,94501,58167,2.5,(510) 748-8425,Mon-Thu 9:00am-5:00pm PT; Fri 10:00am-6:00pm PT (closed 12:00-1:00pm daily),https://www.bankofmarin.com,https://www.bankofmarin.com/products/business-cards,https://creditcardlearnmore.com/11t3/index?ecdma-lc=12155&ecid=OTHE_25940#business,(866) 626-6004 (client support); Oakland commercial banking by appointment (510) 748-8803,"Elan | ""The creditor and issuer of these cards is Elan Financial Services, pursuant to a license from Visa U.S.A. Inc. and Mastercard."" - bankofmarin.com/products/business-cards, verified 2026-07-26; apply link = creditcardlearnmore.com location code 12155; servicing at myaccountaccess.com?theme=elan2.",Branch manager Cynthia Hollins. | Branch name in source CSV: Alameda Marina Village Branch. Evidence date-stamped 2026-07-26.,https://www.bankofmarin.com/locations/; https://www.bankofmarin.com/products/business-cards
Metropolitan Bank,250 E 18th St,Oakland,94606,41633,2.5,510-834-1933,Mon-Thu 9:00am-4:30pm; Fri 9:00am-5:00pm; Sat closed (head office is the one location closed Saturdays); Sun closed,https://www.met.bank,https://www.met.bank/business-banking/,https://www.mycommunitycc.com/FROlvrV1uR72,510-834-1933 (Oakland head office),"TCM | NOT Elan. The business credit card CTA on met.bank/business-banking/ points to https://www.mycommunitycc.com/FROlvrV1uR72 - mycommunitycc.com is the TCM Bank, N.A. 'Community Card' agent-issuing platform. No Elan Financial Services disclosure appears anywhere on met.bank. Verified 2026-07-26.","Oakland HEAD OFFICE. Fax 510.834.1909. Rail is TCM, not Elan. | Branch name in source CSV: Metropolitan Bank. Evidence date-stamped 2026-07-26.",https://www.met.bank/locations/; https://www.met.bank/business-banking/
"EverBank, National Association",735 Webster St,Oakland,94607,37261,2.8,510.834.3830,Mon-Fri 9:00am-5:00pm (lobby),https://www.everbank.com,https://www.everbank.com/locations/oakland (apply-for-a-card CTA; EverBank publishes no standalone business credit card product page - sitemap.xml has none),https://www.mycardapply.com/synindex/?ecdma-lc=35606&ecid=OTHE_25940&offertype=0#business,1.866.371.3831 Business Banking (M-F 8am-8pm ET); C&I Lending 1.855.291.1836; SBA 1.855.278.8622,"Elan | ""...partnered with Elan Financial Services as issuer and creditor of EverBank credit cards"" - everbank.com/support/personal/card-help/manage-credit-card, verified 2026-07-26; apply link = mycardapply.com (Elan) location code 35606; servicing at myaccountaccess.com?theme=elan1; Elan card line 1.800.558.3424.","Financial center manager Yene Bezuneh. Page explicitly lists 'credit card applications' as an in-center service and 'commercial financing by appointment'. Serves Alameda, Emeryville, Berkeley, Piedmont. | Branch name in source CSV: Oakland Branch. Evidence date-stamped 2026-07-26.",https://www.everbank.com/locations/oakland; https://www.everbank.com/locations/fremont; https://www.everbank.com/support/contact
Heritage Bank of Commerce,"1111 Broadway, Ste 1650",Oakland,94607,43870,3.1,510.869.7000,Mon-Fri 10:00am-5:00pm PT,https://www.cbbank.com (legacy https://www.herbank.com; transition hub https://www.cbbank.com/heritage-bank-of-commerce-information-center/),https://www.cbbank.com/business-cards/,https://creditcardlearnmore.com/11t3/index?ecdma-lc=26893&ecid=OTHE_25940#business,888.228.2265 (888.228.BANK),"Elan | ""The creditor and issuer of these cards is Elan Financial Services, pursuant to a license from Mastercard International Incorporated."" - cbbank.com/business-cards/, verified 2026-07-26; apply link = creditcardlearnmore.com location code 26893. NOTE the code is Citizens Business Bank's, not legacy Heritage's - post-merger the Heritage Elan program folds into CBB's.","REBRANDED: now the Citizens Business Bank 'Oakland Business Financial Center'; the page carries a 'Welcome, Heritage Bank of Commerce customers' banner. Same address/suite and same phone as the legacy Heritage office. | Branch name in source CSV: Oakland Branch. Evidence date-stamped 2026-07-26.",https://www.cbbank.com/about-us/locations/; https://www.cbbank.com/locations/oakland-business-financial-center/; https://www.cbbank.com/business-cards/
Farmers & Merchants Bank of Central California,6182 Antioch St,Oakland,94611,41413,4.6,(510) 902-5870,Mon-Fri 9:00am-5:00pm,https://www.fmbonline.com,https://www.fmbonline.com/loans/credit-cards/business-credit-cards.html,,800-888-1498 (M-F 8am-6pm PT); Lodi main office 209-367-2300; cardholder service (800) 821-5184,"SELF/OTHER-AGENT - NOT ELAN | FLAG. The F&M business credit card page states verbatim: ""Cards issued by UMB Bank, n.a."" and routes all card servicing and rewards to www.cardcenterdirect.com with cardholder service (800) 821-5184. No Elan Financial Services disclosure appears anywhere on fmbonline.com. Rail = UMB Bank, n.a. (agent issuer), verified 2026-07-26.","F&M's own locations page lists this as the 'Oakland, Montclair Village' branch; walk-up ATM. NOTE the rail is UMB Bank, n.a., not Elan. | Branch name in source CSV: Montclair Branch. Evidence date-stamped 2026-07-26.",https://www.fmbonline.com/about/locations-hours.html; https://www.fmbonline.com/loans/credit-cards/business-credit-cards.html
Poppy Bank,"5870 Stoneridge Mall Rd, Ste 100",Pleasanton,94588,180341,17.6,(925) 737-0373,Mon-Fri 9:00am-5:00pm,https://www.poppy.bank,https://www.poppy.bank/business-checking-accounts/#business_credit_cards,https://creditcardlearnmore.com/11t3/index?ecdma-lc=07362&ecid=OTHE_25940#business,(888) 636-9994 (toll-free); Santa Rosa corporate (707) 636-9000,"Elan | ""The creditor and issuer of these cards is Elan Financial Services, pursuant to separate licenses from Visa U.S.A. Inc., and Mastercard International Incorporated."" - poppy.bank/business-checking-accounts/#business_credit_cards, verified 2026-07-26; apply link resolves to creditcardlearnmore.com (Elan) location code 07362.","Branch manager Biljana Pesic, AVP. | Branch name in source CSV: Pleasanton Branch. Evidence date-stamped 2026-07-26.",https://www.poppy.bank/locations/; https://www.poppy.bank/business-checking-accounts/#business_credit_cards
Cathay Bank,1701 Decoto Rd,Union City,94587,153182,16.1,510-675-9190,Mon-Thu 9:00am-5:00pm; Fri 9:00am-6:00pm; Sat 10:00am-2:00pm; Sun closed,https://www.cathaybank.com,https://www.cathaybank.com/business/credit-cards,https://www.mycardapply.com/synindex/?ecdma-lc=36055&ecid=OTHE_25940&offertype=0#business,800-922-8429 opt.3 Business Banking (M-F 6:00am-6:00pm PT); from overseas 626-582-7380,"Elan | ""The creditor and issuer of these cards is Elan Financial Services, pursuant to separate licenses from Visa U.S.A. Inc., and Mastercard International Incorporated."" - cathaybank.com/business/credit-cards, verified 2026-07-26; apply link = mycardapply.com (Elan) location code 36055. Servicing has moved to the Fiserv Credit Choice portal creditchoice.creditcardservices.com, which is the U.S. Bank/Elan-integrated agent platform - rail unchanged.",Branch manager Kitty Hu. ATM 24/7. | Branch name in source CSV: Union City Branch. Evidence date-stamped 2026-07-26.,https://www.cathaybank.com/location/oakland; /union-city; /dublin; /fremont-mission; https://www.cathaybank.com/business/credit-cards
Cathay Bank,7190 Regional St,Dublin,94568,132024,17.2,925-551-8300,Mon-Thu 9:00am-5:00pm; Fri 9:00am-6:00pm; Sat 10:00am-2:00pm; Sun closed,https://www.cathaybank.com,https://www.cathaybank.com/business/credit-cards,https://www.mycardapply.com/synindex/?ecdma-lc=36055&ecid=OTHE_25940&offertype=0#business,800-922-8429 opt.3 Business Banking (M-F 6:00am-6:00pm PT); from overseas 626-582-7380,"Elan | ""The creditor and issuer of these cards is Elan Financial Services, pursuant to separate licenses from Visa U.S.A. Inc., and Mastercard International Incorporated."" - cathaybank.com/business/credit-cards, verified 2026-07-26; apply link = mycardapply.com (Elan) location code 36055. Servicing has moved to the Fiserv Credit Choice portal creditchoice.creditcardservices.com, which is the U.S. Bank/Elan-integrated agent platform - rail unchanged.",Branch manager Amy Hsiang. ATM 24/7 + safe deposit. | Branch name in source CSV: Dublin Branch. Evidence date-stamped 2026-07-26.,https://www.cathaybank.com/location/oakland; /union-city; /dublin; /fremont-mission; https://www.cathaybank.com/business/credit-cards
First Foundation Bank,323 20th St,Oakland,94612,22150,3.2,(510) 250-8130,Mon-Fri 9:00am-4:00pm,https://www.firstfoundationinc.com (parent charter: https://www.sunflowerbank.com),https://www.firstfoundationinc.com/business-banking/business-lending/business-credit-cards,,1-888-405-4332 (First Foundation / Sunflower client line); accessibility line (888) 698-7442,"SELF (post-merger) | FLAG. FFB's charter went inactive 2026-04-01 when First Foundation Bank merged into Sunflower Bank, N.A.; the Oakland office now trades as 'Sunflower Bank, N.A. dba First Foundation Bank'. The business credit card page carries NO Elan disclosure any more - only ""Banking products are provided by Sunflower Bank, N.A. dba First Foundation Bank, Member FDIC"" and ""Contact your local branch to learn more"" (no apply link). Sunflower's own small-business/corporate cards are ""issued by Sunflower Bank, N.A. pursuant to a license from Visa USA Inc."" Legacy FFB Elan accounts are still serviced - the /credit-card-login page still points to myaccountaccess.com?theme=elan1 - but new business card issuance is no longer an Elan sale. Verified 2026-07-26.","Matches prior research. Office now operates as Sunflower Bank, N.A. dba First Foundation Bank (FFB charter inactive since 2026-04-01). Business card page has no apply link - 'contact your local branch'. | Branch name in source CSV: Oakland Office. Evidence date-stamped 2026-07-26.",https://www.firstfoundationinc.com/find-location/oakland-office; https://www.firstfoundationinc.com/business-banking/business-lending/business-credit-cards; https://www.firstfoundationinc.com/credit-card-login; https://www.sunflowerbank.com/about-us/sunflower-bank-first-foundation-customer-faq
East West Bank,"35233 Newark Blvd, Ste E",Newark,94560,259901,18.3,(510) 246-8313,Mon-Fri 9:00am-5:00pm; Sat 9:00am-2:00pm; Sun closed,https://www.eastwestbank.com,https://www.eastwestbank.com/en/small-mid-size-businesses/disbursements-and-payments#corporate-card,,"888-761-3967 (Business Banking, M-F 6:00am-7:00pm PT)","MIXED | Elan for commercial One Card: ""The creditor and issuer of the East West Bank One Card is Elan Financial Services, pursuant to a license from Visa(R) U.S.A."" (eastwestbank.com small-mid-size-businesses/disbursements-and-payments, verified 2026-07-26). But East West self-issues its consumer Secured Visa Classic (eastwestbank.com/en/personal-banking/credit-cards carries no Elan disclosure) and holds $4.63M of its own card loans. No public Elan apply link found - One Card is sold via relationship manager.",Locator name 'Newark'. Phone from East West Bank's own /api/velo/branchLocator feed. | Branch name in source CSV: Newark Branch. Evidence date-stamped 2026-07-26.,https://www.eastwestbank.com/en/branch-locator (JSON API /api/velo/branchLocator); https://www.eastwestbank.com/en/small-mid-size-businesses/disbursements-and-payments; https://www.eastwestbank.com/en/personal-banking/credit-cards
East West Bank,"4299 Rosewood Dr, Ste 108",Pleasanton,94588,231982,20.5,(925) 225-0127,Mon-Fri 11:00am-7:00pm; Sat 10:00am-5:00pm; Sun closed,https://www.eastwestbank.com,https://www.eastwestbank.com/en/small-mid-size-businesses/disbursements-and-payments#corporate-card,,"888-761-3967 (Business Banking, M-F 6:00am-7:00pm PT)","MIXED | Elan for commercial One Card: ""The creditor and issuer of the East West Bank One Card is Elan Financial Services, pursuant to a license from Visa(R) U.S.A."" (eastwestbank.com small-mid-size-businesses/disbursements-and-payments, verified 2026-07-26). But East West self-issues its consumer Secured Visa Classic (eastwestbank.com/en/personal-banking/credit-cards carries no Elan disclosure) and holds $4.63M of its own card loans. No public Elan apply link found - One Card is sold via relationship manager.","Locator name '99 Pleasanton' - IN-STORE branch inside 99 Ranch Market, listed as Unit 108 (FDIC says Ste 108). Retail hours, not commercial-banking hours; unlikely to host a business RM. | Branch name in source CSV: Pleasanton Branch. Evidence date-stamped 2026-07-26.",https://www.eastwestbank.com/en/branch-locator (JSON API /api/velo/branchLocator); https://www.eastwestbank.com/en/small-mid-size-businesses/disbursements-and-payments; https://www.eastwestbank.com/en/personal-banking/credit-cards
Heritage Bank of Commerce,300 Main St,Pleasanton,94566,198341,21.3,925.314.2876,Mon-Fri 9:00am-5:00pm PT,https://www.cbbank.com (legacy https://www.herbank.com; transition hub https://www.cbbank.com/heritage-bank-of-commerce-information-center/),https://www.cbbank.com/business-cards/,https://creditcardlearnmore.com/11t3/index?ecdma-lc=26893&ecid=OTHE_25940#business,888.228.2265 (888.228.BANK),"Elan | ""The creditor and issuer of these cards is Elan Financial Services, pursuant to a license from Mastercard International Incorporated."" - cbbank.com/business-cards/, verified 2026-07-26; apply link = creditcardlearnmore.com location code 26893. NOTE the code is Citizens Business Bank's, not legacy Heritage's - post-merger the Heritage Elan program folds into CBB's.","REBRANDED: Citizens Business Bank 'Pleasanton Business Financial Center'. Center manager Brian Schwarer, SVP - named RM contact. | Branch name in source CSV: Pleasanton Office. Evidence date-stamped 2026-07-26.",https://www.cbbank.com/about-us/locations/; https://www.cbbank.com/locations/oakland-business-financial-center/; https://www.cbbank.com/business-cards/
East West Bank,46615 Mission Blvd,Fremont,94539,528561,25.5,(510) 252-1600,Mon-Fri 9:00am-5:00pm; Sat 9:00am-2:00pm; Sun closed,https://www.eastwestbank.com,https://www.eastwestbank.com/en/small-mid-size-businesses/disbursements-and-payments#corporate-card,,"888-761-3967 (Business Banking, M-F 6:00am-7:00pm PT)","MIXED | Elan for commercial One Card: ""The creditor and issuer of the East West Bank One Card is Elan Financial Services, pursuant to a license from Visa(R) U.S.A."" (eastwestbank.com small-mid-size-businesses/disbursements-and-payments, verified 2026-07-26). But East West self-issues its consumer Secured Visa Classic (eastwestbank.com/en/personal-banking/credit-cards carries no Elan disclosure) and holds $4.63M of its own card loans. No public Elan apply link found - One Card is sold via relationship manager.",Locator name 'Fremont - Mission'. Largest EWB branch in the county by deposits ($528.6M). | Branch name in source CSV: Fremont Mission Blvd. Branch. Evidence date-stamped 2026-07-26.,https://www.eastwestbank.com/en/branch-locator (JSON API /api/velo/branchLocator); https://www.eastwestbank.com/en/small-mid-size-businesses/disbursements-and-payments; https://www.eastwestbank.com/en/personal-banking/credit-cards
Westamerica Bank,"5700 Stoneridge Mall Rd, Ste 110",Pleasanton,94588,47607,17.8,(925) 734-1510,Lobby: Mon-Thu 9:00am-4:00pm; Fri 9:00am-5:00pm; Sat-Sun closed,https://www.westamerica.com,https://creditcardlearnmore.com/11t3/index?ecdma-lc=12109&ecid=OTHE_25940 (Westamerica-branded Elan page); on-site business hub https://www.westamerica.com/business/,https://creditcardlearnmore.com/11t3/index?ecdma-lc=12109&ecid=OTHE_25940#business,"(800) 848-1088 (customer service, 5am-midnight daily; personal + business)","Elan | ""The creditor and issuer of these Cards is Elan Financial Services, pursuant to a license from Visa U.S.A. Inc., and Mastercard International Incorporated."" on the Westamerica Bank-branded creditcardlearnmore.com page, location code 12109, verified 2026-07-26. Business cards offered there: Business Cash Preferred, Smart Business Rewards, Business Real Rewards.","Westamerica writes the address as 5700 Stoneridge Mall, Suite #110. LOWER CONFIDENCE: westamerica.com returns HTTP 403 to automated fetch, so the phone/hours come from the indexed content of westamerica.com/about/locations/ rather than a live read - confirm by calling before use. | Branch name in source CSV: Pleasanton Branch. Evidence date-stamped 2026-07-26.",https://creditcardlearnmore.com/11t3/index?ecdma-lc=12109&ecid=OTHE_25940; https://www.westamerica.com/about/locations/ (site returns HTTP 403 to automated fetch - branch data from its indexed locations listing)
