Name,Type,City,State,Assets,Deposits,PRIOR_card,PRIOR_card_link,PRIOR_underwriter,PRIOR_apply,PRIOR_bureau,PRIOR_nodoc,PRIOR_site
SUMMIT STATE BANK,Bank,Santa Rosa,CA,995922,879259,❌ No card (debit only; commercial lending),—,None,No,N/M,N/M | fit:0,https://summitstatebank.com
FIRST GENERAL BANK,Bank,Rowland Heights,CA,1141218,811904,⚠️ 'Business Credit Cards' listed (no detail); issuer/terms N/M; no online apply,https://www.fgbusa.com/products-and-services/others,Unknown (not disclosed; no portal; likely agent-issued),In-person,N/M,N/M (nothing published) | fit:2,https://www.fgbusa.com
FIRST COMMERCIAL BANK (USA),Bank,Alhambra,CA,871581,670130,❌ No card (deposit + commercial/SBA lending; debit likely),—,None (NOTE: an 'Elan' search hit is a MISATTRIBUTION to IL 'FCB Banks' — not this bank),No,N/M,N/M | fit:0,https://www.bankfcb.com
GOLDEN VALLEY BANK,Bank,Chico,CA,577734,525767,✅ Elan biz cards (low rate / cash back / rewards); terms N/M,https://www.goldenvalley.bank/credit-cards/,Elan,Online,TransUnion (varies EX/EQ),PG yes; no tax returns (<$25K) | fit:3,https://www.goldenvalley.bank
MEGA BANK,Bank,San Gabriel,CA,515129,437435,✅ TCM business + personal Visa; terms N/M; $0/low AF likely,https://www.mycommunitycc.com/vsqcwJmaxwd7,"TCM Bank, N.A.",Online,Experian (TCM),PG likely; SBA-eligible only | fit:3,https://www.megabankusa.com
CAHP CREDIT UNION,Credit Union,Sacramento,CA,403972,365689,✅ Business card offered (skim-level; BLOC: No); CA peace-officers FOM; terms N/M,https://www.cahpcu.org,N/M (skim),In-person,N/M,N/M | fit:2,https://www.cahpcu.org
AMERICAN CONTINENTAL BANK,Bank,City Of Industry,CA,379100,311254,❌ No card (commercial/SBA lender; debit/ATM only),—,None,No,N/M,N/M | fit:0,https://www.americancontinentalbank.com
MONTEREY COUNTY BANK,Bank,Monterey,CA,297799,219207,❌ No BUSINESS card (legacy consumer subprime 'Emblem' MC only; SBA/commercial lender),—,None for business (legacy Emblem run by Jefferson Capital),No,N/M,N/M | fit:0,https://montereycountybank.com
ALTA VISTA CREDIT UNION,Credit Union,Redlands,CA,211726,191615,⚠️ PARTIAL — small business checking + commercial lending; NO biz credit card found,https://altavistacu.org/,Unknown,Branch,UNKNOWN,UNKNOWN | fit:1,https://altavistacu.org
"BANK OF WHITTIER, NATIONAL ASSOCIATION",Bank,Whittier,CA,158847,131032,❌ No card (Riba-Free/interest-free Islamic-principle bank; RF debit only),—,None,No,N/M,N/M | fit:0,https://www.bankofwhittier.com
EASTERN INTERNATIONAL BANK,Bank,Los Angeles,CA,124212,86621,❌ No card (CRE lender; Visa debit only),—,None,No,N/M,N/M | fit:0,https://www.eibankca.com
ALTOS BANK,Bank,Los Altos,CA,57456,37394,❌ No card (de novo; business debit only; commercial/SBA lending),—,None,No,N/M,N/M | fit:0,https://www.altosbank.com
"Wilmington Trust, National Association",Out-of-state bank with CA branches (SOD),,,,0,❌ No card (corporate trust/custody; $0 SoCal deposits),—,None,No,N/M,N/M | fit:0,https://www.wilmingtontrust.com
