Name,Type,City,State,Assets,Deposits,PRIOR_card,PRIOR_card_link,PRIOR_underwriter,PRIOR_apply,PRIOR_bureau,PRIOR_nodoc,PRIOR_site
"UMB Bank, National Association",Out-of-state bank with CA branches (SOD),,,,1202740,✅ UMB Visa Signature Business Rewards ($200/20K-pt bonus @ $2K/90d); commercial card suite,https://www.umb.com/business-banking/business-credit-cards,"Self (“issued by UMB Bank n.a., Member FDIC” — umb.com 2026-06-10; UMB also runs cobrand/agent programs for OTHER banks)",Online,v7 2026-06-11: bureau verdict [COMMUNITY-DP (mixed/consumer)] vs mentor '(2nd priority)' = n/a. myFI,PG; financials-questionnaire-style app; no tax returns stated | fit:3,https://www.umb.com/business-banking/business-credit-cards
SAVINGS BANK OF MENDOCINO COUNTY,Bank,Ukiah,CA,1293076,1040520,✅ Elan biz cards (low rate / cash back / rewards buckets); terms N/M,https://www.savingsbank.com/business/bank-cards/,Elan,Online,TransUnion (varies EX/EQ),PG yes; no tax returns (<$25K) | fit:3,https://www.savingsbank.com
WATER AND POWER COMMUNITY CREDIT UNION,Credit Union,Los Angeles,CA,990764,834545,❌ No business products (consumer Mastercard only),—,None for business,No,N/M,N/M | fit:0,https://www.wpccu.org
"AMERICAN PLUS BANK, N.A.",Bank,Arcadia,CA,890687,716600,✅ TIB Visa (Platinum Cash Rewards consumer; Charge Company Rewards business); terms N/M,https://bankaplus.com/Credit-Cards,"TIB ‖ v7 2026-06-11: UPDATE: cards = TCM Bank, N.A. (ICBA agent) — bankaplus.com card apply routes to mycommunitycc.com ",Online,Experian/TU (TIB; INFERENCE),PG likely (TIB standard); docs N/M | fit:3,https://bankaplus.com
"Golden Bank, National Association",Out-of-state bank with CA branches (SOD),,,,630355,❌ No business card found,—,None,No,N/M,N/M | fit:0,https://www.goldenbank-na.com
REDWOOD CAPITAL BANK,Bank,Eureka,CA,543402,484145,✅ no 0%; var APR capped at 21%; $0/$49 AF; 1pt/$1 to 10K/mo (Preferred),https://www.redwoodcapitalbank.com/business/business-credit-cards,TIB,In-person,N/M (TIB; personal pull on guarantor),PG likely (TIB standard); docs N/M | fit:2,https://www.redwoodcapitalbank.com
WHEELHOUSE CREDIT UNION,Credit Union,San Diego,CA,456771,400445,❌ none visible on site (2026-06-10); “PPP lender/business loans” claims survive only on chamber listings,—,None (no business products found),n/a,—,n/a | fit:0,https://www.wheelhousecu.com
GENESIS BANK,Bank,Newport Beach,CA,405513,356609,⚠️ One unnamed business card (relationship-only); issuer/terms N/M; no online apply,—,Unknown (not named; likely agent-issued),In-person,N/M,N/M (RM-underwritten) | fit:2,https://www.mygenesisbank.com
UNIVERSAL BANK,Savings Institution (Federal Savings Bank),West Covina,CA,373408,278512,❌ No BUSINESS card (Elan PERSONAL card only; business = deposits + commercial lending),—,None for business (Elan issues its personal card),No,N/M,N/M | fit:0,https://www.universalbank.com
MISSION NATIONAL BANK,Bank,San Francisco,CA,249156,206588,❌ No card (community bank; Visa debit only),—,None,No,N/M,N/M | fit:0,https://mnbsf.com
Southwestern National Bank,Out-of-state bank with CA branches (SOD),,,,174025,❌ No business credit card (Business VISA DEBIT only). NOT 'Southwest National Bank' Wichita KS,—,None,No,N/M,N/M | fit:0,https://www.swnbk.com
Wallis Bank,Out-of-state bank with CA branches (SOD),,,,108598,✅ Visa Business Credit Card (rewards points); terms N/M,https://www.wallisbank.com/visa-business-credit-cards/,"TCM (mycardstatement.com decode, archived 2020)",In-person,Experian (TCM standard; INFERENCE),N/M | fit:2,https://www.wallisbank.com
Monet Bank,Out-of-state bank with CA branches (SOD),,,,60278,❌ neither card nor LOC — product line = CDs / money market / savings ONLY (VERIFIED monet.bank 2026-06-10),—,None (no card program),n/a,—,n/a | fit:0,https://www.monet.bank
"THE BANK OF NEW YORK MELLON TRUST COMPANY, NATIONAL ASSOCIATION",Bank,Los Angeles,CA,1391736,1071,❌ No card (corporate trust/custody charter; no public lending),—,None,No,N/M,N/M | fit:0,https://www.bnymellon.com
