Name,Type,City,Deposits,Assets,Website,Biz_card(YES/NO/UNCLEAR),Card_link,Intro_0pct,Terms_note,Underwriter(SELF/name/UNKNOWN),UW_evidence,Apply(Online/Call/Branch/UNKNOWN),Apply_link,Bureau_quick,NoDoc_quick,Twin_check,Source_links,Screen_date
SANTA BARBARA TEACHERS FEDERAL CREDIT UNION,Credit Union,Santa Barbara,266368,309564,https://www.sbtfcu.org,NO,,,,,Personal banking only (school-employee field of membership); no business accounts or business card,,,,,Distinct from Santa Barbara County FCU (also in this batch),https://www.sbtfcu.org/,2026-06-11
SRI FEDERAL CREDIT UNION,Credit Union,Menlo Park,201855,242087,https://www.srifcu.org,NO,,,,,Single consumer Visa card only; no business banking on site,,,,,No twin found; srifcu.org official (SRI International employees),https://www.srifcu.org/,2026-06-11
Safra National Bank of New York,Out-of-state bank with CA branches (SOD),New York NY,173127,,https://www.safra.com,YES,https://safrapay.com/business-credit-card/,0% intro APR first 7 billing cycles (balance transfers),"Mastercard business card via Safrapay; annual fee waived 1st yr then waived w/ eligible purchase activity; points rewards",SELF,"Cards issued by Safra National Bank of New York (SNBNY) pursuant to Mastercard license; Safrapay is SNBNY's small-business arm",UNKNOWN,https://safrapay.com/business-credit-card/,,,Safrapay = SNBNY brand; distinct from J. Safra Sarasin and Banco Safra (Brazil) affiliates,https://safrapay.com/business-credit-card/; https://safrapay.com/faq-business-credit-card/,2026-06-11
VIDA FEDERAL CREDIT UNION,Credit Union,Ontario,148667,172659,https://www.vidafcu.org,NO,,,,,Single consumer Visa Platinum program; no business banking,,,,,Renamed Oct 2024 from Ontario Montclair School Employees FCU (OMSEFCU) - same entity,https://www.vidafcu.org/loans/visa-credit-card-programs,2026-06-11
KINGS FEDERAL CREDIT UNION,Credit Union,Hanford,136536,162876,https://www.kingsfcu.com,NO,,,,,Has business checking/savings but only consumer fixed-rate Visa (10.95% APR; ezcardinfo.com servicing); no business card,,,,,No twin found; kingsfcu.com (Hanford CA),https://www.kingsfcu.com/loans/credit-cards,2026-06-11
SMW 104 FEDERAL CREDIT UNION,Credit Union,Livermore,101569,116776,https://smw104fcu.org,NO,,,,,Consumer Visa Classic/Platinum only (union members; 7.9% fixed); no business card,,,,,Tied to Sheet Metal Workers Local 104 (smw104.org is the union; smw104fcu.org is the CU),https://smw104fcu.org/credit-card/,2026-06-11
MARIN COUNTY FEDERAL CREDIT UNION,Credit Union,San Rafael,90246,102202,https://www.marincu.org,NO,,,,,Consumer Visa (12.4% APR) and Secured Visa only; no business banking on site,,,,,No twin found; marincu.org official,https://www.marincu.org/loans/credit-cards/,2026-06-11
DESERT VALLEYS FEDERAL CREDIT UNION,Credit Union,Ridgecrest,80183,89436,https://www.desertvalleys.org,UNCLEAR,,,,,Site is JS-rendered (content not fetchable); no business card evidence found in search index,,UNKNOWN,,,,IMPORTANT twin: Desert Financial CU (AZ) DOES offer business cards - search results conflate; do not confuse,https://www.desertvalleys.org/,2026-06-11
BAY CITIES CREDIT UNION,Credit Union,Hayward,68941,78848,https://www.baycities.org,NO,,,,,Consumer Visa only; no business accounts (only employer-group membership page),,,,,No twin found; baycities.org official,https://www.baycities.org/,2026-06-11
POLAM FEDERAL CREDIT UNION,Credit Union,Redwood City,63342,73625,https://polamfcu.com,YES,https://polamfcu.com/business/business-credit-debit-card/,Not advertised,"Business Visa; $20 annual service fee; purchase reward + cash-back programs; no cash advance fee; 1% FX fee",UNKNOWN,No issuer/processor identified on page; applies via external lending portal,Online,https://polamfcu.com/business/business-credit-debit-card/,,,TWIN ALERT: two Polam FCUs - this is Redwood City (polamfcu.com); polam.org is POLAM FCU Los Angeles - different institution,https://polamfcu.com/business/business-credit-debit-card/,2026-06-11
SANTA BARBARA COUNTY FEDERAL CREDIT UNION,Credit Union,Santa Barbara,56299,64748,https://www.sbcreditunion.com,NO,,,,,Single consumer Visa Gold (serviced via EZCardInfo); ~600 card members; no business card,,,,,Distinct from Santa Barbara Teachers FCU (sbtfcu.org) - both in Santa Barbara,https://www.sbcreditunion.com/santa-barbara-credit-unions-ezcardinfo-visa-gold,2026-06-11
JACOM CREDIT UNION,Credit Union,Los Angeles,46656,54866,https://jacomcu.org,NO,,,,,Consumer Visa debit/credit only (Japanese American Community CU); no business banking,,,,,JACom = Japanese American Community CU; no twin found,https://jacomcu.org/,2026-06-11
FRESNO POLICE DEPARTMENT CREDIT UNION,Credit Union,Fresno,38001,50082,https://fpdcu.org,NO,,,,,Consumer Visa Classic/Platinum/Secured only (police membership); no business accounts,,,,,Distinct from Fraternal Order of Police FCU (fopfcu.org),https://fpdcu.org/Loans/,2026-06-11
Citizens National Bank of Texas,Out-of-state bank with CA branches (SOD),Waxahachie TX,33108,,https://www.cnboftexas.com,NO,,,,,Site index shows business checking + business DEBIT cards but no credit card product pages; direct fetch blocked,,,,,TWIN ALERT: cnbanktexas.com (Citizens National Bank Round Rock/Cedar Park TX) DOES offer business credit cards - different bank from cnboftexas.com (Waxahachie since 1868) which is the ibanknet entity,https://www.cnboftexas.com/business-banking/debit-cards/,2026-06-11
SAN MATEO CITY EMPLOYEES FEDERAL CREDIT UNION,Credit Union,San Mateo,27458,33330,https://smcefcu.org,NO,,,,,No credit card products at all on site (city-employee CU; deposits + loans only),,,,,No twin found; smcefcu.org official,https://smcefcu.org/,2026-06-11
CENTER CITY COMMUNITY CREDIT UNION,Credit Union,Buena Park,22405,25267,https://www.ccccu.org,NO,,,,,Single consumer Visa (as low as 8.90% APR w/ bonus points); no business accounts,,,,,No twin found; ccccu.org official,https://www.ccccu.org/,2026-06-11
MID-CITIES CREDIT UNION,Credit Union,Compton,14926,16279,https://www.midcitiescu.org,NO,,,,,Single consumer credit card under Borrow nav; no business banking section,,,,,a.k.a. Mid-Cities Financial CU; no twin found,https://www.midcitiescu.org/,2026-06-11
NORTHEAST COMMUNITY FEDERAL CREDIT UNION,Credit Union,San Francisco,10355,15791,https://www.necfcu.org,NO,,,,,CDFI with business accounts/loans but no business credit card listed; consumer cards only,,,,,No twin found; necfcu.org official,https://www.necfcu.org/,2026-06-11
