Institution,Rank,Prior_Chex,New_Chex_finding,Chex_business_specific,Prior_EWS,New_EWS_finding,Leniency_note,Source_links,Notes
"WEST COAST COMMUNITY BANK",81,"UNKNOWN","No new data — searches 2026-06-12 (incl. former name Santa Cruz County Bank + 1st Capital Bank): no deposit agreement indexed, no Chex/EWS DPs [searched, no data; 2026-06-12]","Business/commercial-leaning community bank; vendor unpublished","UNKNOWN","UNKNOWN — no data [2026-06-12]","Unknown","https://wccb.com/","UNKNOWN stays UNKNOWN. Post-merger rebrand (2025) means older DPs may hide under Santa Cruz County Bank — none found."
"BAY FEDERAL CREDIT UNION",106,"NOT-IN-FILE (UNKNOWN)","Yes — VERIFIED own site, STRICT: consumer checking footnote: 'In order to qualify for a Checking Account, Visa Debit Card, members must be clear of any record on ChexSystems' [VERIFIED own-site; 2026-06-12]","Yes — BUSINESS-SPECIFIC VERIFIED: business checking footnote 5: 'To qualify for a checking account, or Visa Business Debit Card, member may not have a ChexSystems record' [VERIFIED own-site; 2026-06-12]","NOT-IN-FILE (UNKNOWN)","No EWS mention found on site [searched 2026-06-12]","STRICT — any Chex record disqualifies (harsher than most); no second-chance product found","https://www.bayfed.com/checking-savings/checking/checking-accounts | https://www.bayfed.com/business/checking","NEW row (not in secondary_bureaus). UNKNOWN→VERIFIED both consumer AND business."
"MONTERRA CREDIT UNION",110,"NOT-IN-FILE (UNKNOWN)","UNKNOWN — DoC Monterra/San Mateo CU checking-bonus page lists ChexSystems policy as unknown; no own-doc or community DP found [searched, no data; 2026-06-12]","UNKNOWN","NOT-IN-FILE (UNKNOWN)","UNKNOWN — no data [2026-06-12]","Unknown","https://www.doctorofcredit.com/ca-only-san-mateo-credit-union-100-checking-bonus/","UNKNOWN stays UNKNOWN."
"KEYPOINT CREDIT UNION",116,"NOT-IN-FILE (UNKNOWN)","Yes — pulls Chex for membership; myFICO members report KeyPoint as a Chex inquirer and 'incredibly ChexSystems sensitive' [COMMUNITY-DP (myFICO thread 6588582); fetched-blocked, snippet via search 2026-06-12]","UNKNOWN — biz checking offered; screening vendor for biz unpublished","NOT-IN-FILE (UNKNOWN)","UNKNOWN — no EWS DPs [2026-06-12]","SENSITIVE per myFICO DP ('incredibly ChexSystems sensitive') — treat as inquiry-sensitive","https://ficoforums.myfico.com/t5/Personal-Finance/CU-s-that-pull-ChexSystems-for-membership-IME/td-p/6588582","NEW row. UNKNOWN→known (single community source; myFICO 403s direct fetch — graded accordingly)."
"VENTURA COUNTY CREDIT UNION",122,"NOT-IN-FILE (UNKNOWN)","UNKNOWN — no Chex language on own site; no DPs found [searched, no data; 2026-06-12]","UNKNOWN","NOT-IN-FILE (UNKNOWN)","UNKNOWN — no data [2026-06-12]","Unknown","https://www.vccuonline.net/","UNKNOWN stays UNKNOWN."
"AMERICA'S CHRISTIAN CREDIT UNION",169,"NOT-IN-FILE (UNKNOWN)","Yes-lenient — Unchex: community reports ACCU DOES use ChexSystems 'but you can still qualify for an account if you don't owe any money to the bank' [SECONDARY (unchex.com); 2026-06-12 (site connection refused; claim via search snippet)]","UNKNOWN — ministry/business accounts offered; screening unpublished","NOT-IN-FILE (UNKNOWN)","UNKNOWN — no data [2026-06-12]","Uses-but-LENIENT: approves Chex-flagged applicants with no money owed","https://unchex.com/americas-christian-credit-union","NEW row. UNKNOWN→known (single secondary source, unverified quote — re-verify before relying)."
"EXCITE CREDIT UNION",189,"NOT-IN-FILE (UNKNOWN)","Yes — BankBonus fact-check: Excite CU DOES use ChexSystems 'despite common reports that they don't' (listed to debunk no-Chex claims) [SECONDARY (bankbonus.com rep-verification); 2026-06-12]","UNKNOWN — business accounts offered; screening unpublished","NOT-IN-FILE (UNKNOWN)","UNKNOWN — no data [2026-06-12]","Unknown leniency; appears on some no-Chex lists ERRONEOUSLY — do not rely on those","https://bankbonus.com/best/credit-unions-that-dont-use-chexsystems/","NEW row. UNKNOWN→known. Example of why second-chance/no-Chex lists must not be trusted without verification."
"YOLO FEDERAL CREDIT UNION",221,"NOT-IN-FILE (UNKNOWN)","Yes — WalletHub Q&A (moderator answer, undated): 'Yes, Yolo Federal Credit Union reports to ChexSystems. The credit union also pulls ChexSystems information when you apply for an account.' [SECONDARY (WalletHub moderator); fetched 2026-06-12]","UNKNOWN — biz Visa/biz accounts exist; screening unpublished","NOT-IN-FILE (UNKNOWN)","UNKNOWN — no data [2026-06-12]","Unknown","https://wallethub.com/profile/yolo-federal-credit-union-13308727i","NEW row. UNKNOWN→known (single secondary source, undated moderator answer)."
"CALIFORNIA COMMUNITY CREDIT UNION",321,"NOT-IN-FILE (UNKNOWN)","UNKNOWN-leaning-lenient — LetMeBank lists CACCU on CA no-Chex/second-chance pages via its New Beginnings Checking ($15/mo, $25 open, 12mo good standing→upgrade); page makes NO explicit no-Chex statement — second-chance product is NOT evidence of no Chex [WEAK secondary; 2026-06-12]","UNKNOWN","NOT-IN-FILE (UNKNOWN)","UNKNOWN — no data [2026-06-12]","Second-chance product EXISTS (New Beginnings Checking) — lenient posture even if Chex used","https://letmebank.com/california-second-chance-checking/ | https://letmebank.com/california-non-chexsystems-banks/","NEW row. Stays UNKNOWN on Chex use; leniency documented."
"SLO CREDIT UNION",373,"NOT-IN-FILE (UNKNOWN)","UNKNOWN — no Chex/EWS data anywhere (tiny CU, $26M deposits); 'decisions made locally case-by-case' marketing suggests manual review [searched, no data; 2026-06-12]","UNKNOWN","NOT-IN-FILE (UNKNOWN)","UNKNOWN — no data [2026-06-12]","Possible manual/relationship leniency (unverified)","https://slocu.com/become-a-member/","UNKNOWN stays UNKNOWN."
"UNIVERSITY CREDIT UNION",144,"UNKNOWN","UNKNOWN — no Chex DPs found (myFICO membership-pull thread did not surface UCU in snippets; site has no Chex language) [searched, no data; 2026-06-12]","UNKNOWN","UNKNOWN","UNKNOWN — no data [2026-06-12]","Unknown","https://www.ucu.org/","UNKNOWN stays UNKNOWN."
"ALTURA FEDERAL CREDIT UNION",85,"UNKNOWN","Yes-strong-inference — own Reliance Second-Chance Checking page: account built for 'unpaid closures, negative history, problem credit'; 'Ability to upgrade to an Ascend checking after monies owed to ChexSystems are paid in full after 6 months of positive account activity' — upgrade gated on clearing Chex debt implies Altura screens via Chex [STRONG-INFERENCE own-site; 2026-06-12]","Business checking pages exist; Reliance/second-chance is PERSONAL-only; biz screening unpublished","UNKNOWN","UNKNOWN — no EWS mention [2026-06-12]","LENIENT — true second-chance tier (Reliance) for Chex-flagged members; upgrade path after 6mo + paid Chex debt","https://www.alturacu.com/products/checking/personal-accounts/reliance-checking/","UNKNOWN→known upgrade (own-site inference, uses-but-lenient)."
"Citizens Bank, National Association",60,"NOT-IN-FILE (twin-guarded: secondary_bureaus only covers Citizens Business Bank CA twin)","Yes — TheCreditPeople: 'Citizens Bank typically runs a ChexSystems check whenever you apply for a new personal checking account'; myFICO DP thread 6741945: declined for checking citing credit/screening [SECONDARY + COMMUNITY-DP; 2026-06-12]","UNKNOWN — CA has no Citizens retail/biz footprint (business products footprint-gated to East Coast states)","NOT-IN-FILE","On DoC EWS list (does pull) — RI-based Citizens; not re-verified beyond list this pass [DOC-LIST; existing]","Unknown; second-chance: no Chex skip product confirmed","https://www.thecreditpeople.com/bureaus/does-citizens-bank-use-chexsystems-for-account-approval | https://ficoforums.myfico.com/t5/Personal-Finance/Citizens-Bank-declined-a-checking-account-due-to-Credit/td-p/6741945","NEW row for Citizens RI (distinct from Citizens Business Bank CA). Chex now double-sourced."
"Bank of America, National Association",1,"No — does not pull Chex (DoC 9 DPs)","CONFLICT logged — Crediful (upd. 2025-10-24): 'Bank of America does use ChexSystems when reviewing new account applications' — contradicts 9 DoC community inquiry-report DPs; community DPs outweigh boilerplate secondary; prior NO-pull determination STANDS [SECONDARY-conflict; 2026-06-12]","No biz-specific Chex DP found","Yes — pulls + reports (EWS co-owner)","No new non-DoC EWS source needed (EWS co-ownership is public record); prior stands [2026-06-12]","SafeBalance Banking = rebuild/second-chance tier (Crediful) — lenient path exists","https://www.crediful.com/chexsystems/bank-of-america/","Crediful per-bank pages appear boilerplate (also claim Chex for Chase vs 36 DoC no-pull DPs) — treat Crediful bank pages as LOW reliability for mega-banks."
"JPMorgan Chase Bank, National Association",3,"No — does not pull (DoC 36 DPs + biz no-pull x4)","CONFLICT logged — Crediful (upd. 2026-01-28): 'Chase uses ChexSystems for most of its checking account applications'; contradicts 36+ DoC no-pull DPs; prior NO-pull determination STANDS; Crediful also notes Secure Banking 'does not rely on ChexSystems' [SECONDARY-conflict; 2026-06-12]","Biz no-pull x4 (prior DoC DPs); no new biz source","Yes — pulls + reports (EWS co-owner)","No new non-DoC source; prior stands [2026-06-12]","Chase Secure Banking = second-chance product (no Chex reliance per Crediful)","https://www.crediful.com/chexsystems/chase/","Same Crediful boilerplate caution as BofA row."
"CITY NATIONAL BANK",5,"Yes-probable (DoC 2 DPs, twin-caution CNB WV); own docs generic-CRA only","Second source ADDED but twin-AMBIGUOUS: Crediful 'City National Bank' page (upd. 2025-10-24): 'does use ChexSystems to review new account applications'; 'does not offer a second chance checking account' — page names NO state/domain, cannot confirm it covers cnb.com LA vs CNB WV/OK [SECONDARY (ambiguous); 2026-06-12]","Prior VERIFIED biz signer-auth generic-CRA clause (own Business Deposit Disclosures ID 174) stands; no new biz data","Lean-no (0 mentions own docs)","No new EWS data [2026-06-12]","No second-chance product (Crediful)","https://www.crediful.com/chexsystems/city-national-bank/","Twin ambiguity persists — verify with banker which CNB any DP covers."
"First-Citizens Bank & Trust Company",8,"Yes — pulls (DoC + Crediful 2025-10-07; tolerant to 31/12mo)","Re-confirmed — Crediful first-citizens page: 'does use ChexSystems when reviewing applications'; 'does not offer second chance checking accounts' [SECONDARY (Crediful); 2026-06-12]","No biz-specific DP found","N/M on DoC EWS list; Gadget 2022-11-20: REPORTS to EWS","No new EWS inquiry DP found [2026-06-12]","NOT lenient — no second-chance product; but Chex-inquiry tolerant (declined only at 32+/12mo per prior)","https://www.crediful.com/chexsystems/first-citizens-bank/","Already double-sourced; this pass adds explicit no-second-chance leniency note."
"BANC OF CALIFORNIA",11,"Yes — VERIFIED own DAAD eff. 2026-01-01 (incl. business + signers)","No new source needed — own-doc VERIFIED is top grade; no contradicting DP found this pass [2026-06-12]","Prior VERIFIED: same DAAD governs business accounts; screening triggers 'by becoming an authorized signer'","Lean-no (0 EWS hits in 34-pg DAAD)","No new EWS data [2026-06-12]","Unknown leniency","https://dam.bancofcal.com/m/7ac537b3b4b71842/original/Deposit-Account-Agreement-and-Disclosure-DAAD-1-1-26.pdf","Prior determination stands (already gold-grade)."
"MECHANICS BANK",16,"Yes — VERIFIED own Personal Account Agreement (2026-03-23)","No second source found (Crediful/unchex/forums silent on Mechanics) — own-doc VERIFIED stands alone, which is sufficient [searched 2026-06-12]","Personal agreement only; business agreement not fetched — biz screening vendor unconfirmed","Not named in own 20-pg agreement (verified-absence)","No new EWS data [2026-06-12]","Unknown leniency","https://www.mechanicsbank.com/contentassets/9e0348bebd2b44b2a8fa059267bcab78/1200-personal-account-agreement-disclosure-mkt10000-v3-final-mkt-copy.pdf","Prior stands."
"Zions Bancorporation, N.A. (California Bank & Trust)",20,"Yes — VERIFIED charter-wide Deposit Agreement + Crediful-Zions 2025-10-08 (double-sourced)","No new work needed — already own-doc + secondary double-sourced [2026-06-12]","Prior: same agreement covers business accounts; verification clause account-type-agnostic","Furnishes-YES (doc cites earlywarning.com consumer-report request); inquiry-side UNKNOWN","No new EWS inquiry DP found [2026-06-12]","Unknown leniency","https://www.zionsbank.com/content/dam/zbna/disclosures/shared/general/depositagreement.pdf","Prior stands."
"FARMERS AND MERCHANTS BANK OF LONG BEACH",25,"Yes — VERIFIED own T&C eff. 2024-04 (explicitly covers business account owners)","No new source found; own-doc VERIFIED stands [searched 2026-06-12]","Prior VERIFIED: T&C 'apply to both personal account owners... and business account owners'","Lean-no (0 hits in 48-pg T&C)","No new EWS data [2026-06-12]","Unknown leniency","https://www.fmb.com/-/media/terms-and-conditions/fmb-termsandconditions.pdf","Prior stands."
"TRI COUNTIES BANK",28,"Consumer: Yes-SOFT — VERIFIED own FAQ; BUSINESS: UNKNOWN","NEW furnishing DP — BBB complaints: Tri Counties has REPORTED customers to ChexSystems over owed balances (dispute complaints) — confirms Chex furnishing relationship beyond the soft-inquiry FAQ [COMMUNITY-DP (BBB); 2026-06-12]","BUSINESS still UNKNOWN — biz checking is branch-only; no biz screening DP found this pass","UNKNOWN (lean-no)","No new EWS data [2026-06-12]","Consumer soft-pull = relatively gentle; business unknown","https://www.bbb.org/us/ca/chico/profile/bank/tri-counties-bank-1156-33006199/complaints | https://www.tcbk.com/personal/online-accounts-personal","Soft-inquiry (consumer) + furnish DPs = uses Chex both directions."
"LOGIX FEDERAL CREDIT UNION",31,"Yes-lenient (single weak undated secondary)","SECOND-SOURCED — TheCreditPeople ('Which Credit Unions Really Do Not Use ChexSystems'): 'Logix Federal Credit Union provides a Second Chance Checking product; they review the ChexSystems report but may approve members with a single negative item' — matches prior claim [SECONDARY x2 now; 2026-06-12]","BUSINESS: UNKNOWN — biz checking location/industry-gated; no biz screening DP","UNKNOWN","No new EWS data [2026-06-12]","LENIENT — uses Chex but second-chance reviews; may approve w/ single negative","https://www.thecreditpeople.com/bureaus/which-credit-unions-really-do-not-use-chexsystems","Single→double-sourced upgrade."
"SAN DIEGO COUNTY CREDIT UNION",34,"Yes — uses/furnishes (own FAQ + hosts Chex dispute form)","SECOND-SOURCED — BBB complaint DPs: applicant denied account opening due to ChexSystems report (co-signer delinquency case); another denial cited credit report w/ charge-off [COMMUNITY-DP (BBB); 2026-06-12]","BUSINESS: UNKNOWN — no biz-specific screening DP","UNKNOWN","No new EWS data — searched 2026-06-12, none [2026-06-12]","Denial DPs exist — screens and denies on Chex; 'visit a branch' path per own FAQ for flagged applicants","https://www.bbb.org/us/ca/san-diego/profile/credit-union/san-diego-county-credit-union-1126-14000896/complaints","Single→double-sourced upgrade (own FAQ + BBB denial DPs)."
"HANMI BANK",36,"Pull: Yes (DoC sens page: NOT sensitive, approved 10+/12mo) — single source","Weak corroboration only — HustlerMoneyBlog Hanmi bonus page lists 'ChexSystems: Unknown, Not Sensitive' (does not confirm pull; confirms non-sensitivity reputation) [WEAK secondary; 2026-06-12]","BUSINESS: UNKNOWN — biz checking offered; no biz screening DP","UNKNOWN","No new EWS data [2026-06-12]","NOT inquiry-sensitive (two sources agree on tolerance)","https://www.hustlermoneyblog.com/hanmi-bank-promotions/","Pull-status remains effectively single-sourced; sensitivity now corroborated."
"KINECTA FEDERAL CREDIT UNION",41,"Yes — VERIFIED own dispute form (reports) + myFICO (pulls)","No new Chex source needed [2026-06-12]","BUSINESS: UNKNOWN","UNKNOWN","No EWS screening evidence — only Zelle (EWS-owned product) infrastructure on site; site even disclaims 'Kinecta IS NOT AUTHORIZED, ENDORSED, OR SPONSORED BY EARLY WARNING SERVICES' (trademark boilerplate, not screening evidence) [searched 2026-06-12; stays UNKNOWN]","Unknown leniency","https://www.kinecta.org/online-mobile-banking/","EWS searched — no screening DP; Zelle boilerplate must not be read as EWS screening."
"CALIFORNIA FEDERAL CREDIT UNION (California Credit Union, ccu.com)",45,"Yes — pulls, INQUIRY-SENSITIVE (CU-answered myFICO Q&A; denied 22/24mo)","No new source found — searches 2026-06-12 surfaced no additional CCU-specific DP [searched, no new data]","BUSINESS: UNKNOWN","UNKNOWN","No new EWS data [2026-06-12]","SENSITIVE — apply in person per prior DP","https://ficoforums.myfico.com/t5/Personal-Finance/CU-s-that-pull-ChexSystems-for-membership-IME/td-p/6588582","Prior stands (single CU-answered source + sens-page)."
"VALLEY STRONG CREDIT UNION",62,"Membership: SOFT pull (DoC bonus page); BUSINESS: UNKNOWN","No new data — searches 2026-06-12 returned nothing Valley-Strong-specific (Valley FIRST CU Chex language is a DIFFERENT institution — twin guarded) [searched, no data]","BUSINESS: UNKNOWN — site 403s; no DP","UNKNOWN","No new EWS data [2026-06-12]","Soft-pull membership = gentle entry","https://www.valleystrong.com/","UNKNOWN parts stay UNKNOWN; Valley First CU twin explicitly NOT applied."
"CALIFORNIA BANK OF COMMERCE, NATIONAL ASSOCIATION",64,"UNKNOWN","No new data — search 2026-06-12 polluted by name-twins (Commerce Bank MO, Commercial Bank of CA, CB&T); nothing for californiabankofcommerce.com [searched, no data]","RM/banker channel; vendor unpublished","UNKNOWN","UNKNOWN — no data [2026-06-12]","Unknown","https://www.californiabankofcommerce.com/","UNKNOWN stays UNKNOWN. Twin pollution documented."
"NUVISION FEDERAL CREDIT UNION",68,"Yes — pulls (DoC list; 'unfroze Chex' member DP 2025-10-16)","No second source found — targeted search 2026-06-12 returned no Nuvision-specific Chex/EWS DPs beyond DoC [searched, no new data]","BUSINESS: UNKNOWN","UNKNOWN","No new EWS data [2026-06-12]","Unknown leniency","https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/","Remains single-ecosystem-sourced (DoC); flag for phone verification."
"First Bank",70,"UNKNOWN — DoC 'First Bank' entries are AMBIGUOUS twins (FirstBank CO etc.)","No new data — first.bank-specific search 2026-06-12: nothing; unchex 'first-bank-ms' page is ANOTHER twin (Mississippi) [searched, no data]","UNKNOWN","UNKNOWN","UNKNOWN — no data [2026-06-12]","Unknown","https://www.depositaccounts.com/banks/first-bank-mo.html","UNKNOWN stays UNKNOWN; First Bank name-twin minefield (CO/MS/TN) re-documented."
"PREMIER AMERICA CREDIT UNION",75,"Yes — pulls + VERY sensitive (3 Chex inquiries/90d = auto-deny)","LENIENCY FIND — own site offers Fresh Start Checking ($25 open, $13/mo reducible to $10 w/ $200+ DD, branch-only application) = second-chance tier for Chex-flagged applicants; creditinfocenter CA page recommends Premier America for 'past history with ChexSystems' [VERIFIED own-site product + SECONDARY; 2026-06-12]","BUSINESS: UNKNOWN","UNKNOWN","No new EWS data [2026-06-12]","DUAL posture: VERY inquiry-sensitive on standard accounts, but Fresh Start = in-branch second-chance path","https://www.premieramerica.com/bank/accounts/checking/fresh-start-checking | https://www.creditinfocenter.com/california/","Leniency picture completed: sensitive ≠ no path; use branch Fresh Start if flagged."
"Banner Bank",79,"Yes — QualiFile auto-deny, no manual override (prior DP)","No new Chex/QualiFile DP found this pass [searched 2026-06-12, no data]","BUSINESS: UNKNOWN","UNKNOWN","No new EWS data [2026-06-12]","STRICT (QualiFile score auto-deny); BankOn 'Digital Account' = fallback path (prior)","https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/","Prior stands."
"MidFirst Bank",89,"Yes — pulls (DoC 4 DPs; sensitive: declined 7/12)","No second source found — Crediful/secondary searches 2026-06-12 surfaced only Vio Bank (MidFirst online division) mention, no Chex verdict [searched, no new data]","BUSINESS: UNKNOWN","Reports to EWS (Gadget 2022-11-20 list; Monifi/D5 appendix)","No new EWS inquiry DP [2026-06-12]","SENSITIVE (prior DPs)","https://smartasset.com/checking-account/midfirst-bank-banking-review","Remains DoC-ecosystem-sourced."
"Valley National Bank",104,"Yes — pulls (Crediful 2025-10-07 + DoC sens DPs; online sensitive, in-branch lenient) — already double-sourced","No new Chex data needed [2026-06-12]","BUSINESS: UNKNOWN — Visa Secured Business exists (deposit-backed) which sidesteps credit but Chex screening unstated","UNKNOWN","No EWS data — targeted EWS search 2026-06-12: nothing [searched, no data]","Open IN BRANCH (online channel auto-denies at low Chex-inquiry counts; branch flexible — prior DP)","https://www.doctorofcredit.com/banks-credit-unions-chexsystems-inquiry-sensitive/","EWS stays UNKNOWN."
"UMB Bank, National Association",126,"Consumer: Yes (DoC bonus page, soft); BUSINESS: UNKNOWN","SECOND-SOURCED (furnish side) — BBB complaint: UMB forgave a charge-off as goodwill resolution and 'the ChexSystems record was removed' = UMB furnishes to Chex [COMMUNITY-DP (BBB); 2026-06-12]","BUSINESS: UNKNOWN — commercial checking RM channel","Lean-no (weak)","No new EWS data [2026-06-12]","Soft pull (consumer) = gentle; goodwill-deletion DP suggests workable disputes","https://www.bbb.org/us/mo/kansas-city/profile/bank/umb-financial-corporation-0714-99148816/complaints","Single→double-sourced (pull DP + furnish DP)."
"LOS ANGELES FEDERAL CREDIT UNION",132,"Yes — VERIFIED own membership page (pull + hard credit pull); 2nd-chance if Chex balances paid","No new source needed — own-page VERIFIED stands; no contradicting DP found [2026-06-12]","BUSINESS: UNKNOWN","UNKNOWN","No new EWS data [2026-06-12]","LENIENT-conditional — second-chance if Chex balances paid (prior, own site)","https://www.lafcu.org/","Prior stands."
"RIZE FEDERAL CREDIT UNION",139,"Membership: LIKELY-NO (prior, own open-account page lists only ID+SSN+$5)","REVISED to USES-BUT-LENIENT-leaning — own Fresh Start Checking page: 'if you've ruined your credit or are on ChexSystems, it's not too late for a second chance at Rize' + 'Rize to New Beginnings' program — own site explicitly accommodates Chex-flagged members, implying Chex awareness/screening on standard accounts [STRONG-INFERENCE own-site; 2026-06-12]","BUSINESS: UNKNOWN — Business Visa via 'contact business banking team'; no biz screening DP","UNKNOWN","No new EWS data [2026-06-12]","LENIENT — dedicated Fresh Start second-chance product; prior 'LIKELY-NO Chex' should be downgraded to 'Chex-aware, lenient' pending a call","https://rizecu.com/checking/fresh-start-checking/ | https://rizecu.com/pathways/new-beginnings/","Material revision vs prior LIKELY-NO: second-chance product existence cuts against no-Chex read (per mission rule)."
