Name,Type,City,Deposits,Assets,Website,Biz_card(YES/NO/UNCLEAR),Card_link,Intro_0pct,Terms_note,Underwriter(SELF/name/UNKNOWN),UW_evidence,Apply(Online/Call/Branch/UNKNOWN),Apply_link,Bureau_quick,NoDoc_quick,Twin_check,Source_links,Screen_date
UPWARD CREDIT UNION,Credit Union,Burlingame,80547,93701,https://upwardcu.org,NO,,,Personal VISA Gold/Classic/youth/Share-Secured only; no business card found,N/A,,N/A,,,,No twin found,https://upwardcu.org/borrow/credit-cards/,2026-06-11
SONOMA FEDERAL CREDIT UNION,Credit Union,Santa Rosa,69518,80093,https://www.sonomafed.com,NO,,,No credit cards (personal or business) found on site; consumer deposits/auto/home loans only,N/A,,N/A,,,,Distinct from Redwood CU and other Sonoma County CUs,https://www.sonomafed.com/,2026-06-11
POLAM FEDERAL CREDIT UNION,Credit Union,Los Angeles,65887,73433,https://polam.org,NO,,,Personal Visa credit card only; no business banking section,N/A,,N/A,,,,TWIN ALERT: separate POLAM FCU in Redwood City CA (polamfcu.com) advertises business banking - batch entry is the Los Angeles one (polam.org),https://polam.org/,2026-06-11
TECHNICOLOR FEDERAL CREDIT UNION,Credit Union,Burbank,57935,84894,https://www.technicolorfcu.org,NO,,,Personal credit cards only (no product detail); no business banking,N/A,,N/A,,,,No twin found,https://www.technicolorfcu.org/,2026-06-11
HUNTINGTON BEACH CREDIT UNION,Credit Union,Huntington Beach,48390,55824,https://www.huntingtonbeachcu.org,NO,,,Personal Visa Coastal Rewards (15.90%) and Surf Wave (11.90%) only; serviced via eZCard/ScoreCard,N/A (personal serviced via eZCard/FIS),eZCard portal + ScoreCard rewards on personal cards,N/A,,,,Distinct from Orange County's CU Huntington Beach branch,https://www.huntingtonbeachcu.org/loan-center/visa-credit-cards/,2026-06-11
CENTRAL VALLEY FIREFIGHTERS CREDIT UNION,Credit Union,Fresno,42924,49933,https://cvfirecu.org,NO,,,Personal Visa Classic and Visa Platinum (fixed rate) only; occupational CU for fire service,N/A,,N/A,,,,Renamed 2018 from Fresno Fire Department CU; same entity,https://cvfirecu.org/loans/credit-cards/,2026-06-11
FOX FEDERAL CREDIT UNION,Credit Union,Los Angeles,34502,38149,https://www.foxcredit.org,NO,,,Personal VISA only; occupational CU (ex-20th Century Fox); no business card found,N/A,,N/A,,,,Formerly Twentieth Century Fox FCU; same entity,https://www.foxcredit.org/,2026-06-11
EL MONTE COMMUNITY CREDIT UNION,Credit Union,El Monte,29015,32962,https://www.elmonteccu.org,NO,,,Personal VISA Platinum (3.99% intro BT offer) and Share Secured only; serviced via EZ Card Info; no business card,N/A (personal serviced via eZCardInfo/FIS),EZ Card Info portal on personal cards,N/A,,,,No twin found,https://www.elmonteccu.org/loans/visa-credit-cards,2026-06-11
SUN PACIFIC FEDERAL CREDIT UNION,Credit Union,Richmond,24506,29840,https://www.sunpacific.org,NO,,,Personal Visa only (Visa Purchase Alerts); small SSA-employee-area CU; no business card found,N/A,,N/A,,,,Distinct from Sun Community FCU (El Centro) in same batch,https://www.sunpacific.org/,2026-06-11
CIBC Bank USA,Out-of-state bank with CA branches (SOD),Chicago (CA branches),16966,,https://us.cibc.com,UNCLEAR,,,No SMB business credit card found on US site; CIBC commercial card programs found are Canada-side (cibc.com) incl. U.S. Bank Canada partnership; us.cibc.com blocked to direct fetch,UNKNOWN,Canadian CIBC commercial cards reference U.S. Bank partnership; US entity card offering not confirmed,UNKNOWN,,,,Do not confuse CIBC Bank USA (US sub; ex-PrivateBank Chicago) with Canadian CIBC retail cards,https://us.cibc.com/en/home.html; https://www.cibc.com/en/commercial/business-solutions/credit-cards.html,2026-06-11
ATCHISON VILLAGE CREDIT UNION,Credit Union,Richmond,11658,13271,https://www.atchisonvillagecu.org,NO,,,No credit cards offered at all (checking/savings/auto/title loans only); $11.7M single-branch CU,N/A,,N/A,,,,No twin found,https://www.atchisonvillagecu.org/,2026-06-11
