Rank,Institution,Type,City,Deposits,Biz card?,Underwriter,0% intro,Terms,No-doc (quick),Apply,Card link,Why on list
103,FIRST ENTERTAINMENT CREDIT UNION,Credit Union,Hollywood,1713776,YES,SELF,"⭐ YES - 0% intro APR 12 mo (purchases, per search snippet)","Preferred Cash Business Visa: 1.5% cash back, no AF, $100 bonus after $1k/90d; also Visa Platinum Business",—,Call,https://www.firstent.org/business/credit-cards/preferred-cash-visa/,SELF-underwritten + 0% intro
105,FIRST NORTHERN BANK OF DIXON,Bank,Dixon,1695551,YES,Elan,⭐ YES,Business Cash Preferred 0% 12 cycles then 17.24-26.24% $0 AF; Business Real Rewards 0% 6 cycles $0 AF,—,Online,https://www.thatsmybank.com/business/business-credit-cards.html,0% intro
107,COMMONWEALTH BUSINESS BANK,Bank,Los Angeles,1686692,YES,Elan,⭐ YES — 0% 6 billing cycles (Business Real Rewards) purchases + BT,"Business Real Rewards: 1.5 pts/$1 uncapped, 0% 6 cycles, $0 AF (live generic Elan terms now show 18.99-27.99% ongoing vs prior 17.24-26.24% — Elan repriced); live CBB biz card page title: 'Empower Your Business with Corporate Credit Cards'",—,Online,https://www.cbb-bank.com/en/business/lending/creditcards,0% intro
109,BENEFICIAL STATE BANK,Bank,Oakland,1655342,YES,SELF,UNCLEAR (terms not published anywhere live),Two business Visa cards; details/fees NOT public — 'connect with a banker'; cards restricted to CA/OR/WA residents,Not visible live,Banker/contact (no online app; primary officer or client team),https://www.beneficialstatebank.com/business-banking/credit-cards,SELF-underwritten
114,SAN FRANCISCO FIRE CREDIT UNION,Credit Union,San Francisco,1454032,YES,SELF,Not stated,$0 AF; $0 cash advance fee; no BT fee; no foreign transaction fee; APR not shown on page,—,Call/Branch,https://sffirecu.org/business/business-platinum-visa/,SELF-underwritten
121,SIERRA CENTRAL CREDIT UNION,Credit Union,Yuba City,1339334,YES,SELF,UNCLEAR (6-month intro rate period; intro rate value not shown - not confirmed 0%),⭐ Business VISA: APR as low as 16.74%-22.99% (prime+9.99% after intro); credit line $5K-$50K; no annual fee,—,Online,https://www.sierracentral.com/products/business-visa,SELF-underwritten + $20K+ stated limit
125,CHRISTIAN COMMUNITY CREDIT UNION,Credit Union,San Dimas,1236810,YES,SELF,Not shown live (no intro APR stated),3 ministry/business cards: 'Gives to Missions' / MAF / IM Visa Business Rewards; 1.5% unlimited cash back; $300 bonus @ $3K/3mo (MAF $200 @ $750); $0 AF,Not visible live,Contact/assisted ('Contact Us to Apply'; AdelFi membership required first),https://www.adelfibanking.com/ministry/ministry-credit-cards/,SELF-underwritten
128,STATE BANK OF INDIA (CALIFORNIA),Bank,Los Angeles,1189577,YES,Elan,⭐ UNCONFIRMED live (terms not published; Elan twins offer 0% 6-12 cyc),Business cards offered; page text (indexed): 'creditor and issuer... is Elan Financial Services'; specific APR/AF not published; sbical.bank blocked by fetch safety filter - verified via Google-indexed page text,—,Online,https://www.sbical.bank/business-banking/business-credit-cards,0% intro
134,SESLOC CREDIT UNION,Credit Union,San Luis Obispo,1124366,YES,SELF,Not stated,SESLOC Visa business credit card with 'competitive rates'; details (APR/fees) not on page,Not stated on page,Online,https://www.sesloc.org/business-services/business-lending/,SELF-underwritten
141,HONDA FEDERAL CREDIT UNION,Credit Union,Torrance,1041171,YES,SELF,Not visible,Visa Business Card exists per own Visa disclosure + Member Advantage Points T&C; not promoted on cards page (only Classic/Gold shown),—,UNKNOWN,https://www.hondafcu.org/hondafcu/media/pdfs/disclosures/visa-disclosure.pdf,SELF-underwritten
149,VALLEY FIRST FEDERAL CREDIT UNION,Credit Union,Modesto,926404,YES,UNKNOWN,⭐ YES - 0% 12 mo on purchases (within 60 days of opening),1.5% cash back; then 17.49-18.00% variable; Visa,—,Online,https://www.valleyfirstcu.org/business-cash-back-credit-card,0% intro
164,SUN COMMUNITY FEDERAL CREDIT UNION,Credit Union,El Centro,806837,YES,SELF,Not shown,Business credit card: no annual fee; cashback rewards 1pt/$1 (rewards via dreampoints.com); flexible purchasing power,—,Call,https://www.suncommunity.com/products/business-credit-card,SELF-underwritten
172,SACRAMENTO CREDIT UNION,Credit Union,Sacramento,719015,YES,SELF,NO,"⭐ Visa Platinum Business: no annual fee, limits to $25k, 25-day grace, low variable rate",—,Online,https://www.sactocu.org/Business/Business-Loans/Business-Credit-Cards,SELF-underwritten + $20K+ stated limit
182,UNCLE CREDIT UNION,Credit Union,Livermore,663677,YES,SELF,NO (none mentioned),⭐ Business Rewards Credit Card; 13.99%-28.99% APR; limits $500-$40k; no annual fee; 1.5x points,—,Online,https://www.unclecu.org/business-credit-card/,SELF-underwritten + $20K+ stated limit
184,USC CREDIT UNION,Credit Union,Los Angeles,631164,YES,SELF,Not stated,Business Mastercard referenced on business banking page; no annual fee; no foreign transaction fee; APR not shown; dedicated card page 404s,—,Online,https://www.usccreditunion.org/business-banking/,SELF-underwritten
202,Shinhan Bank America,Out-of-state bank with CA branches (SOD),New York,478280,YES,SELF,NO,Limit $4000-$100000 published; $45 AF; 25-day grace; no cash advance; primary deposit-or-loan relationship REQUIRED; no 0%,Docs not listed ('contact us'),Branch,https://www.shbamerica.com/business-business-credit-card/,SELF-underwritten
209,Amalgamated Bank,Out-of-state bank with CA branches (SOD),New York,397338,YES,FNBO,⭐ YES (0% intro APR purchases + balance transfers first 6 billing cycles),Business Mastercard via FNBO: 1.5 pts/$1; after intro 20.99%-28.49% variable; expense mgmt reports,—,Online,https://www.amalgamatedbank.com/business-credit-cards,0% intro
243,"City First Bank, National Association",Out-of-state bank with CA branches (SOD),Washington,254982,YES,Elan,⭐ YES,Low rate / cash back / flexible rewards menu (standard Elan agent lineup; Elan Business Cash Preferred carries 0% 12 cycles); specifics on offer portal not bank page,—,Online (or DC appointment),https://www.cityfirstbank.com/2120-2/,0% intro
267,Safra National Bank of New York,Out-of-state bank with CA branches (SOD),New York,173127,YES,SELF,⭐ 0% intro APR first 7 billing cycles (balance transfers),Mastercard business card via Safrapay; annual fee waived 1st yr then waived w/ eligible purchase activity; points rewards,—,UNKNOWN,https://safrapay.com/business-credit-card/,SELF-underwritten + 0% intro
292,INTERFAITH FEDERAL CREDIT UNION,Credit Union,Montclair,119195,YES,SELF,Not shown,Business Visa (plus a Church Visa product); requires business membership account; minimal paperwork; virtual card available,"⭐ Business Visa touts ""minimal paperwork"" (unverified)",Call,https://interfaithfcu.org/business-visa,SELF-underwritten + low/no-doc language
341,Bank of Guam,Out-of-state bank with CA branches (SOD),Hagatna,53145,YES,SELF,Not stated,Business Mastercard; 'competitive interest rates and annual fees' - specifics not visible (site returned 503 on direct fetch),—,UNKNOWN,https://bankofguam.com/business/spend/business-credit-cards,SELF-underwritten
