Name,Type,City,State,Assets,Deposits,PRIOR_card,PRIOR_card_link,PRIOR_underwriter,PRIOR_apply,PRIOR_bureau,PRIOR_nodoc,PRIOR_site
Woori America Bank,Out-of-state bank with CA branches (SOD),,,,572636,✅ Business Rewards + Business Secured Rewards Visa; terms N/M,https://www.wooriamericabank.com/Business-Credit-Cards,TCM (mycardstatement.com decode; ScoreCard rewards),In-person,Experian (TCM standard; INFERENCE),N/M | fit:2,https://www.wooriamericabank.com
Shinhan Bank America,Out-of-state bank with CA branches (SOD),,,,478280,"✅ Business Credit Card: limit $4,000–$100,000 PUBLISHED; $45 AF; 25-day grace; relationship required",https://www.shbamerica.com/business-business-credit-card/,Unknown (no portal found; issuer not decodable),In-person,N/M,N/M ('required documents: contact us') | fit:2,https://www.shbamerica.com
"NEW OMNI BANK, NATIONAL ASSOCIATION",Bank,Alhambra,CA,515271,371245,❌ No card (commercial/SBA lender; debit only),—,None,No,N/M,N/M | fit:0,https://newomnibank.com
"LIBERTY BANK, NATIONAL ASSOCIATION",Bank,Irvine,CA,396466,336353,❌ No card (commercial bank; deposits + relationship lending),—,None (NOTE: Elan card data online belongs to Liberty Bank of CT — different entity),No,N/M,N/M | fit:0,https://www.libertybk.com
"City First Bank, National Association",Out-of-state bank with CA branches (SOD),,,,254982,✅ Elan cards (low rate / cash back / rewards) — 'creditor and issuer... is Elan Financial Services' verbatim,https://creditcardlearnmore.com/11t3,Elan,Online,TransUnion (varies EX/EQ),PG yes; no tax returns (<$25K) | fit:3,https://www.cityfirstbank.com
METROPOLITAN BANK,Bank,Oakland,CA,231773,196224,✅ Business + personal Visa (mycommunitycc.com platform); terms N/M,https://www.mycommunitycc.com/FROlvrV1uR72,Unknown (mycommunitycc.com platform → likely TCM Bank; NOT Elan — that's a different same-name bank),Online,N/M (if TCM: Experian),N/M | fit:3,https://www.met.bank
SAN DIEGO FIREFIGHTERS FEDERAL CREDIT UNION,Credit Union,San Diego,CA,151718,140134,"❌ none — personal Visa, personal LOC, auto/home only",—,None (no business services),n/a,—,n/a | fit:0,https://www.sdffcu.org
CALIFORNIA BUSINESS BANK,Bank,Irvine,CA,122227,100377,❌ No card (deposits + commercial/SBA loans; no card or debit listed),—,None,No,N/M,N/M | fit:0,https://www.californiabusinessbank.com
HATCH BANK,Industrial Loan Company,San Marcos,CA,186754,57074,❌ No direct-to-business card (BaaS/fintech-sponsor bank),—,None (sponsor bank for fintech card programs; not direct issuer to businesses),No,N/M,N/M | fit:0,https://www.hatchbank.com
CIBC National Trust Company,Out-of-state bank with CA branches (SOD),,,,0,❌ No card (trust charter),—,None,No,N/M,N/M | fit:0,https://us.cibc.com
