Name,Type,City,Deposits,Assets,Website,Biz_card,Card_link,Intro_0pct,Terms_note,Underwriter,UW_evidence,Apply,Apply_link,Bureau_quick,NoDoc_quick,Agreement_vs_prior,Twin_check,Source_links,Screen_date
ALTURA FEDERAL CREDIT UNION,Credit Union,Riverside,2386844,2665893,https://www.alturacu.com,YES,https://www.alturacu.com/business-credit-card/,NO — no intro rate mentioned on live page,"Business Platinum: $0 AF; APR not published ('competitive interest rates'); limit up to $25K OAC; no BT fee; no cash advance fee; LLC NOT required (verbatim: 'You are not required to have an LLC to get a business credit card'); freelancers/online sellers eligible",SELF (likely),Live page branded Altura Credit Union; no Elan/TCM/FNBO/CorServ branding or third-party portal on page,In-person,https://www.alturacu.com/business-credit-card/ (apply = visit branch or call 888-883-7228),,,LIVE-CONFIRMS,No twin issue,https://www.alturacu.com/business-credit-card/,2026-06-11
AVIDBANK,Bank,San Jose,2202730,2572193,https://www.avidbank.com,YES,https://www.avidbank.com/lending-products,UNCLEAR — commercial program; no published consumer-style terms (avidbank.com 403s bots),"Live avidbank.com text (via search): 'Corporate and Business Credit Card programs offer... flexibility, rewards, and security'; commercial cards w/ spend controls, virtual cards, Level 2/3 data, custom rebates; relationship/commercial clients",SELF (CorServ Account Issuer program),CorServ press (May 2024): Avidbank moved from Agent Bank to CorServ Account Issuer program — bank controls credit decisioning; live site still advertises corporate/business card program,In-person,https://www.avidbank.com/lending-products (relationship/contact-based),,,LIVE-CONFIRMS,No twin issue,https://www.avidbank.com/lending-products; https://www.corservsolutions.com/avidbank-partners-with-corserv-to-implement-a-beneficial-credit-card-program-for-commercial-customers/,2026-06-11
FINANCIAL PARTNERS CREDIT UNION,Credit Union,Downey,1787836,2247379,https://fpcu.org,NO,—,—,Live fpcu.org card lineup is consumer-only: Visa Platinum / Visa Platinum Rewards (0% intro 12 billing periods is CONSUMER offer) / Savings Secured; no business card page on domain,Self (consumer cards only; none for business),fpcu.org credit-card pages (live search of domain) show only personal Visa products; business side = deposits,No,—,,,LIVE-CONFIRMS,"CAUTION twins: financialpartnersfcu.org = Financial Partners FEDERAL CU and fpcu.net = different FPCU — both excluded; only fpcu.org (Downey CA) used",https://fpcu.org/loans-credit/credit-cards; https://fpcu.org/money-saving-rates/credit-card-rates,2026-06-11
COMMONWEALTH BUSINESS BANK,Bank,Los Angeles,1686692,1990854,https://www.cbb-bank.com,YES,https://www.cbb-bank.com/en/business/lending/creditcards,YES — 0% 6 billing cycles (Business Real Rewards) purchases + BT,"Business Real Rewards: 1.5 pts/$1 uncapped, 0% 6 cycles, $0 AF (live generic Elan terms now show 18.99-27.99% ongoing vs prior 17.24-26.24% — Elan repriced); live CBB biz card page title: 'Empower Your Business with Corporate Credit Cards'",Elan Financial Services,Live: 'The creditor and issuer of this card is Elan Financial Services' (Elan business product pages tied to CBB page); card benefits hosted at card.myaccountaccess.com,Online,https://creditcardlearnmore.com/11t3/business-real-rewards,,,LIVE-CONFIRMS (ongoing APR drifted up vs prior snapshot),No twin issue: cbb-bank.com = Commonwealth Business Bank LA; NOT cbbank.com (Citizens Business Bank) nor cb.bank (Community Bank PA) which both surfaced in same search,https://www.cbb-bank.com/en/business/lending/creditcards; https://card.myaccountaccess.com/credit/visa-business-real-rewards.do,2026-06-11
VENTURA COUNTY CREDIT UNION,Credit Union,Ventura,1303082,1467597,https://www.vccuonline.net,YES,https://www.vccuonline.net/Business/Business-Accounts,NO — no intro terms published,"Live verbatim: 'Business Credit Cards from Mastercard, allow you to easily buy supplies, entertain clients and handle other everyday operating expenses'; no rates/fees published; NOTE: card mention now lives on Business-Accounts page — Business landing + Commercial-Loans pages no longer mention cards",SELF (inferred — unchanged),Own-branded Mastercard mention on own domain; no Elan/TCM/FNBO branding anywhere on live business pages; agreement still not posted,Branch/phone,https://www.vccuonline.net/Business/Business-Accounts (contact business services specialist via form),,,LIVE-CONFIRMS (weaker placement than prior implied: single sentence on deposit-accounts page),No twin issue,https://www.vccuonline.net/Business; https://www.vccuonline.net/Business/Business-Accounts; https://www.vccuonline.net/Business/Commercial-Loans,2026-06-11
LOS ANGELES FEDERAL CREDIT UNION,Credit Union,Glendale,1146363,1278292,https://www.lafcu.org,YES,https://www.lafcu.org/loans-credit/business-loans,NO — no intro rate on live page,"Business Rewards Platinum Visa: $0 AF; limit up to $50,000; 1 pt/$1 + 2x gas/groceries/restaurants/travel; APR shown as 'view current rate' live (prior snapshot 15.75% var not re-displayed); concierge, purchase protection, travel accident ins.",SELF,Live page: issuer = Los Angeles Federal Credit Union; CURewards = points program (Velera-side processing per prior; consumer Visa agreement names LAFCU as creditor),Online,https://www.lafcu.org/loans-credit/business-loans (online application via lending platform),,,LIVE-CONFIRMS (PRIOR-RICHER on APR 15.75% + bureau detail — not shown on live marketing page),No twin issue (lafcu.org = LA Federal CU; distinct from lafinancial.org LA Financial CU),https://www.lafcu.org/loans-credit/business-loans,2026-06-11
SUMMIT STATE BANK,Bank,Santa Rosa,879259,995922,https://summitstatebank.com,NO,—,—,Live homepage/nav: business lending + treasury management only; no credit card product (business or personal) anywhere in nav,None,Live nav crawl: no card links; lending = commercial programs only,No,—,,,LIVE-CONFIRMS,No twin issue (summitstatebank.com Santa Rosa CA; distinct from Summit Bank Oakland summitbanking.com),https://summitstatebank.com,2026-06-11
FIRST GENERAL BANK,Bank,Rowland Heights,811904,1141218,https://www.fgbusa.com,YES,https://www.fgbusa.com/products-and-services/others,UNCLEAR — no terms published at all,"Live: 'Business Credit Cards' and 'Consumer Credit Cards' are bare line items on Other Products & Services page; zero detail (no terms, no issuer, no apply link) — unchanged from prior",UNKNOWN,Live page names no issuer; no portal links (no myaccountaccess/mycommunitycc/myapexcard); likely agent-issued but undisclosed,In-person,https://www.fgbusa.com/products-and-services/others (no online application; contact bank),,,LIVE-CONFIRMS,No twin issue (fgbusa.com = First General Bank Rowland Heights),https://www.fgbusa.com/products-and-services/others,2026-06-11
FIRST COMMERCIAL BANK (USA),Bank,Alhambra,670130,871581,https://www.bankfcb.com,NO,—,—,"Live homepage/nav: personal + commercial banking, loans, international services; NO credit card referenced anywhere",None,Live nav crawl: no card products; prior note stands that 'FCB Banks' (IL) Elan hits are a misattribution — different institution,No,—,,,LIVE-CONFIRMS,"CAUTION twin: 'FCB Banks' (Illinois, fcbbanks.com) has Elan cards — NOT this bank; bankfcb.com (Alhambra CA, subsidiary of Taiwan First Bank) verified separately",https://www.bankfcb.com,2026-06-11
GOLDEN VALLEY BANK,Bank,Chico,525767,577734,https://www.goldenvalley.bank,YES,https://www.goldenvalley.bank/credit-cards/,UNCLEAR — Elan business suite typically incl. 0% intro offers but terms not re-verified (goldenvalley.bank unfetchable from this environment),Live search of goldenvalley.bank/credit-cards/: 'Golden Valley Bank has partnered with Elan Financial Services to offer consumer and business credit card products... competitive pricing combined with a full range of reward options',Elan Financial Services,Live site text (via search snippet of credit-cards page): partnered with Elan for consumer + business cards,Online,https://www.goldenvalley.bank/credit-cards/,,,LIVE-CONFIRMS,No twin issue (goldenvalley.bank Chico CA; distinct from Golden Valley Bank MN goldenvalleybank.com),https://www.goldenvalley.bank/credit-cards/,2026-06-11
MEGA BANK,Bank,San Gabriel,437435,515129,https://www.megabankusa.com,YES,https://www.megabankusa.com/Other-Services,UNCLEAR — terms not published; TCM application portal carries card-level terms,"Live: Mega Bank Other-Services page offers Personal and Business Credit Cards administered by TCM Bank, N.A.; apply online at mycommunitycc.com; cardholder servicing MyCardStatement.com, 800-883-0131","TCM Bank, N.A.","Live: megabankusa.com Other-Services page (via search) — cards 'administered by TCM Bank, N.A.'; mycommunitycc.com = TCM online application portal",Online,https://www.mycommunitycc.com/,,,LIVE-CONFIRMS (prior deep-link mycommunitycc.com/vsqcwJmaxwd7 not re-resolved; portal root live),No twin issue (megabankusa.com = Mega Bank San Gabriel CA; distinct from MegaBank TW/NE),https://www.megabankusa.com/Other-Services; https://www.mycommunitycc.com/; https://www.tcmbank.com/,2026-06-11
CAHP CREDIT UNION,Credit Union,Sacramento,365689,403972,https://cahpcu.org,YES,https://cahpcu.org/Business-Banking,UNCLEAR — no business card terms published,Live (via search of cahpcu.org/Business-Banking): 'Visa Business Credit Cards with an array of expense management tools and mobile payment capabilities'; consumer lineup separate (Premier Visa etc.); law-enforcement FOM; cahpcu.org unfetchable from this environment,UNKNOWN (not disclosed),No issuer named on business banking page; consumer Premier Visa appears self-branded; business card issuer not stated,Assisted,https://cahpcu.org/Business-Banking (contact VP Account Management jalves@cahpcu.org),,,LIVE-CONFIRMS,No twin issue (cahpcu.org = California Assoc. of Highway Patrolmen CU),https://cahpcu.org/Business-Banking; https://cahpcu.org/Credit-Cards,2026-06-11
AMERICAN CONTINENTAL BANK,Bank,City Of Industry,311254,379100,https://www.americancontinentalbank.com,NO,—,—,Live Products & Services page: deposits + CRE/SBA/commercial loans; 'Debit / ATM Cards' only — no credit card (business or personal) listed,None,Live products-services page enumerated: no credit card line item,No,—,,,LIVE-CONFIRMS,No twin issue,https://www.americancontinentalbank.com/products-services,2026-06-11
MONTEREY COUNTY BANK,Bank,Monterey,219207,297799,https://montereycountybank.com,NO,—,—,Live site: commercial + SBA loans; only card product = debit card; NO credit card and NO Emblem MasterCard mention remaining on live site,None for business,Live nav crawl: no credit card links; legacy Emblem consumer program not referenced on live site (consistent with runoff to Jefferson Capital per prior),No,—,,,LIVE-CONFIRMS (live is cleaner than prior: even legacy Emblem mention gone),No twin issue,https://montereycountybank.com,2026-06-11
ALTA VISTA CREDIT UNION,Credit Union,Redlands,191615,211726,https://altavistacu.org,NO,—,—,"Live nav: business side = Small Business Checking, Commercial Lending, Small Business Digital Services, Small Business Investment Services; 'Credit Cards' nav item is consumer; NO distinct business credit card product",UNKNOWN (consumer card issuer not stated on nav),Live nav crawl of altavistacu.org: no business credit card listed,No,—,,,LIVE-CONFIRMS (prior PARTIAL: biz checking + commercial lending but no biz card — matches live),No twin issue,https://altavistacu.org/,2026-06-11
"BANK OF WHITTIER, NATIONAL ASSOCIATION",Bank,Whittier,131032,158847,https://www.bankofwhittier.com,NO,—,—,Riba-Free (RF) Islamic-principle bank confirmed live; only card = Riba-Free VISA ATM/Debit; bank explicitly 'does not recommend a credit card' (cards.php),None,Live bankofwhittier.com pages (debit-cards.php / cards.php): RF debit only; anti-credit-card stance stated,No,—,,,LIVE-CONFIRMS,No twin issue,https://www.bankofwhittier.com/cards.php; https://www.bankofwhittier.com/debit-cards.php,2026-06-11
EASTERN INTERNATIONAL BANK,Bank,Los Angeles,86621,124212,https://www.eibankca.com,NO,—,—,Live site: CRE-focused lending (apartments/office/retail/hospitality/mixed-use); only card = VISA Debit Card ('works like a credit card... makes shopping easier'),None,Live nav/product crawl: no credit card product,No,—,,,LIVE-CONFIRMS,No twin issue,https://www.eibankca.com,2026-06-11
ALTOS BANK,Bank,Los Altos,37394,57456,https://www.altosbank.com,NO,—,—,Live site (digital-first de novo): business/personal deposits + CDs + lending solutions + Debit Card Services; NO credit card product,None,Live homepage/product crawl: no credit card mention,No,—,,,LIVE-CONFIRMS,No twin issue,https://www.altosbank.com,2026-06-11
"Wilmington Trust, National Association",Out-of-state bank with CA branches (SOD),,0,,https://www.wilmingtontrust.com,NO,—,—,"Live: two service lines only — Institutional (corporate trust & agency, custody, investment mgmt) and Wealth Management; site states loans/credit cards/deposits 'are offered by M&T Bank' (parent), not by Wilmington Trust",None (card products sit at parent M&T Bank),"Live wilmingtontrust.com disclosure: 'Loans, credit cards, retail and business deposits... offered by M&T Bank'",No,—,,,LIVE-CONFIRMS,Twin note: Wilmington Trust N.A. is M&T subsidiary — do not conflate with M&T Bank's own biz cards,https://www.wilmingtontrust.com,2026-06-11
