Name,Type,City,Deposits,Assets,Website,Biz_card,Card_link,Intro_0pct,Terms_note,Underwriter,UW_evidence,Apply,Apply_link,Bureau_quick,NoDoc_quick,Agreement_vs_prior,Twin_check,Source_links,Screen_date
ARROWHEAD FEDERAL CREDIT UNION,Credit Union,Rancho Cucamonga,2404987,2905839,https://www.arrowheadcu.org,NO,,,Consumer Arrowhead Visa (APR as low as 13.49%) + Share-Secured Visa only; business side = loans (/loans/business); stray FAQ mentions business debit/credit card members but no business card product page exists,,n/a — no business card product,n/a,,Free FICO score on consumer card statements (not Experian as prior noted),,"LIVE-CONFIRMS (no business credit card; consumer only). Minor: prior said free Experian/FICO — live page says FICO score, bureau not named",OK — arrowheadcu.org (Rancho Cucamonga CA); no twin confusion,https://www.arrowheadcu.org/arrowhead-visa; https://www.arrowheadcu.org/,2026-06-11
FIREFIGHTERS FIRST FEDERAL CREDIT UNION,Credit Union,Los Angeles,2221334,2470349,https://www.firefightersfirstcu.org,YES,https://www.firefightersfirstcu.org/Business/Business-Loans/Business-Credit-Cards,NO (no 0% intro found),"Business Platinum Visa, 1% cashback; business membership required; APR 10.75-18.00% var per prior (not re-shown; domain fetch-blocked, verified via search snippets)",SELF,CU own-branded Business Visa; no Elan/TCM/FNBO; firefightersfirstcu.org hosts product + requirements,Email/phone (800-231-1626); business membership prereq,https://www.firefightersfirstcu.org/Business/Business-Loans/Business-Credit-Cards,Personal credit reviewed (bureau not named),NO — FULL-DOC: current business income statement + business federal tax returns required (live snippet),"LIVE-CONFIRMS (self-issued, full-doc tax returns, 1% cashback); PRIOR-RICHER on APR range; apply leans email/phone vs prior Online",OK — firefightersfirstcu.org (LA); NOT fire-cu.org Firefighters CU Indianapolis,https://www.firefightersfirstcu.org/Business/Business-Loans/Business-Credit-Cards,2026-06-11
MONTECITO BANK & TRUST,Bank,Santa Barbara,1793788,2036398,https://montecito.bank,YES,https://montecito.bank/business/credit-card,NO (no 0% intro on live page),Business Visa: 16.49-24.49% var; $0 AF; 1pt/$1 = 1% auto cash back; $250 statement credit after $5K/90d (offer thru 6/30/2026),SELF,Own-branded MB&T Visa; no Elan/TCM/FNBO named; prior verified MB&T as creditor,Assisted (appointment/banker),https://montecito.bank/business/credit-card (schedule appointment; tel 805-963-7511),,,"LIVE-CONFIRMS (no 0%, 16.49-24.49%, $0 AF, 1% back, $250 SUB, assisted apply)",OK — montecito.bank (Santa Barbara CA); no twin,https://montecito.bank/business/credit-card,2026-06-11
BAY FEDERAL CREDIT UNION,Credit Union,Capitola,1693650,1892475,https://www.bayfed.com,YES,https://www.bayfed.com/business/visa-credit,NO (none shown),"Business Visa to $50K; $0 AF; BayREWARDS on all purchases; low variable rate (APR not published); travel/warranty/CDW perks; 2,500-pt signup per prior not re-shown live",SELF,Live page: Bay Federal issues the card directly; no agent named,Contact/branch,tel 831-479-6000 / 888-4BAYFED or branch (no online card app),,,"LIVE-CONFIRMS (self-issued, $50K, $0 AF, BayREWARDS, contact/branch apply); PRIOR-RICHER on 2,500-pt signup",OK — bayfed.com (Capitola CA); no twin,https://www.bayfed.com/business/visa-credit,2026-06-11
FFB BANK,Bank,Fresno,1345950,1571464,https://www.ffb.bank,YES,https://www.ffb.bank/home/business/loans-credit/credit-cards/,NO (no 0% mentioned),Basic biz card (custom credit lines) + Preferred Points rewards card; Roadside Dispatch + Travel Accident Ins; rewards via www.mypreferredpoints.com (TIB program portal); APR/AF not shown (page 403s direct fetch; verified via snippets),TIB,"Rewards run on mypreferredpoints.com / 866-678-5191 = TIB (The Independent BankersBank) agent card program, matching prior TIB attribution",Online per prior (live page fetch-blocked; contact 559-439-0200),https://www.ffb.bank/home/business/loans-credit/credit-cards/,,,LIVE-CONFIRMS (biz cards exist; TIB program via Preferred Points portal); PRIOR-RICHER on bureau/terms,OK — ffb.bank Fresno First Bank dba FFB; no twin,https://www.ffb.bank/home/business/loans-credit/credit-cards/; https://www.ffb.bank/home/business/,2026-06-11
AMERICAN FIRST CREDIT UNION,Credit Union,Brea,1155644,1310342,https://www.amerfirst.org,NO,,,"Business side = checking, savings, SBA, CRE loans only; no business credit card on business-services page; consumer credit cards exist",,n/a — no business card,n/a,,,,"LIVE-CONTRADICTS (prior Website afnb.com is WRONG ENTITY — afnb.com = American First National Bank, Houston TX; correct site is amerfirst.org. Prior NO-card verdict itself CONFIRMED on correct site)","TWIN FIXED — amerfirst.org (Brea CA CU) vs afnb.com (American First National Bank TX) vs americafirst.com (America First CU, Utah)",https://www.amerfirst.org/products/business-services; https://www.amerfirst.org/,2026-06-11
"PROVIDENT SAVINGS BANK, F.S.B.",Savings Institution (Federal Savings Bank),Riverside,901388,1217531,https://www.myprovident.com,YES,https://www.myprovident.com/creditcard/,PRIOR only (terms on Elan storefront; creditcardlearnmore.com fetch-blocked),"Elan-template lineup (low rate / cash back / flexible rewards = Cash Preferred / Smart / Real Rewards per prior); free expense reporting, free employee cards, zero fraud liability",Elan,Live: Apply button redirects to creditcardlearnmore.com (Elan storefront); Elan boilerplate text on site,Online,https://creditcardlearnmore.com/11t3/index?ecdma-lc=10028&ecid=OTHE_25940,,,"LIVE-CONFIRMS (Elan biz cards, online apply); PRIOR-RICHER on card names/terms (storefront blocked)",OK — myprovident.com (Riverside CA); NOT Provident Bank NJ (provident.bank) or Provident CU,https://www.myprovident.com/creditcard/; https://www.myprovident.com/business/,2026-06-11
FIRST CITY CREDIT UNION,Credit Union,Pasadena,818167,952449,https://www.firstcitycu.org,NO,,,Consumer credit card only (intro 2.99% APR 6 mo per live snippet); no business banking/card products found; site 403s direct fetch,,n/a — no business card,n/a,,,,LIVE-CONFIRMS (consumer-only; no business card),"OK — firstcitycu.org (Pasadena CA, LA County employees); NOT First City CU Pasadena TX",https://www.firstcitycu.org/,2026-06-11
RIVER VALLEY COMMUNITY BANK,Bank,Yuba City,670456,764212,https://www.myrvcb.com,YES,https://www.myrvcb.com/business/business-credit-cards-debit,PRIOR only (terms N/M; Elan storefront not re-fetched),Elan biz Visa lineup (low rate / cash back / rewards per prior); zero fraud liability; terms on Elan storefront,Elan,Live page snippet: creditor and issuer is Elan Financial Services (Visa/Mastercard licenses),Online (also via branch phone),https://www.mycardapply.com/synindex/?ecdma-lc=33345&ecid=OTHE_25940&offertype=0,,,"LIVE-CONFIRMS (Elan, online apply, biz cards exist)",OK — myrvcb.com (Yuba City CA); NOT rivervalleycommunitybank.com (separate RVCB) or Wolf River/Middletown Valley,https://www.myrvcb.com/business/business-credit-cards-debit,2026-06-11
PACIFIC VALLEY BANK,Bank,Salinas,546200,627944,https://www.pacificvalleybank.com,NO,,,Commercial/ag lender; debit Mastercard only; no credit card products listed anywhere in nav,,n/a — no card,n/a,,,,LIVE-CONFIRMS (no credit card; debit only),OK — pacificvalleybank.com (Salinas CA); no twin,https://www.pacificvalleybank.com/,2026-06-11
OneUnited Bank,Out-of-state bank with CA branches (SOD),,476360,,https://www.oneunited.com,NO,,,"Only card = UNITY Visa secured CONSUMER card ($39 AF, 9.95% BT 6mo then 17.99% fixed, deposit $250-$10K); no business credit card; oneunited.com 403s direct fetch — verified via search",,n/a — no business card,n/a,,,,LIVE-CONFIRMS (consumer secured card only; no business card),"OK — oneunited.com (Boston HQ, CA branches); no twin",https://www.oneunited.com/unity-visa/,2026-06-11
PACIFIC ALLIANCE BANK,Bank,San Gabriel,366529,450670,https://www.pacificalliancebank.com,NO,,,Commercial/SBA lender; contactless DEBIT card only; no credit card products in nav,,n/a — no card,n/a,,,,LIVE-CONFIRMS (no credit card; debit only),OK — pacificalliancebank.com (San Gabriel CA); no twin,https://www.pacificalliancebank.com/,2026-06-11
COMMUNITY COMMERCE BANK,Industrial Loan Company,Claremont,311987,413501,https://ccombank.com,NO,,,CRE + SBA 7(a) direct lender + deposits/CDARS; no credit cards or unsecured products on site,,n/a — no card,n/a,,,,LIVE-CONFIRMS (no card; secured lending only),OK — ccombank.com (Claremont CA); no twin,https://ccombank.com/,2026-06-11
BANK IRVINE,Bank,Irvine,236001,306521,https://www.bankirvine.com,NO,,,"Mastercard business/personal DEBIT only; product list = deposits, C&I, CRE, cash mgmt; no credit card (site 403s; verified via search snippets of bankirvine.com pages)",,n/a — no card,n/a,,,,LIVE-CONFIRMS (no credit card; Mastercard debit only),OK — bankirvine.com (Irvine CA de novo); no twin,https://www.bankirvine.com/debit-card/; https://www.bankirvine.com/business-banking/,2026-06-11
HOME BANK OF CALIFORNIA,Bank,San Diego,193199,254901,https://www.hbc.bank,YES,https://www.hbc.bank/business/business-products-services/business-credit-cards/,NO (no 0% intro found),Business credit cards (TCM-issued) + Company Rewards Charge Card; servicing via MyCardStatement.com; 24/7 contact center 800-883-0131; $0 AF / 1pt per $1 per prior,"TCM Bank, N.A.","Live: HBC partners with TCM Bank; cards issued by TCM Bank, N.A.; MyCardStatement.com = TCM servicing portal",Online,https://www.mycommunitycc.com/uJU63OjSlxHb (prior storefront) via hbc.bank card pages,Experian per prior (TCM; not re-shown live),,"LIVE-CONFIRMS (TCM Bank N.A. issuer, biz Visa + Company Rewards Charge Card, online apply)",OK — hbc.bank (San Diego); not Home Bank (LA/MS) or HomeBanc,https://www.hbc.bank/business/business-products-services/business-credit-cards/; https://www.hbc.bank/business/business-products-services/company-rewards-charge-card/,2026-06-11
BEACH CITIES COMMERCIAL BANK,Bank,Irvine,139564,182473,https://www.beachcitiescb.com,YES,https://www.beachcitiescb.com/Card-Solutions/,YES — Business ZERO+ extended low intro rate on purch+BT (length not shown live; Elan ZERO+ standard up to 18 cycles per prior),"4 Elan cards: Cash Preferred, ZERO+, Smart Business Rewards, Real Rewards; free expense reporting, free employee cards; AF not shown; deposit-acct tie from prior NOT mentioned live",Elan,Live page: issuer = Elan Financial Services (Visa/Mastercard licenses); Apply Now links,Online,https://www.beachcitiescb.com/Card-Solutions/ (Apply Now -> Elan storefront),,,"LIVE-CONFIRMS (Elan, ZERO+ intro, online apply); deposit-account requirement from prior not visible live",OK — beachcitiescb.com (Irvine CA); no twin,https://www.beachcitiescb.com/Card-Solutions/,2026-06-11
LEGACY BANK,Bank,Murrieta,99856,111488,https://www.legacybankca.com,UNCLEAR,,,No card products anywhere in live site nav (business = loans/accounts/commercial lending); only third-party directories (Bloomberg/Yahoo) list credit cards among products; Soboba Tribe-founded MDI,UNKNOWN,No issuer evidence; no card page exists on live site,Contact bank,https://www.legacybankca.com/about/contact-us (tel 951-579-3177),,,LIVE-CONTRADICTS (soft) — prior said business cards exist (no detail); live site shows NO card products in nav; downgraded to UNCLEAR,OK — legacybankca.com (Murrieta CA); prior already excluded out-of-state Legacy Bank twins (CO/WI),https://www.legacybankca.com/; https://www.legacybankca.com/loans/commercial-lending,2026-06-11
ASIAN PACIFIC NATIONAL BANK,Bank,San Gabriel,45286,57005,https://www.asianpacificbank.com,NO,,,Deposits + CRE/construction/business/auto loans; no credit card (or even debit/prepaid) mentioned on live homepage,,n/a — no card,n/a,,,,LIVE-CONFIRMS (no credit card),OK — asianpacificbank.com (San Gabriel CA); no twin,https://www.asianpacificbank.com/,2026-06-11
First Western Trust Bank,Out-of-state bank with CA branches (SOD),,0,,https://myfw.com,YES,https://myfw.com/treasury-management/,NO (none shown; corporate card via Treasury Mgmt),Corporate Credit Card + Purchase Card under Treasury Management; terms not published; /credit-cards/ page 404s; $250K private-bank gate from prior not visible live,Elan (per prior; live page does not name issuer),Live TM page silent on issuer; prior Elan attribution stands (Elan storefront 404 per prior); no contradicting evidence,Contact/banker,https://myfw.com/contact/ (no online card app),,,PRIOR-RICHER (live confirms corporate card exists via Treasury Mgmt; Elan attribution + deposit gate from prior only),"OK — myfw.com First Western Trust (Denver CO, CA offices); NOT firstwestern.com (First Western Bank ND/AR) or Western State Bank",https://myfw.com/treasury-management/,2026-06-11
