Rank,Institution,Type,City,Deposits,Biz card?,Underwriter,0% intro,Terms,No-doc (quick),Apply,Card link,Why on list
105,FIRST NORTHERN BANK OF DIXON,Bank,Dixon,1695551,YES,Elan,⭐ YES,Business Cash Preferred 0% 12 cycles then 17.24-26.24% $0 AF; Business Real Rewards 0% 6 cycles $0 AF,—,Online,https://www.thatsmybank.com/business/business-credit-cards.html,0% intro
108,MISSION BANK,Bank,Bakersfield,1684433,YES,TCM,not visible live (prior: 0% intro length N/M),"Rewards (1pt/$1), Cash Back (1% all purchases), Purchasing Card, large-org Purchasing Card ($1M+ spend); rates/fees in app disclosures",⭐ not visible live (prior: SBA-eligible only; no tax returns on app),Online,https://www.missionbank.bank/business/business-credit-cards,low/no-doc language
114,SAN FRANCISCO FIRE CREDIT UNION,Credit Union,San Francisco,1454032,YES,SELF,Not stated,$0 AF; $0 cash advance fee; no BT fee; no foreign transaction fee; APR not shown on page,—,Call/Branch,https://sffirecu.org/business/business-platinum-visa/,SELF-underwritten
122,VENTURA COUNTY CREDIT UNION,Credit Union,Ventura,1303082,YES,SELF,NO — no intro terms published,"Live verbatim: 'Business Credit Cards from Mastercard, allow you to easily buy supplies, entertain clients and handle other everyday operating expenses'; no rates/fees published; NOTE: card mention now lives on Business-Accounts page — Business landing + Commercial-Loans pages no longer mention cards",—,Branch/phone,https://www.vccuonline.net/Business/Business-Accounts,SELF-underwritten
128,STATE BANK OF INDIA (CALIFORNIA),Bank,Los Angeles,1189577,YES,Elan,⭐ UNCONFIRMED live (terms not published; Elan twins offer 0% 6-12 cyc),Business cards offered; page text (indexed): 'creditor and issuer... is Elan Financial Services'; specific APR/AF not published; sbical.bank blocked by fetch safety filter - verified via Google-indexed page text,—,Online,https://www.sbical.bank/business-banking/business-credit-cards,0% intro
139,RIZE FEDERAL CREDIT UNION,Credit Union,El Monte,1060948,YES,UNKNOWN,Not mentioned,⭐ Business Visa Platinum; no annual fee; limits $5K-$50K; employee cards; rates by phone,—,Call,https://rizecu.com/business-visa/,$20K+ stated limit
149,VALLEY FIRST FEDERAL CREDIT UNION,Credit Union,Modesto,926404,YES,UNKNOWN,⭐ YES - 0% 12 mo on purchases (within 60 days of opening),1.5% cash back; then 17.49-18.00% variable; Visa,—,Online,https://www.valleyfirstcu.org/business-cash-back-credit-card,0% intro
169,AMERICA'S CHRISTIAN CREDIT UNION,Credit Union,Glendora,725964,YES,SELF,Not visible,Visa Business Rewards + Visa Ministry Rewards; no annual fee; 30k-pt bonus ($3500/3mo); 5x giving/3x travel/1.5x everyday; free employee cards,—,Call,https://americaschristiancu.com/organization/visa-business-rewards-credit-card/,SELF-underwritten
182,UNCLE CREDIT UNION,Credit Union,Livermore,663677,YES,SELF,NO (none mentioned),⭐ Business Rewards Credit Card; 13.99%-28.99% APR; limits $500-$40k; no annual fee; 1.5x points,—,Online,https://www.unclecu.org/business-credit-card/,SELF-underwritten + $20K+ stated limit
189,EXCITE CREDIT UNION,Credit Union,San Jose,576946,YES,SELF,NO (none mentioned),⭐ Visa Business Rewards: 16.24%-22.74% APR; 1% cash back; no annual/BT/cash-advance fees; limit up to $30K,—,Online,https://excitecu.org/personal/borrow/credit-cards/visa-business,SELF-underwritten + $20K+ stated limit
209,Amalgamated Bank,Out-of-state bank with CA branches (SOD),New York,397338,YES,FNBO,⭐ YES (0% intro APR purchases + balance transfers first 6 billing cycles),Business Mastercard via FNBO: 1.5 pts/$1; after intro 20.99%-28.49% variable; expense mgmt reports,—,Online,https://www.amalgamatedbank.com/business-credit-cards,0% intro
249,"Sunflower Bank, National Association",Out-of-state bank with CA branches (SOD),Dallas,209727,YES,SELF,NO (no intro offer found; 'attractive APRs' marketing only; prior archived 13.20% var),Visa Small Business + Corporate cards; enhanced security; details via branch; pages 403-block bots — verified via search snippets of live sunflowerbank.com pages,Not visible live,Branch/contact (no online app found),https://www.sunflowerbank.com/business/business-accounts/credit-cards/small-business-and-corporate-credit-cards/,SELF-underwritten
292,INTERFAITH FEDERAL CREDIT UNION,Credit Union,Montclair,119195,YES,SELF,Not shown,Business Visa (plus a Church Visa product); requires business membership account; minimal paperwork; virtual card available,"⭐ Business Visa touts ""minimal paperwork"" (unverified)",Call,https://interfaithfcu.org/business-visa,SELF-underwritten + low/no-doc language
373,SLO CREDIT UNION,Credit Union,San Luis Obispo,25918,YES,SELF,Not stated,'Consumer and business credit cards'; competitive rates; instant issue; APR/AF not published - decisions made locally case-by-case,⭐ Manual/relationship underwriting language ('look at each applicant's situation') - possible flex on docs,Online,https://slocu.com/credit-cards/,SELF-underwritten + low/no-doc language
