Name,Type,City,State,Assets,Deposits,PRIOR_card,PRIOR_card_link,PRIOR_underwriter,PRIOR_apply,PRIOR_bureau,PRIOR_nodoc,PRIOR_site
F & A FEDERAL CREDIT UNION,Credit Union,Monterey Park,CA,3056610,2052654,❌ No business products (consumer Visa $500–$25K only),—,None for business,No,N/M,N/M | fit:0,https://www.fafcu.org
Valley National Bank,Out-of-state bank with CA branches (SOD),,,,1697582,"✅ 0% 6 cycles → 14.45–25.75% var; $0 AF; 1% cash back; + Secured Business option (110% deposit, ≤$25K)",https://www.valley.com/business/business-credit-cards,Self (Valley National Bank — BUSINESS cards self-issued per own disclosures eff 2025-10-01; PERSONAL cards = Elan since ,In-person,N/M public (mentor 2026-06: TU — zero public DPs to corroborate) ‖ v7 2026-06-11: bureau verdict [CO,"PG YES ('personally responsible, both individually and jointly with the Company') | fit:2",https://www.valley.com
HomeStreet Bank,Out-of-state bank with CA branches (SOD),,,,1400139,⚠️ MERGED into Mechanics Bank (Sept 2025); cards = Elan Smart Business Rewards (see Mechanics Bank row),—,Elan (now Mechanics Bank),No,N/M,N/M | fit:0,https://www.mymechanics.com/business/loans-credit/business-credit-cards/
STATE BANK OF INDIA (CALIFORNIA),Bank,Los Angeles,CA,1394366,1189577,✅ Elan biz cards; terms N/M (not published on site); $0 AF likely,https://www.sbical.bank/business-banking/business-credit-cards,Elan,Online,TransUnion (varies EX/EQ),PG yes; no tax returns (<$25K) | fit:3,https://www.sbical.bank
BANK OF THE ORIENT,Bank,San Francisco,CA,1160267,996322,❌ No card (debit + commercial lending only),—,None,No,N/M,N/M | fit:0,https://www.bankorient.com
GOLDEN STATE BANK,Bank,Glendale,CA,974262,828311,❌ No card (business debit only; relationship commercial lending),—,None,No,N/M,N/M | fit:0,https://www.goldenstatebank.com
ENDEAVOR BANK,Bank,San Diego,CA,805315,709408,✅ Elan biz cards (low rate / cash back / rewards); terms N/M,https://creditcardlearnmore.com/11t3/index?ecdma-lc=35185&ecid=OTHE_25940#business,Elan,Online,TransUnion (varies EX/EQ),PG yes; no tax returns (<$25K) | fit:3,https://www.endeavor.bank
Habib American Bank,Out-of-state bank with CA branches (SOD),,,,612187,⚠️ Visa Business Credit Card (site calls it SECURED); issuer/terms N/M,https://www.hab.bank/business/banking-services/visa-business-credit-card,Unknown (no portal links),In-person,N/M,N/M | fit:2,https://www.hab.bank
PARTNERS BANK OF CALIFORNIA,Bank,Mission Viejo,CA,614543,482189,✅ TIB Mastercard business (Preferred Points 1pt/$1 to 10K/mo); no 0%; terms N/M; no online apply,—,TIB,In-person,Experian/TU (TIB; INFERENCE),PG likely (TIB standard); docs N/M | fit:2,https://www.pbofca.com
"CHINO COMMERCIAL BANK, N.A.",Bank,Chino,CA,465786,388102,❌ No BUSINESS card — the 'third-party' card is CONSUMER-framed ('manage your personal finances'); Unsecured Business LOC,—,None for business (consumer card via undisclosed third party),No,N/M,N/M | fit:0,https://www.chinocommercialbank.com
INFINITY BANK,Bank,Santa Ana,CA,392898,343655,✅ no 0%; ~16.75% (Cash Back) / 18.75% (Platinum) var; $79 / $0 AF; 1% cash back to $1K/yr,https://app.ccdepartment.com/Credit/credit?name=GoInfinityBank193,ServisFirst Bank (agent program),Online,N/M (personal pull on guarantor; bureau not named),PG yes (signed guarantee required); NO tax returns mandated (financials OR return accepted) | fit:3,https://www.infinity.bank
FIRST CREDIT BANK,Bank,West Hollywood,CA,504745,257910,⚠️ No card (single-branch CRE/commercial lender; no website),—,None,No,N/M,N/M | fit:0,N/M (bank does not operate a website; calfcb.com is a DFPI-flagged FRAUD imposter)
"GATEWAY BANK, F.S.B.",Savings Institution (Federal Savings Bank),Oakland,CA,286530,202316,❌ No card (thrift; MoneyPass debit; collateral-based CRE lending),—,"None ‖ v7.6: ATTRIBUTION FIX 2026-06-11: Oakland’s Gateway Bank FSB (gatewayfsb.com, CERT 33103) sells NO credit cards a",No,N/M,N/M | fit:0,https://www.gatewayfsb.com
UNITED PACIFIC BANK,Bank,City Of Industry,CA,187114,152984,⚠️ TCM CONSUMER card only; NO business card marketed,—,"TCM Bank, N.A. (consumer card)",No,N/M (TCM),N/M | fit:0,https://www.upbnet.com
THINKWISE FEDERAL CREDIT UNION,Credit Union,San Bernardino,CA,121225,107843,"✅ Business credit cards AND business LOC (restricted industries: cannabis, gambling, MSB, adult)",https://www.thinkwisecu.org/business-membership,Unknown — verify,Email/phone,UNKNOWN,"Best-documented in cohort: govt ID for signers/BOs (25%+), EIN/SSN, FinCEN BO cert, formation docs, ",https://www.thinkwisecu.org
CALIFORNIA PACIFIC BANK,Bank,San Francisco,CA,100924,57857,❌ No card (relationship merchant/commercial bank; no card published),—,None,No,N/M,N/M | fit:0,https://www.calpacificbank.com
CAPITAL BANK AND TRUST COMPANY,Savings Institution (Federal Savings Bank),Irvine,CA,226431,500,❌ No card (Capital Group / American Funds captive trust & custody bank),—,None,No,N/M,N/M | fit:0,https://www.americanfunds.com
