Name,Type,City,State,Assets,Deposits,PRIOR_card,PRIOR_card_link,PRIOR_underwriter,PRIOR_apply,PRIOR_bureau,PRIOR_nodoc,PRIOR_site
CALPRIVATE BANK,Bank,La Jolla,CA,2693463,2375837,✅ no 0%; $0/$49 AF; apply via banker,https://calprivate.bank/business-banking/business-credit-cards/,TIB,In-person,Experian (TIB; conflicting 'variable'),"PG (infer, TIB standard); income docs N/M | fit:2",https://calprivate.bank
"EverBank, National Association",Out-of-state bank with CA branches (SOD),,,,2199297,✅ Elan cards ('partnered with Elan Financial Services as issuer and creditor'); terms N/M,https://www.everbank.com/business,Elan,Online,TransUnion (varies EX/EQ),PG yes; no tax returns (<$25K) | fit:3,https://www.everbank.com
OAK VALLEY COMMUNITY BANK,Bank,Oakdale,CA,2009991,1781504,⚠️ TCM white-label; terms N/M; existing-cardholders only,https://www.ovcb.com/commercial/loans/credit-cards/,"TCM Bank, N.A.",In-person,Experian,N/M (SBA-eligible small-biz cards; personal-credit underwritten) | fit:0,https://www.ovcb.com
MISSION BANK,Bank,Bakersfield,CA,1919385,1684433,✅ 0% intro (length N/M); $0 AF; 1% cash back,https://www.mycommunitycc.com/sgpXj3gLGuZQ,"TCM Bank, N.A.",Online,Experian,PG likely; SBA-eligible ONLY (excl. >$7M rev or 50+ emp); no tax returns on app | fit:3,https://www.missionbank.bank
AMERICAN RIVIERA BANK,Bank,Santa Barbara,CA,1422849,1268061,✅ Elan biz cards; terms N/M; apply online,https://creditcard.arb.bank/choose,Elan,Online,TransUnion (Elan; varies),PG yes; no tax returns (<$25K) | fit:3,https://americanriviera.bank
COMMERCE WEST BANK,Bank,Irvine,CA,1243344,1092294,✅ Card exists ('low intro rates' + Preferred Points); terms N/M; no CommerceWest-specific online apply,https://www.cwbk.com/business-loans/,TIB (inferred — 'Preferred Points' program signature),In-person,N/M (TIB; Experian typical),N/M (PG typical for TIB) | fit:2,https://www.cwbk.com
HCN BANK,Bank,Riverside,CA,974149,852684,✅ no 0%; APR N/M (Prime-based); $0/$49 AF; 1pt/$1 (Preferred Points),https://www.hcnbank.com/Business-Credit-Cards/,TIB,Online,Experian (TIB; INFERENCE),PG likely (TIB standard); income docs N/M | fit:3,https://www.hcnbank.com
NANO BANC,Bank,Irvine,CA,859584,789703,❌ No card (commercial lender + deposit/treasury; debit only),—,None,No,N/M,N/M | fit:0,https://www.nanobanc.com
BANK OF SAN FRANCISCO,Bank,San Francisco,CA,767510,670003,✅ Elan biz cards; terms N/M; no public apply (servicing login only),—,Elan,In-person,TransUnion (varies EX/EQ),PG yes; no tax returns (<$25K) | fit:2,https://www.bankbsf.com
GBC INTERNATIONAL BANK,Bank,Los Angeles,CA,676588,522816,✅ TCM business Visa; terms N/M; $0 AF likely,https://www.mycommunitycc.com/k7OgnYPt1fSE,"TCM Bank, N.A.",Online,Experian (TCM; BBB DPs),PG likely; SBA-eligible only | fit:3,https://www.gbcib.com
American First National Bank,Out-of-state bank with CA branches (SOD),,,,419284,❌ No business card (debit only),—,None,No,N/M,N/M | fit:0,https://www.afnb.com
BALBOA THRIFT AND LOAN ASSOCIATION,Industrial Loan Company,Chula Vista,CA,408010,361152,❌ No card (auto + CRE thrift & loan; FDIC-insured deposits),—,None,No,N/M,N/M | fit:0,https://www.balboathrift.com
MURPHY BANK,Bank,Fresno,CA,359587,297968,❌ No card (specialty secured lender; deposits),—,None,No,N/M,N/M | fit:0,https://www.murphybank.com
SUMMIT BANK,Bank,Oakland,CA,270191,211474,"✅ no 0%; 16.49% var (Prime+10.99%, cap 21%); $0/$49 AF; 1pt/$1 to 10K/mo (Preferred). FULL-DOC: financials required",https://www.summitbanking.com/business/loans/credit-cards/,TIB,In-person,N/M (TIB; consumer+commercial pull on guarantor),PG YES (joint & several) + YEAR-END FINANCIAL STATEMENTS required (balance sheet + income stmt) — NO,https://www.summitbanking.com
NEIGHBORHOOD NATIONAL BANK,Bank,El Cajon,CA,230154,187264,❌ No card (CDFI community bank; business debit + merchant services only),—,None,No,N/M,N/M | fit:0,https://www.mynnb.com
"BEACON BUSINESS BANK, NATIONAL ASSOCIATION",Bank,San Francisco,CA,167555,128050,❌ No card (Visa debit only; SBA/commercial lender),—,None,No,N/M,N/M | fit:0,https://www.beaconbusinessbank.com
"CALIFORNIA INTERNATIONAL BANK, N.A.",Bank,Westminster,CA,95231,80882,❌ No card (commercial/SBA bank; ATM/debit only),—,None,No,N/M,N/M | fit:0,https://www.cali.bank
GOLDEN VALLEY FEDERAL CREDIT UNION,Credit Union,Manteca,CA,39417,34733,✅ Elan biz cards (low rate / cash back / rewards); terms N/M,https://www.goldenvalley.bank/credit-cards/,Elan,Online,TransUnion (varies EX/EQ),PG yes; no tax returns (<$25K) | fit:3,https://www.goldenvalley.bank
"BNY Mellon, National Association",Out-of-state bank with CA branches (SOD),,,,0,"❌ No card (trust/wealth charter — second BNY entity, cert 7946; sibling of BNY Mellon Trust Co row)",—,None,No,N/M,N/M | fit:0,https://www.bny.com
