Name,Type,City,Deposits,Assets,Website,Biz_card(YES/NO/UNCLEAR),Card_link,Intro_0pct,Terms_note,Underwriter(SELF/name/UNKNOWN),UW_evidence,Apply,Apply_link,Bureau_quick,NoDoc_quick,Agreement_vs_prior,Twin_check,Source_links,Screen_date
WEST COAST COMMUNITY BANK,Bank,Santa Cruz,2476069,2895001,https://wccb.com,YES,https://wccb.com/corporate_cards,No 0% shown (APR not disclosed),"Corporate + Corporate Purchasing Mastercards; $0 AF; virtual cards/spend controls on Purchasing tier",SELF,"CorServ/Apex platform: cardholder portal wccb.myapexcard.com; cards presented as bank's own; no agent-issuer disclosure",Phone/RM (Corporate Card Mgr 831.457.5000; no online app),https://wccb.com/corporate_cards,Not visible,Not visible,"LIVE-CONFIRMS (CorServ Apex Mastercard, $0 AF, phone-only apply, terms undisclosed)",OK - wccb.com = West Coast Community Bank Santa Cruz (ex-Santa Cruz County Bank),https://wccb.com/corporate_cards,2026-06-11
UNITED BUSINESS BANK,Bank,Walnut Creek,2267047,2632362,https://www.unitedbusinessbank.com,YES,https://www.unitedbusinessbank.com/loans-credit/business-credit/business-credit-cards.html,Not visible (no promos mentioned),"""Competitive Annual Percentage Rate""; employee expense tracking; online account mgmt; no rates/fees/products named",UNKNOWN,"No issuer named; no portal links on live page",Request-Info form (no online app),https://www.unitedbusinessbank.com/loans-credit/business-credit/business-credit-cards.html,Not visible,Not visible,"LIVE-CONFIRMS (card exists, issuer/terms undisclosed, Request-Info only)",OK - unitedbusinessbank.com = United Business Bank Walnut Creek,https://www.unitedbusinessbank.com/loans-credit/business-credit/business-credit-cards.html,2026-06-11
COAST CENTRAL CREDIT UNION,Credit Union,Eureka,2060772,2322103,https://www.coastccu.org,YES,https://www.coastccu.org/business/business-credit-cards/,No 0% intro (rate-based cards),"Business Visa (limits from $1K, var APR as low as 10.70%) + Signature Visa (from $5K, as low as 9.70%); $0 AF; 1-2 pts rewards; employee cards",SELF,"CU's own card with own APR schedule; prior app-PDF evidence ""pursuant to Coast Central Credit Union VISA Credit Card Agreement""; no third-party issuer on live page",Paper PDF app to branch,http://www.coastccu.org/wp-content/uploads/2026/03/Business-Visa-Credit-Card-Application-3.16.25.pdf,Not visible,Doc requirements not shown on live page (prior: full-doc),"LIVE-CONTRADICTS (lineup changed: prior 'Business Visa Classic/Gold' w/ rev-10/04 paper app; live = 'Business Visa' + 'Signature Visa' with new 3.16.25 app PDF and visible APRs 10.70%/9.70%; still paper-only apply)",OK - coastccu.org = Coast Central CU Eureka,https://www.coastccu.org/business/business-credit-cards/ | https://www.coastccu.org/business/,2026-06-11
MERIWEST CREDIT UNION,Credit Union,San Jose,1753530,2163597,https://www.meriwest.com,YES,https://www.meriwest.com/business/business-credit-cards,Not visible (Elan-portal terms; site 403 to fetcher),"Rewards/travel points; low APR; high lines (per indexed page text); Elan-standard product set",Elan,"Indexed meriwest.com business-credit-cards page: creditor/issuer = Elan Financial Services (Visa/MC licenses); BusinessWire 2014 Elan-Meriwest agent partnership; myFICO datapoint 'Elan Financial Services c/o Meriwest'",Online (Elan app),https://www.meriwest.com/business/business-credit-cards (meriwest.com 403 to fetcher),Not visible,Not visible,"LIVE-CONFIRMS (Elan issuer stands; page URL moved /business-services/ -> /business/business-credit-cards; caveat: direct fetch blocked 403, verified via search index quote)",OK - meriwest.com = Meriwest CU San Jose,https://www.meriwest.com/business/business-credit-cards | https://www.businesswire.com/news/home/20140925006130/en/,2026-06-11
FRONTWAVE CREDIT UNION,Credit Union,Oceanside,1446543,1764704,https://www.frontwavecu.com,NO,,,"Consumer Visa only (Classic/Platinum/Signature Rewards); business side = vehicle/equipment loans, LOC, CRE - no business card",,No business card product exists; cards all under Personal nav,No,,,Not applicable,"LIVE-CONFIRMS (consumer Visa only; business = loans/LOC; caveat: frontwavecu.com 403 to fetcher, verified via indexed site pages)",OK - frontwavecu.com = Frontwave CU Oceanside,https://www.frontwavecu.com/Personal/Borrow/Credit-Cards | https://www.frontwavecu.com/,2026-06-11
"UMB Bank, National Association",Out-of-state bank with CA branches (SOD),,1202740,,https://www.umb.com,YES,https://www.umb.com/business-banking/business-credit-cards,0% intro 9 months (purchases),"Visa Signature Business Rewards: 20K pts ($200) @ $2K/90d; 15.49% var after intro; $0 AF; 2x top-2 categories/1x other; commercial card suite alongside",SELF,"UMB-issued; live page UMB Bank n.a. Member FDIC branding; UMB is itself an agent issuer FOR other banks",Online,https://dao.umb.com/sbla,Not visible,"Online app 15-20 min; approval 2-3 biz days; no tax-return requirement stated","LIVE-CONFIRMS (bonus $200/20K pts @ $2K/90d exact match; live ADDS 0% intro 9 mo, 15.49% var, $0 AF, online app dao.umb.com/sbla)",OK - umb.com = UMB Bank n.a. (KC MO; CA SOD branches),https://www.umb.com/business-banking/business-credit-cards,2026-06-11
SAVINGS BANK OF MENDOCINO COUNTY,Bank,Ukiah,1040520,1293076,https://www.savingsbank.com,YES,https://www.savingsbank.com/business/bank-cards/,Not visible on bank page (Elan-portal terms),"Low rate / cash back / flexible rewards buckets; free employee cards; expense tools (Elan boilerplate)",Elan,"Indexed live page quote: ""The creditor and issuer of these cards is Elan Financial Services, pursuant to separate licenses from Visa U.S.A. Inc., and Mastercard International Incorporated."" (savingsbank.com 403 to fetcher)",Online (Elan portal),https://www.savingsbank.com/business/bank-cards/ (Elan learn-more link on page; loc-code not retrievable - 403),Not visible,Not visible,"LIVE-CONFIRMS (Elan business card buckets stand; terms still N/M on bank page; caveat: verified via search-index quote, direct fetch 403)",OK - savingsbank.com = Savings Bank of Mendocino County Ukiah,https://www.savingsbank.com/business/bank-cards/,2026-06-11
WATER AND POWER COMMUNITY CREDIT UNION,Credit Union,Los Angeles,834545,990764,https://www.wpccu.org,NO,,,"Consumer-only CU (auto loans, consumer Mastercard, mortgage, CD/IRA); site: search shows zero business-banking pages",,No business products; only consumer Mastercard rates page exists,No,,,Not applicable,"LIVE-CONFIRMS (no business products; consumer Mastercard only; caveat: wpccu.org unfetchable - verified via site-restricted search of wpccu.org pages)",OK - wpccu.org = Water and Power Community CU (LADWP-rooted; LA),https://www.wpccu.org/ | https://www.wpccu.org/rates-mastercard,2026-06-11
"AMERICAN PLUS BANK, N.A.",Bank,Arcadia,716600,890687,https://bankaplus.com,YES,https://bankaplus.com/Credit-Cards,Not visible (terms behind TCM portal),"Visa Platinum Cash Rewards (consumer) + Visa Charge Company Rewards (business); terms not on bank page","TCM Bank, N.A.","Live apply link routes to https://www.mycommunitycc.com/QuUPgYKUKqcw = TCM Bank (ICBA) cardholder platform",Online (TCM portal),https://www.mycommunitycc.com/QuUPgYKUKqcw,Not visible,Not visible,"LIVE-CONFIRMS v7 update (TCM via mycommunitycc.com routing confirmed live; original 'TIB' prior superseded). Business card = Charge Company Rewards; terms still N/M",OK - bankaplus.com = American Plus Bank N.A. Arcadia,https://bankaplus.com/Credit-Cards | https://www.mycommunitycc.com/QuUPgYKUKqcw,2026-06-11
"Golden Bank, National Association",Out-of-state bank with CA branches (SOD),,630355,,https://www.goldenbank-na.com,NO,,,"Business products = commercial checking, MMA, CRE/business/SBA loans, business DEBIT card, wires, LC, cash mgmt - no credit card",,Only card product is Business Debit Card,No,,,Not applicable,"LIVE-CONFIRMS (no business credit card; debit only)",OK - goldenbank-na.com = Golden Bank N.A. (Houston TX; CA SOD branches),https://www.goldenbank-na.com/,2026-06-11
REDWOOD CAPITAL BANK,Bank,Eureka,484145,543402,https://www.redwoodcapitalbank.com,YES,https://www.redwoodcapitalbank.com/business/business-credit-cards,No 0% intro (none mentioned),"Standard $0 AF no rewards; Preferred Points Rewards $49 AF 1pt/$1 to 10K pts/mo; ""account will never have an APR over 21%""; 25-day grace; FX 2%; late $25",TIB,"PDF app submits to Card Service Center, P.O. Box 569120, Dallas TX 75356-9120 (TIB card-services address); no issuer named on page",Online-banking app (existing customers) or PDF via fax/mail (new),https://www.redwoodcapitalbank.com/business/business-credit-cards,Not visible,Not visible,"LIVE-CONTRADICTS (apply: prior In-person; live = online-banking application for existing customers / PDF fax-mail for new applicants). Terms CONFIRMED: 21% cap, $0/$49 AF, 1pt to 10K/mo, no 0%",OK - redwoodcapitalbank.com = Redwood Capital Bank Eureka,https://www.redwoodcapitalbank.com/business/business-credit-cards,2026-06-11
