Name,Type,City,State,Assets,Deposits,PRIOR_card,PRIOR_card_link,PRIOR_underwriter,PRIOR_apply,PRIOR_bureau,PRIOR_nodoc,PRIOR_site
SOUTHLAND CREDIT UNION,Credit Union,Los Alamitos,CA,1292892,1067283,⚠️ PARTIAL — business accounts + commercial loans confirmed; dedicated biz CC/LOC unverified (phone-confirm),https://www.southlandcu.org/borrow/credit-cards/,Self,Branch,UNKNOWN,Business Account Application PDF published (sole prop/LLC/corp/nonprofit/HOA); loan docs unpublished,https://www.southlandcu.org
EVERTRUST BANK,Bank,City Of Industry,CA,1114478,839626,✅ Elan business Visa (low rate / cash back / rewards); terms N/M,https://www.evertrustbank.com/Business/Visa-Credit-Cards,Elan,Online,TransUnion (varies EX/EQ),PG yes; no tax returns (<$25K) | fit:3,https://www.evertrustbank.com
"C3BANK, NATIONAL ASSOCIATION",Bank,Encinitas,CA,882652,770996,❌ No card (commercial/CRE/SBA bank; business debit only),—,None,No,N/M,N/M | fit:0,https://www.c3bank.com
MISSION VALLEY BANK,Bank,Sun Valley,CA,772560,632141,✅ TCM business Visa; terms N/M (see Summary of Credit Terms at app); 1pt/$1 typical,https://www.mycommunitycc.com/A0oVKGkHmrYt,"TCM Bank, N.A.",Online,Experian (TCM),PG likely; SBA-eligible only; no tax returns at app | fit:3,https://www.missionvalleybank.com
CABRILLO CREDIT UNION,Credit Union,San Diego,CA,571809,511775,"❌ none — consumer lineup only (checking, personal cards, personal loans, HELOC)",—,None (no business banking section),n/a,—,n/a | fit:0,https://www.cabrillocu.com
FIRST PACIFIC BANK,Bank,Whittier,CA,489849,409799,✅ Elan biz cards (low rate / cash back / rewards); terms N/M,https://www.firstpacbank.com/business-banking/business-loans-and-lines-of-credit/,Elan,Online,TransUnion (varies EX/EQ),PG yes; no tax returns (<$25K) | fit:3,https://www.firstpacbank.com
COMMUNITY BANK OF SANTA MARIA,Bank,Santa Maria,CA,405124,357053,✅ no 0% (intro APR only); $0 AF; Platinum/Platinum Rewards + Company Expense charge card,https://www.mycommunitycc.com/sx1jVR5q5Ti5,"TCM Bank, N.A.",Online,Experian (TCM),PG likely; SBA-eligible only; 'subject to credit approval' | fit:3,https://www.yourcbsm.com
Community Valley Bank,Out-of-state bank with CA branches (SOD),,,,285457,⚠️ Unknown card status — ACQUIRED by Frontwave Credit Union eff. 2025-10-01 ('no changes... until Frontwave business sui,—,(→ Frontwave CU post-merger),No,N/M,N/M | fit:0,https://www.yourcvb.com
"Sunflower Bank, National Association",Out-of-state bank with CA branches (SOD),,,,209727,✅ Visa Small Business + Corporate cards; 13.20% var; $0 AF (archived 2025-10-09),https://www.sunflowerbank.com,TCM (mycardstatement.com + ezbusinesscardmanagement.com portals),In-person,Experian (TCM standard; INFERENCE),N/M (TCM = SBA-eligible only typically) | fit:2,https://www.sunflowerbank.com
TIB National Association,Out-of-state bank with CA branches (SOD),,,,174070,NO direct-to-business card - TIB is the bankers'-bank AGENT ISSUER behind community-bank programs (cardaccount.net / myp,,NO CARD direct - TIB IS an agent rail (NO-GO class when it appears as underwriter),,,"n/a - correspondent bank, not retail",
ICON BUSINESS BANK,Bank,Riverside,CA,156656,124737,✅ TCM business + personal Visa; terms N/M; $0/low AF likely,https://www.mycommunitycc.com/lSp9OsZX4zOr,"TCM Bank, N.A.",Online,Experian (TCM),PG likely; SBA-eligible only | fit:3,https://www.iconbusinessbank.com
TUSTIN COMMUNITY BANK,Bank,Tustin,CA,86207,71352,❌ No card — RE-VERIFIED 2026-06-09 vs mentor claim: FDIC call reports show credit-card loans (LNCRCD) = $0 for 4 straigh,—,None (no agent-portal links sitewide; agent program can't be fully ruled out — one undated Yelp review mentions 'brochur,No,Mentor (2026-06): 'Experian' — UNCORROBORATED; no card found. Likely origins: indirect-auto EX pull ,N/M | fit:0,https://www.tustin.bank
First IC Bank,Out-of-state bank with CA branches (SOD),,,,31528,❌ No business card advertised ('Card Hub' = management only). MetroCity acquisition pending (~Q4 2025 close) — recheck p,—,None found,No,N/M,N/M | fit:0,https://www.firsticbank.com
