Institution,ChexSystems,Chex_link,EWS,EWS_link,LexisNexis_SageStream,LN_link,Other_secondary,Other_link,Notes
Axos Bank,"Yes — UPGRADE to VERIFIED: own support FAQ: 'Axos will not be able to process or approve your application with a ChexSystems freeze in place' — applies to PERSONAL and BUSINESS accounts; DoC: 6 DPs, NOT inquiry-sensitive (approved 50+/12mo) [VERIFIED (own FAQ) + DOC-LIST; 2026-06-12]",https://www.axosbank.com/business/support/faqs,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,P2 UPGRADE: Chex freeze = hard blocker incl. business banking. v6 ews_chex_mapping. NEW vs N/M: Axos pulls Chex but is inquiry-tolerant.
BAC Community Bank,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
BMO Bank,"Yes — pulls (DoC 2025-08-07, 18+ DPs; Crediful 2025-10-22); historically NOT inquiry-sensitive [DOC-LIST + COMMUNITY-DP; 2026-05-22]",https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/,N/M (not on DoC EWS list) [DOC-LIST + COMMUNITY-DP; 2026-05-22],https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/#comment-2326911,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. UPGRADE vs existing EWS=N/M: BMO reports ACH to EWS (Dealgamer 2026-05-22) and is on Gadget 2022-11-20 EWS-reporter list (as BMO Harris/Harris Trust); D5 appendix: 'EWS in addition to Chex'. No EWS-inquiry DP. Chex sens page: NOT sensitive (approved 13+).
"BNY Mellon, N.A.",UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Balboa Thrift and Loan Association,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Banc of California,Consumer: Yes — VERIFIED own DAAD eff. 2026-01-01: 'new accounts are subject to verification through ChexSystems' | BUSINESS: Yes (signer) — VERIFIED: same DAAD governs business accounts ('All other accounts shall be considered business accounts') and screening triggers 'by becoming an authorized signer'; closures reported to Chex [2026-06-11 (doc eff. 2026-01-01)],https://dam.bancofcal.com/m/7ac537b3b4b71842/original/Deposit-Account-Agreement-and-Disclosure-DAAD-1-1-26.pdf,Consumer: No mention — 0 EWS hits in 34-pg DAAD (lean-no) | BUSINESS: No mention (lean-no) [2026-06-11 (doc eff. 2026-01-01)],https://dam.bancofcal.com/m/7ac537b3b4b71842/original/Deposit-Account-Agreement-and-Disclosure-DAAD-1-1-26.pdf,UNKNOWN,—,UNKNOWN,—,v7 chex_socal_banks (business angle). ⚠ pulls one (Chex incl. biz signers; EWS lean-no) — upgrades v6 weak Unchex cell to VERIFIED. v6 ews_chex_mapping. Existing weak Unchex cell stands — verify in branch.
Bank Irvine,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Bank of America,"No — does not pull (DoC 2025-08-07, 9 DPs; comment 2026-03-06) [DOC-LIST + COMMUNITY-DP; 2026-05-22]",https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/,Yes — pulls (EWS co-owner; DoC ×4 DPs) [DOC-LIST + COMMUNITY-DP; 2026-05-22],https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/#comment-2326911,Yes — uses SageStream 'Credit Optics' score data for CREDIT decisions (cards/loans); 'extremely unlikely to deny for frozen SageStream' unless thin traditional file [DOC-LIST; article 2016-08-08],https://www.doctorofcredit.com/bank-america-now-uses-sagestream-credit-optics-score-data-credit-decisions/,UNKNOWN,—,"P2: SageStream usage is credit-side, not deposit-screening; recorded per 4-column scheme. v6 ews_chex_mapping. DoC Chex: doesn't pull (9). EWS: inquiry + reports ACH w/ state field (2026-05-22); on Gadget 2022-11-20 EWS-reporter list. CONFIRMS existing cell."
"Bank of America California, N.A.",UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Bank of Hope,Pull: Yes — SENSITIVE (want <5/12mo) [DOC-LIST; fetched 2026-06-10],https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,"v6 ews_chex_mapping. NEW vs N/M: DoC: Bank of Hope does pull (1); sens page: 'Denied with 7 in the last 12 months, they want less than 5'."
Bank of Marin,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Bank of San Francisco,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Bank of Stockton,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
"Bank of Whittier, N.A.",UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Bank of the Orient,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Bank of the Sierra,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Banner Bank,"Yes — pulls, sensitive (Unchex; BankDealGuy reader DP 2026-01-27); BankOn 'Digital Account' = fallback [COMMUNITY-DP; 2026-01-27 (existing cell)]",—,UNKNOWN,—,UNKNOWN,—,"QualiFile (ChexSystems/FIS scoring product) — auto-deny, no manual override [COMMUNITY-DP; 2026-01-27]",https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/,SYSTEMIC (DoC): banks using the Chex QualiFile SCORE indirectly pull LexisNexis — frozen LexisNexis => abnormal Chex score => auto-decline 'citing frozen Chex'. Directly relevant to Banner's QualiFile auto-deny. QualiFile is the Chex-based decision engine; recorded under Other for product-level visibility. v6 ews_chex_mapping. Re-searched 2026-06-10: no newer DPs found. Existing cell stands (QualiFile auto-deny; BankOn 'Digital Account' as workaround path).
Baxter Credit Union (BCU),Membership: UNKNOWN — TRANSUNION default for credit (EX on request if TU frozen); ChexSystems use unconfirmed; 2019 CreditBoards DP suggests Chex IS checked but accounts opened even with frozen Chex (forgiving) | BUSINESS: UNKNOWN — own biz-account opening page exists; deposit-screen unpublished [2026-05-22 (EWS-clean); 2019 CreditBoards (Chex hint)],https://bcu.org/Banking/Business-Banking-Accounts/Opening-a-Business-Account,Membership: No — EWS-CLEAN (Dealgamer 2026-05-22 'doesn't report and no inquiry') | BUSINESS: UNKNOWN [2026-05-22 (EWS-clean); 2019 CreditBoards (Chex hint)],https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/#comment-2326911,UNKNOWN,—,UNKNOWN,—,v7 chex_socal_cus. ❓ UNKNOWN (Chex) / EWS-clean — GOLD-CANDIDATE pending Chex close. v6 ews_chex_mapping. NEW vs N/M: Baxter Credit Union (BCU) on Dealgamer 2026-05-22 'doesn't report and no inquiry' EWS list = EWS-CLEAN. Chex unknown — GOLD-TIER CANDIDATE pending Chex verification.
Beach Cities Commercial Bank,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
"Beacon Business Bank, N.A.",UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Beneficial State Bank,"Consumer: Lean-NO — own Personal Deposit Agreement names NO vendor; only generic 'credit report by a credit reporting agency' (VERIFIED-absence, own doc, 11pp) | BUSINESS: Lean-NO — own BUSINESS Deposit Agreement likewise names NO Chex/QualiFile/EWS; same generic credit-verification clause only (VERIFIED-absence, own doc, 9pp) [2026-06-11 (docs fetched)]",https://www.beneficialstatebank.com/uploads/files/Personal-Deposit-Account-Agreement-and-Disclosure.pdf,Consumer: Lean-NO (0 'Early Warning' hits both docs); no community DPs | BUSINESS: Lean-NO (same) [2026-06-11 (docs fetched)],https://www.beneficialstatebank.com/uploads/files/Personal-Deposit-Account-Agreement-and-Disclosure.pdf,UNKNOWN,—,UNKNOWN,—,v7 chex_socal_banks (business angle). 🥈 likely-no (absence-based: own docs name no vendor; no DP confirms). v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
BluPeak Credit Union (formerly USE Credit Union),Pull: Yes [DOC-LIST; 2025-08-07],https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. DoC: BluPeak does pull (2); legacy USE CU does pull (1).
Bluevine (fintech),Membership: No — does NOT use ChexSystems (DoC 'don't pull' list + own marketing 'no ChexSystems check') | BUSINESS: No — same no-Chex/no-credit-check for business checking [2026-06-11],https://www.bluevine.com/faq,Membership: No (identity-only; may use risk checks but no Chex) | BUSINESS: No [2026-06-11],https://www.bluevine.com/faq,UNKNOWN,—,UNKNOWN,—,v7 chex_socal_cus. 🏆 GOLD (fintech no-Chex banking layer) — verified-no-Chex.
"C3bank, N.A.",UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
CAHP Credit Union,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
CIBC National Trust Company,"Pull: UNKNOWN (parent CIBC does pull, 4 DPs) [v6 existing cell]",https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. CIBC retail pulls Chex; trust-company onboarding likely different — do not apply.
CTBC Bank Corp. (USA),UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
CalPrivate Bank,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
California Bank & Trust,Consumer: Yes — VERIFIED own charter-wide Deposit Agreement (eff. 2026-07-20): 'status reports by a credit reporting or check reporting agency' at opening; Crediful-Zions 2025-10-08 pulls Chex; Chex dispute address in doc | BUSINESS: Likely-Yes (signer) — same agreement governs 'CONSUMER ACCOUNTS... OR BUSINESS ACCOUNTS AND SERVICES'; verification clause is account-type-agnostic; no biz carve-out [2026-06-11 (doc eff. 2026-07-20; Crediful 2025-10-08)],https://www.zionsbank.com/content/dam/zbna/disclosures/shared/general/depositagreement.pdf (charter-wide incl. CB&T),"Consumer: Furnishes-YES (doc: 'request a copy of your consumer report... earlywarning.com'); inquiry-side UNKNOWN | BUSINESS: Furnishes likely (same doc, biz in scope); inquiry UNKNOWN [2026-06-11 (doc eff. 2026-07-20; Crediful 2025-10-08)]",https://www.zionsbank.com/content/dam/zbna/disclosures/shared/general/depositagreement.pdf (charter-wide incl. CB&T),UNKNOWN,—,UNKNOWN,—,"v7 chex_socal_banks (business angle). ⚠ pulls one (Chex incl. biz; EWS furnish confirmed, EWS inquiry unconfirmed). v6 ews_chex_mapping. No new DPs found; existing Zions-disclosure cell stands."
"California Bank of Commerce, N.A.",UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
California Business Bank,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
California Coast Credit Union,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,P2: web-searched 2026-06-12 — no public deposit agreement naming a vendor and no DoC/forum DPs found; all four columns remain UNKNOWN (never guess). v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
California Credit Union,"Yes — pulls (CU-answered myFICO Q&A 2025-08-21: 'Chexsystems { Yes }'; 'Chex sensitive, apply in person' DP) [DOC-LIST + COMMUNITY-DP; 2025-08-21 (existing cell)]",https://www.doctorofcredit.com/banks-credit-unions-chexsystems-inquiry-sensitive/,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Sens page: California CU 'denied with 22 in the last 24 months'. CONFIRMS project-log flip (Chex-sensitive).
"California International Bank, N.A.",UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
California Pacific Bank,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Capital Bank and Trust Company,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Capital One,No — consumer 360 (Crediful 2025-10-18; DoC mixed 9/9) [DOC-LIST + COMMUNITY-DP; 2026-05-22],https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/,Yes — pulls + reports (EWS co-owner; denial DP 2025-08-15) [DOC-LIST + COMMUNITY-DP; 2026-05-22],https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/#comment-2326911,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. D3 EWS list: Does pull (x3 + 360). 2026-05-22: reports w/ balance info 'at all times'. CONFIRMS existing cells.
Cathay Bank,Generic-CRA-clause (vendor unnamed) — own Deposit Account Agreement (consumer+business) sec.50 'Use of Consumer Reporting Agencies': 'third party services to verify... previous banking relationships'; ChexSystems never named; one weak undated forum claim of NO Chex stands [VERIFIED-absence (own doc) + weak COMMUNITY-DP; 2026-06-12],https://www.cathaybank.com/documents/personal/digital-account-opening/deposit-account-agreement.pdf,Generic-CRA-clause (vendor unnamed) — 0 EWS hits in 40-pg agreement [VERIFIED-absence; 2026-06-12],https://www.cathaybank.com/documents/personal/digital-account-opening/deposit-account-agreement.pdf,Not named in own agreement [VERIFIED-absence; 2026-06-12] — inquiry-side UNKNOWN,https://www.cathaybank.com/documents/personal/digital-account-opening/deposit-account-agreement.pdf,UNKNOWN,—,"P2: also sec.14 'Consent to Gather Information' = generic credit-reporting-agency authorization. High-value verification call target. v6 ews_chex_mapping. Single undated forum answer lists Cathay Bank among non-ChexSystems banks in LA. Too weak to grade — treat as UNKNOWN, but a verification call is high-value (potential gold-tier)."
Charles Schwab Bank,UNKNOWN,—,"Yes — EWS inquiries appear as 'CHARLES SCHWAB via GIACT SERVICES' (mostly external-account linking, not always new-account screening) [COMMUNITY-DP; 2022-2025 DPs]",https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/,UNKNOWN,—,GIACT Services (Refinitiv/LSEG gDNA) — account-linking verification rail that posts EWS inquiries [COMMUNITY-DP],https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/,On DoC EWS list; multiple report DPs in docs_D3 (Nov 2022-Apr 2025 editions). Major CA branch presence.
Chase (JPMorgan Chase),No — does not pull (DoC list 2025-08-07; Chex-report DP 2026-04-14; biz also no-pull ×4) [DOC-LIST + COMMUNITY-DP; 2026-05-22],https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/,Yes — pulls + reports (EWS co-owner; DPs 2026-05-22) [DOC-LIST + COMMUNITY-DP; 2026-05-22],https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/#comment-2326911,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. DoC Chex: doesn't pull (36) + business doesn't pull (4). EWS: inquiry + reports ACH incl. balance (Dealgamer 2026-05-22). EWS co-owner. CONFIRMS existing cell.
Chime (fintech),No — does not pull Chex (DoC don't-pull list) [DOC-LIST; 2025-08-07],https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/,No — 'doesn't report and no inquiry' (Dealgamer EWS-clean list) [COMMUNITY-DP; 2026-05-22],https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/#comment-2326911,UNKNOWN,—,UNKNOWN,—,SF-HQ fintech (Bancorp/Stride partner banks).
"Chino Commercial Bank, N.A.","Consumer: UNKNOWN — own disclosures page lists only Privacy/ToU/Patriot Act/EDIE; no deposit agreement online; no DPs (v6 also none) | BUSINESS: UNKNOWN — small commercial bank, branch/RM opening; no vendor named anywhere public [2026-06-11 (searched, no data)]",https://www.chinocommercialbank.com/about/general-information/disclosures/,"Consumer: UNKNOWN | BUSINESS: UNKNOWN [2026-06-11 (searched, no data)]",https://www.chinocommercialbank.com/about/general-information/disclosures/,UNKNOWN,—,UNKNOWN,—,v7 chex_socal_banks (business angle). ❓ UNKNOWN — ask. v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Christian Community Credit Union (AdelFi),"Membership: Yes — pulls Chex (DoC 'does pull' list; 5 DPs; inquiry-sensitive, denied at 26+ inquiries) | BUSINESS: UNKNOWN — business checking + nonprofit checking offered; biz/nonprofit deposit-screen unpublished [2018-08-15 (EWS-clean DP); 2026-06-11]",https://www.adelfibanking.com/business/checking-savings/checking,Membership: No (2018 DP — Ampersand opened CCCU with no EWS inquiry) | BUSINESS: UNKNOWN [2018-08-15 (EWS-clean DP); 2026-06-11],https://www.adelfibanking.com/business/checking-savings/checking,UNKNOWN,—,UNKNOWN,—,"v7 chex_socal_cus. ⚠ PULLS-ONE (Chex, sensitive) / EWS-clean 2018. v6 ews_chex_mapping. NEW vs N/M: CCCU does pull Chex (5 DPs) and is inquiry-sensitive (sens page: denied at 26+). EWS: NOT among Ampersand's 2018-08-15 EWS inquiries (opened CCCU, no EWS inquiry). Now branded AdelFi."
Citi (Citibank),Yes — but approves with FROZEN Chex (DoC 2025-08-07 31 DPs; freeze-OK DPs 2026-04-14 + 2026-06-04) [DOC-LIST + COMMUNITY-DP; 2026-05-22],https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/,Yes — pulls (DoC ×3; DP 2026-05-22) [DOC-LIST + COMMUNITY-DP; 2026-05-22],https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/#comment-2326911,UNKNOWN,—,UNKNOWN,—,"v6 ews_chex_mapping. EWS inquiry incl. Citi Retail + reports ACH (2026-05-22). Chex sens page: declined 9-10/4mo, approved 23/7mo — mildly sensitive. CONFIRMS existing cell."
Citizens Business Bank,"Consumer: UNKNOWN — every 'Citizens' Chex DP online is a NAME-TWIN (Citizens Bank RI/citizensbank.com, Citizens NM, GA) — none apply to cbbank.com; no own-doc deposit agreement indexed | BUSINESS: UNKNOWN — same; biz-first bank, RM channel [2026-06-11 (searched, twins only)]",https://www.cbbank.com/ (no agmt indexed),"Consumer: UNKNOWN — DoC EWS 'Citizens Bank (RI)' entry is the twin, NOT this bank | BUSINESS: UNKNOWN [2026-06-11 (searched, twins only)]",https://www.cbbank.com/ (no agmt indexed),UNKNOWN,—,UNKNOWN,—,v7 chex_socal_banks (business angle). ❓ UNKNOWN — ask. v6 ews_chex_mapping. Searched 2026-06-10 (web + DoC docs): no Chex/EWS data points found. UNKNOWN — never guess; verify with banker at opening.
"City First Bank, N.A.",UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
City National Bank,"Consumer: Yes-probable — DoC 'City National Bank' does pull (2 DPs), NOT sensitive (approved 15+/12mo); CAUTION some DPs may be CNB West Virginia twin; own Personal Disclosures (46pp) name NO vendor, only generic 'consumer reporting agencies, account information services' | BUSINESS: Signer-auth — VERIFIED own BUSINESS Deposit Disclosures (ID 174, 63pp): 'to consider a request to open an account... we may request information from consumer reporting agencies' — identical generic clause, NO Chex/EWS named [2026-06-11 (docs fetched)]",https://www.cnb.com/content/dam/cnb/business-banking/accounts/documents/business-accounts-deposit-account-agreement-174.pdf,Consumer: No mention own docs; no EWS DPs (lean-no) | BUSINESS: No mention (lean-no) [2026-06-11 (docs fetched)],https://www.cnb.com/content/dam/cnb/business-banking/accounts/documents/business-accounts-deposit-account-agreement-174.pdf,UNKNOWN,—,UNKNOWN,—,"v7 chex_socal_banks (business angle). ⚠ pulls one (Chex probable consumer; biz = generic CRA auth, vendor unnamed). v6 ews_chex_mapping. NEW vs N/M: DoC 'City National Bank' does pull (2); sens page: approved with 15+ in past year. CAUTION: some DoC CNB data may be City National Bank WV (a commenter: 'CNB WV pulls Chex, no EWS'). Verify which CNB before relying."
Column National Association,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Comerica Bank,Pull: Yes (3 DPs; NOT sensitive — approved 80+/24mo) [DOC-LIST + COMMUNITY-DP; 2024-05-05],https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/,Pull: Yes [DOC-LIST + COMMUNITY-DP; 2024-05-05],https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/#comment-1196492,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. NEW vs N/M: Comerica pulls Chex (3) but tolerates high inquiry counts; PULLS EWS (Davis 2021-05-26) and REPORTS account opening to EWS (Gadget 2022-11-20 + 2024-05-05; D5 appendix).
CommerceWest Bank,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Commercial Bank of California,"Consumer: Lean-NO vendor — own Customer Agreements (36pp, 2026-01 posting): generic 'obtain reports from... credit and consumer reporting agencies' clause scoped '(INDIVIDUAL ACCOUNT)'; ChexSystems/QualiFile never named | BUSINESS: Lean-NO — VERIFIED-absence: BUSINESS ACCOUNTS sections require only chartering docs + beneficial ownership; NO consumer-report authorization clause for business accounts at all [2026-06-11 (doc fetched; fees eff. 2025-05)]",https://cbcal.com/wp-content/uploads/2026/01/Account_Disclosures.Final_.v2.pdf,Consumer: No mention — 0 EWS hits (lean-no) | BUSINESS: No mention (lean-no) [2026-06-11 (doc fetched; fees eff. 2025-05)],https://cbcal.com/wp-content/uploads/2026/01/Account_Disclosures.Final_.v2.pdf,UNKNOWN,—,UNKNOWN,—,v7 chex_socal_banks (business angle). 🥈 likely-no (own-doc: no vendor named; biz sections have no CRA clause). v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Commonwealth Business Bank (CBB),UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Community Bank of Santa Maria,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
