Rank,Institution,Type,City,Deposits,Biz card?,Underwriter,0% intro,Terms,No-doc (quick),Apply,Card link,Why on list
45,CALIFORNIA FEDERAL CREDIT UNION,Credit Union,Glendale,4866121,YES,SELF,NO 0% intro,Business Platinum 8.25-15.25% / Business Rewards (1% cash back) 9.25-16.25% (site rates dated 2021-10-19; Prime-indexed monthly); $0 AF; 3%/$10 cash adv; 1% FTF,not visible live (prior: PG + financials-on-request covenant),In-person,https://www.ccu.com/business/loans/business-credit-cards,SELF-underwritten
48,WESTAMERICA BANK,Bank,San Rafael,4788155,YES,Elan,⭐ 0% intro 12 billing cycles (Business Cash Preferred); 0% 6 cycles (Business Real Rewards),Cash Preferred $0 AF; Smart Business Rewards $0 intro then $95 AF; Real Rewards $0 AF; westamerica.com itself 403-blocked direct fetch,—,Online,https://creditcardlearnmore.com/11t3/index?ecdma-lc=12109,0% intro
53,FIVE STAR BANK,Bank,Roseville,4480237,YES,SELF,not stated (no public terms),Commercial Corporate Card Program (Mastercard) only — virtual cards/expense mgmt; no APR/fee/intro disclosed; relationship-based,N/M,In-person,https://www.fivestarbank.com/credit-cards,SELF-underwritten
57,Washington Federal Bank,Out-of-state bank with CA branches (SOD),Seattle,3886981,YES,SELF,Not advertised,No annual fee; 2% cash back gas/grocery/pharmacy (Visa Signature) / 1% all purchases; auto statement credit,Not stated,UNKNOWN,https://www.wafdbank.com/business-banking/business-credit-cards/small-business-credit-card,SELF-underwritten
60,"Citizens Bank, National Association",Out-of-state bank with CA branches (SOD),Providence,3715621,YES,SELF,UNCLEAR,Everyday Points Business MC: $0 AF; 50K-pt/$5K-90d bonus; 2pts(~1.5%); business products offered in CT/DE/FL/MD/MA/MI/NH/NJ/NY/OH/PA/RI/VT/VA/DC — CA NOT in footprint list; citizensbank.com 403-blocked to bots,—,Online (footprint-gated),https://www.citizensbank.com/small-business/business-credit-cards/everyday-points.aspx,SELF-underwritten
62,VALLEY STRONG CREDIT UNION,Credit Union,Bakersfield,3642703,YES,SELF,NO — no 0% intro mentioned for business cards,"Business Platinum: $0 AF, 'high spending limits', zero-liability, expense tools; Business Rewards: 1% cash back every purchase, $0 AF; APRs not published on marketing pages. Site 403s bots — verified via live Google results of valleystrong.com pages",—,Online,https://www.valleystrong.com/business-platinum-credit-card,SELF-underwritten
64,"CALIFORNIA BANK OF COMMERCE, NATIONAL ASSOCIATION",Bank,San Diego,3402697,YES,Elan,Not shown live (no terms published),"'Variety of business credit cards... low rates, account access, rewards programs'; EMV/mobile; no rates/AF published; also separate Commercial Card portal",⭐ Not visible live (prior: PG yes; no tax returns <$25K),Banker (no public apply link; contact 844.265.7622),https://www.californiabankofcommerce.com/business-financing-solutions/,low/no-doc language
68,NUVISION FEDERAL CREDIT UNION,Credit Union,Huntington Beac,3297429,YES,SELF,NO,Business Visa Rewards: $0 AF; 1pt/$1; free employee cards; purchase protection $10K; APR not published (call business specialist); no 0% intro shown,—,Online (also fax/branch form),https://nuvisionfederal.com/business-banking/credit-cards,SELF-underwritten
70,First Bank,Out-of-state bank with CA branches (SOD),St. Louis,3168933,YES,SELF,UNCLEAR — first.bank 503s to bots; no 0% intro surfaced in live search results (prior: terms N/M),"Live products confirmed: Business Platinum Rewards Mastercard (unlimited 1% cash back) + World Elite Mastercard; rewards portal firstbank.myapexcard.com (CorServ Apex platform, also 403s bots); 'subject to credit approval'",—,Online,https://www.first.bank/Business/Bank/Business-Credit-Cards,SELF-underwritten
75,PREMIER AMERICA CREDIT UNION,Credit Union,Chatsworth,2934356,YES,SELF,NO (no intro offer; flat 14.99% var),"Premier Business MC: 14.99% var purchases/BT; $0 AF; no late/over-limit/BT fees; newer businesses (<2 yrs profitable) get lower limits; premieramerica.com 403-blocked, verified via Google-indexed site pages",—,Online (per prior; site 403 prevented re-check of app flow),https://www.premieramerica.com/business/loans/premier-business-mastercard,SELF-underwritten
77,PCB BANK,Bank,Los Angeles,2898675,YES,Elan,⭐ PRIOR: 0% 12 cycles -> 17.24-26.24% (Elan storefront creditcardlearnmore.com fetch-blocked; not re-verified live),"Elan biz lineup (low rate / cash back / flexible rewards); free expense reporting, free employee cards",—,Online,https://www.mypcbbank.com/business/business-credit-cards,0% intro
79,Banner Bank,Out-of-state bank with CA branches (SOD),Walla Walla,2610504,YES,SELF,⭐ 0% 12 months purchases+BT (Business Platinum MC),12.49-17.49% var after intro; $0 AF incl employee cards; Business Cash Rewards variant also offered,not visible on page (prior PDF: PG joint&several + guarantor SSN/income/net worth + gross revenue),In-person,https://www.bannerbank.com/business-solutions/services/small-business-credit-card/business-platinum-mastercard,SELF-underwritten + 0% intro
81,WEST COAST COMMUNITY BANK,Bank,Santa Cruz,2476069,YES,SELF,No 0% shown (APR not disclosed),Corporate + Corporate Purchasing Mastercards; $0 AF; virtual cards/spend controls on Purchasing tier,Not visible,Phone/RM (Corporate Card Mgr 831.457.5000; no online app),https://wccb.com/corporate_cards,SELF-underwritten
85,ALTURA FEDERAL CREDIT UNION,Credit Union,Riverside,2386844,YES,SELF,NO — no intro rate mentioned on live page,⭐ Business Platinum: $0 AF; APR not published ('competitive interest rates'); limit up to $25K OAC; no BT fee; no cash advance fee; LLC NOT required (verbatim: 'You are not required to have an LLC to get a business credit card'); freelancers/online sellers eligible,—,In-person,https://www.alturacu.com/business-credit-card/,SELF-underwritten + $20K+ stated limit
89,MidFirst Bank,Out-of-state bank with CA branches (SOD),Oklahoma City,2259863,YES,SELF,⭐ 'Low introductory APR' purchases+BT first 6 billing cycles (rate not stated; not confirmed as 0%),3 cards: Business Rewards / Business Credit Card / Business Secured; APRs and AFs not published,—,In-person (banking center / local banker; no online app shown),https://www.midfirst.com/business-and-commercial/card-solutions/credit,SELF-underwritten + 0% intro
92,AVIDBANK,Bank,San Jose,2202730,YES,SELF,UNCLEAR — commercial program; no published consumer-style terms (avidbank.com 403s bots),"Live avidbank.com text (via search): 'Corporate and Business Credit Card programs offer... flexibility, rewards, and security'; commercial cards w/ spend controls, virtual cards, Level 2/3 data, custom rebates; relationship/commercial clients",—,In-person,https://www.avidbank.com/lending-products,SELF-underwritten
98,MONTECITO BANK & TRUST,Bank,Santa Barbara,1793788,YES,SELF,NO (no 0% intro on live page),Business Visa: 16.49-24.49% var; $0 AF; 1pt/$1 = 1% auto cash back; $250 statement credit after $5K/90d (offer thru 6/30/2026),—,Assisted (appointment/banker),https://montecito.bank/business/credit-card,SELF-underwritten
104,Valley National Bank,Out-of-state bank with CA branches (SOD),Passaic,1697582,YES,SELF,⭐ 0% intro 6 months purchases+BT (incl Secured card),"⭐ Visa Business + Valley Visa SECURED Business (deposit 110% of limit, max $25K limit); $0 AF; 1% unlimited cash back; up to 25 employee cards free; valley.com pages JS-render only headings - terms via indexed pages + own disclosure PDF",—,Interest form online then rep contact (no direct online app),https://www.valley.com/business/commercial-lending/valley-visa-business-credit-card,SELF-underwritten + 0% intro + $20K+ stated limit
106,BAY FEDERAL CREDIT UNION,Credit Union,Capitola,1693650,YES,SELF,NO (none shown),"⭐ Business Visa to $50K; $0 AF; BayREWARDS on all purchases; low variable rate (APR not published); travel/warranty/CDW perks; 2,500-pt signup per prior not re-shown live",—,Contact/branch,https://www.bayfed.com/business/visa-credit,SELF-underwritten + $20K+ stated limit
108,MISSION BANK,Bank,Bakersfield,1684433,YES,TCM,not visible live (prior: 0% intro length N/M),"Rewards (1pt/$1), Cash Back (1% all purchases), Purchasing Card, large-org Purchasing Card ($1M+ spend); rates/fees in app disclosures",⭐ not visible live (prior: SBA-eligible only; no tax returns on app),Online,https://www.missionbank.bank/business/business-credit-cards,low/no-doc language
110,MONTERRA CREDIT UNION,Credit Union,Redwood City,1654172,YES,SELF,UNCLEAR (intro APR offer on purchases first 90 days; rate not visible),Business Rewards Visa: no annual fee; variable rate; Monterra Rewards points; intro APR offer first 90 days,—,Online,https://www.monterra.org/business/credit-cards/business-rewards-visa-credit-card,SELF-underwritten
116,KEYPOINT CREDIT UNION,Credit Union,San Jose,1403675,YES,SELF,Not stated,"Visa biz card: 15.99%-24.99% variable APR, no annual fee, 1.5% cash back; no 0% intro mentioned",App asks total annual revenue + Tax ID/EIN (sole props may not need TIN),Online,https://kpcu.com/business/lending/business-loans/business-credit-cards,SELF-underwritten
122,VENTURA COUNTY CREDIT UNION,Credit Union,Ventura,1303082,YES,SELF,NO — no intro terms published,"Live verbatim: 'Business Credit Cards from Mastercard, allow you to easily buy supplies, entertain clients and handle other everyday operating expenses'; no rates/fees published; NOTE: card mention now lives on Business-Accounts page — Business landing + Commercial-Loans pages no longer mention cards",—,Branch/phone,https://www.vccuonline.net/Business/Business-Accounts,SELF-underwritten
126,"UMB Bank, National Association",Out-of-state bank with CA branches (SOD),Kansas City,1202740,YES,SELF,⭐ 0% intro 9 months (purchases),Visa Signature Business Rewards: 20K pts ($200) @ $2K/90d; 15.49% var after intro; $0 AF; 2x top-2 categories/1x other; commercial card suite alongside,⭐ Online app 15-20 min; approval 2-3 biz days; no tax-return requirement stated,Online,https://www.umb.com/business-banking/business-credit-cards,SELF-underwritten + 0% intro + low/no-doc language
132,LOS ANGELES FEDERAL CREDIT UNION,Credit Union,Glendale,1146363,YES,SELF,NO — no intro rate on live page,"⭐ Business Rewards Platinum Visa: $0 AF; limit up to $50,000; 1 pt/$1 + 2x gas/groceries/restaurants/travel; APR shown as 'view current rate' live (prior snapshot 15.75% var not re-displayed); concierge, purchase protection, travel accident ins.",—,Online,https://www.lafcu.org/loans-credit/business-loans,SELF-underwritten + $20K+ stated limit
139,RIZE FEDERAL CREDIT UNION,Credit Union,El Monte,1060948,YES,UNKNOWN,Not mentioned,⭐ Business Visa Platinum; no annual fee; limits $5K-$50K; employee cards; rates by phone,—,Call,https://rizecu.com/business-visa/,$20K+ stated limit
144,UNIVERSITY CREDIT UNION,Credit Union,Los Angeles,1010441,YES,SELF,Not stated,"Mastercard biz card: 2 pts/$1 no limit, no annual fee, no foreign transaction fee; APR not shown on page; no 0% intro mentioned",Not stated on page,Online,https://www.ucu.org/banking/business/business-credit-cards,SELF-underwritten
157,EVERTRUST BANK,Bank,City Of Industry,839626,YES,Elan,Not shown on bank page (Elan offer page carries promo; prior N/M),Elan menu: low rate / cash back / flexible rewards; free employee cards; expense tools; zero fraud liability,⭐ Not visible live (prior: PG yes; no tax returns <$25K),Online,https://www.evertrustbank.com/Business/Visa-Credit-Cards,low/no-doc language
169,AMERICA'S CHRISTIAN CREDIT UNION,Credit Union,Glendora,725964,YES,SELF,Not visible,Visa Business Rewards + Visa Ministry Rewards; no annual fee; 30k-pt bonus ($3500/3mo); 5x giving/3x travel/1.5x everyday; free employee cards,—,Call,https://americaschristiancu.com/organization/visa-business-rewards-credit-card/,SELF-underwritten
175,ENDEAVOR BANK,Bank,San Diego,709408,YES,Elan,⭐ 0% intro 12 billing cycles (Business Cash Preferred); 0% 6 cycles (Business Real Rewards),Cash Preferred $0 AF; Smart Business Rewards $0 intro then $95 AF; Real Rewards $0 AF,—,Online,https://creditcardlearnmore.com/11t3/index?ecdma-lc=35185&ecid=OTHE_25940#business,0% intro
183,MISSION VALLEY BANK,Bank,Sun Valley,632141,YES,TCM,Not shown live ('Summary of Credit Terms provided at time of application'),Business credit card programs via third party; multiple options; terms only at application; debit + Card Valet also offered,⭐ Not visible live (prior: PG likely; SBA-eligible only; no tax returns at app),Online,https://missionvalleybank.com/card-services/,low/no-doc language
189,EXCITE CREDIT UNION,Credit Union,San Jose,576946,YES,SELF,NO (none mentioned),⭐ Visa Business Rewards: 16.24%-22.74% APR; 1% cash back; no annual/BT/cash-advance fees; limit up to $30K,—,Online,https://excitecu.org/personal/borrow/credit-cards/visa-business,SELF-underwritten + $20K+ stated limit
207,FIRST PACIFIC BANK,Bank,Whittier,409799,YES,Elan,Not shown on bank page (prior N/M),Elan menu: low rate / cash back / flexible rewards; free employee cards; zero fraud liability,⭐ Not visible live (prior: PG yes; no tax returns <$25K),Online,https://www.firstpacbank.com/business-banking/business-loans-and-lines-of-credit/,low/no-doc language
221,YOLO FEDERAL CREDIT UNION,Credit Union,Woodland,344210,YES,SELF,No,"⭐ Business Visa: 13.74% variable APR (purchases/BT/CA), no annual fee, no penalty APR, limit up to $20k; no intro rate","Required docs vary by business type (non-profit, sole prop, etc.)",Online,https://www.yolofcu.org/business-visa,SELF-underwritten + $20K+ stated limit
249,"Sunflower Bank, National Association",Out-of-state bank with CA branches (SOD),Dallas,209727,YES,SELF,NO (no intro offer found; 'attractive APRs' marketing only; prior archived 13.20% var),Visa Small Business + Corporate cards; enhanced security; details via branch; pages 403-block bots — verified via search snippets of live sunflowerbank.com pages,Not visible live,Branch/contact (no online app found),https://www.sunflowerbank.com/business/business-accounts/credit-cards/small-business-and-corporate-credit-cards/,SELF-underwritten
283,BEACH CITIES COMMERCIAL BANK,Bank,Irvine,139564,YES,Elan,⭐ YES — Business ZERO+ extended low intro rate on purch+BT (length not shown live; Elan ZERO+ standard up to 18 cycles per prior),"4 Elan cards: Cash Preferred, ZERO+, Smart Business Rewards, Real Rewards; free expense reporting, free employee cards; AF not shown; deposit-acct tie from prior NOT mentioned live",—,Online,https://www.beachcitiescb.com/Card-Solutions/,0% intro
321,CALIFORNIA COMMUNITY CREDIT UNION,Credit Union,Sacramento,69035,YES,SELF,No - rate as low as 11.90% APR,Business VISA Platinum; no annual fee; limits $500-$15K; 25-day grace; rate tiers A-E,—,UNKNOWN,https://www.caccu.org/loans/visa/,SELF-underwritten
373,SLO CREDIT UNION,Credit Union,San Luis Obispo,25918,YES,SELF,Not stated,'Consumer and business credit cards'; competitive rates; instant issue; APR/AF not published - decisions made locally case-by-case,⭐ Manual/relationship underwriting language ('look at each applicant's situation') - possible flex on docs,Online,https://slocu.com/credit-cards/,SELF-underwritten + low/no-doc language
