Rank,Institution,Type,City,Deposits,Biz card?,Underwriter,0% intro,Terms,No-doc (quick),Apply,Card link,Why on list
57,Washington Federal Bank,Out-of-state bank with CA branches (SOD),Seattle,3886981,YES,SELF,Not advertised,No annual fee; 2% cash back gas/grocery/pharmacy (Visa Signature) / 1% all purchases; auto statement credit,Not stated,UNKNOWN,https://www.wafdbank.com/business-banking/business-credit-cards/small-business-credit-card,SELF-underwritten
61,STANFORD FEDERAL CREDIT UNION,Credit Union,Palo Alto,3709005,YES,SELF,NO (no 0% intro found live),"⭐ Business Rewards Visa: to $50K; 2%/2pts dining+food delivery, 1% else as monthly statement credit; NO AF/BT/CA/FTX fees; reqs: 640 FICO, 2 yrs in business, SFCU biz checking 6 mo; APR 16.00-17.99% var per prior (not re-shown in snippets; sfcu.org 403s direct fetch)",Live: 640 min score + 2yrs in business + 6-mo biz checking prereq (tightens prior no-doc read),Online (members),https://www.sfcu.org/business/business-credit-card,SELF-underwritten + $20K+ stated limit
64,"CALIFORNIA BANK OF COMMERCE, NATIONAL ASSOCIATION",Bank,San Diego,3402697,YES,Elan,Not shown live (no terms published),"'Variety of business credit cards... low rates, account access, rewards programs'; EMV/mobile; no rates/AF published; also separate Commercial Card portal",⭐ Not visible live (prior: PG yes; no tax returns <$25K),Banker (no public apply link; contact 844.265.7622),https://www.californiabankofcommerce.com/business-financing-solutions/,low/no-doc language
69,PROVIDENT CREDIT UNION,Credit Union,Redwood City,3191602,YES,SELF,NO 0% (prior noted 6-mo reduced intro rate; not visible on live page),"⭐ Business Rewards Visa (1pt/$1 uncapped, to $50K, no employee-card fees) + Business Share Secured Visa (120% pledge, min $600, qualify w/o credit history); APR/AF not on live page",—,Online (member flow: new members open biz savings first; existing via online banking),https://www.providentcu.org/business/business-credit-cards,SELF-underwritten + $20K+ stated limit
75,PREMIER AMERICA CREDIT UNION,Credit Union,Chatsworth,2934356,YES,SELF,NO (no intro offer; flat 14.99% var),"Premier Business MC: 14.99% var purchases/BT; $0 AF; no late/over-limit/BT fees; newer businesses (<2 yrs profitable) get lower limits; premieramerica.com 403-blocked, verified via Google-indexed site pages",—,Online (per prior; site 403 prevented re-check of app flow),https://www.premieramerica.com/business/loans/premier-business-mastercard,SELF-underwritten
78,EXCHANGE BANK,Bank,Santa Rosa,2837604,YES,Elan,⭐ YES — 0% 12 billing cycles (Business Cash Preferred); 0% 6 cycles (Business Real Rewards),"Business Cash Preferred: 0% 12 cycles then 17.24-26.24% var, $0 AF; Business Real Rewards: 0% 6 cycles then 17.24-26.24%, $0 AF; Smart Business Rewards: no 0%, 18.24-25.24%, $0 intro AF then $95",—,Online,https://www.exchangebank.com/business/credit-cards,0% intro
81,WEST COAST COMMUNITY BANK,Bank,Santa Cruz,2476069,YES,SELF,No 0% shown (APR not disclosed),Corporate + Corporate Purchasing Mastercards; $0 AF; virtual cards/spend controls on Purchasing tier,Not visible,Phone/RM (Corporate Card Mgr 831.457.5000; no online app),https://wccb.com/corporate_cards,SELF-underwritten
87,OPEN BANK,Bank,Los Angeles,2328101,YES,Elan,Not shown on bank page (Elan offer page would carry current promo; prior N/M),"Elan business card menu: low rate / cash back / flexible rewards; free employee cards, expense tools, zero fraud liability",⭐ Not visible live (prior: PG yes; no tax returns <$25K),Online,https://myopenbank.com/additional-services/,low/no-doc language
92,AVIDBANK,Bank,San Jose,2202730,YES,SELF,UNCLEAR — commercial program; no published consumer-style terms (avidbank.com 403s bots),"Live avidbank.com text (via search): 'Corporate and Business Credit Card programs offer... flexibility, rewards, and security'; commercial cards w/ spend controls, virtual cards, Level 2/3 data, custom rebates; relationship/commercial clients",—,In-person,https://www.avidbank.com/lending-products,SELF-underwritten
103,FIRST ENTERTAINMENT CREDIT UNION,Credit Union,Hollywood,1713776,YES,SELF,"⭐ YES - 0% intro APR 12 mo (purchases, per search snippet)","Preferred Cash Business Visa: 1.5% cash back, no AF, $100 bonus after $1k/90d; also Visa Platinum Business",—,Call,https://www.firstent.org/business/credit-cards/preferred-cash-visa/,SELF-underwritten + 0% intro
106,BAY FEDERAL CREDIT UNION,Credit Union,Capitola,1693650,YES,SELF,NO (none shown),"⭐ Business Visa to $50K; $0 AF; BayREWARDS on all purchases; low variable rate (APR not published); travel/warranty/CDW perks; 2,500-pt signup per prior not re-shown live",—,Contact/branch,https://www.bayfed.com/business/visa-credit,SELF-underwritten + $20K+ stated limit
109,BENEFICIAL STATE BANK,Bank,Oakland,1655342,YES,SELF,UNCLEAR (terms not published anywhere live),Two business Visa cards; details/fees NOT public — 'connect with a banker'; cards restricted to CA/OR/WA residents,Not visible live,Banker/contact (no online app; primary officer or client team),https://www.beneficialstatebank.com/business-banking/credit-cards,SELF-underwritten
116,KEYPOINT CREDIT UNION,Credit Union,San Jose,1403675,YES,SELF,Not stated,"Visa biz card: 15.99%-24.99% variable APR, no annual fee, 1.5% cash back; no 0% intro mentioned",App asks total annual revenue + Tax ID/EIN (sole props may not need TIN),Online,https://kpcu.com/business/lending/business-loans/business-credit-cards,SELF-underwritten
125,CHRISTIAN COMMUNITY CREDIT UNION,Credit Union,San Dimas,1236810,YES,SELF,Not shown live (no intro APR stated),3 ministry/business cards: 'Gives to Missions' / MAF / IM Visa Business Rewards; 1.5% unlimited cash back; $300 bonus @ $3K/3mo (MAF $200 @ $750); $0 AF,Not visible live,Contact/assisted ('Contact Us to Apply'; AdelFi membership required first),https://www.adelfibanking.com/ministry/ministry-credit-cards/,SELF-underwritten
132,LOS ANGELES FEDERAL CREDIT UNION,Credit Union,Glendale,1146363,YES,SELF,NO — no intro rate on live page,"⭐ Business Rewards Platinum Visa: $0 AF; limit up to $50,000; 1 pt/$1 + 2x gas/groceries/restaurants/travel; APR shown as 'view current rate' live (prior snapshot 15.75% var not re-displayed); concierge, purchase protection, travel accident ins.",—,Online,https://www.lafcu.org/loans-credit/business-loans,SELF-underwritten + $20K+ stated limit
141,HONDA FEDERAL CREDIT UNION,Credit Union,Torrance,1041171,YES,SELF,Not visible,Visa Business Card exists per own Visa disclosure + Member Advantage Points T&C; not promoted on cards page (only Classic/Gold shown),—,UNKNOWN,https://www.hondafcu.org/hondafcu/media/pdfs/disclosures/visa-disclosure.pdf,SELF-underwritten
157,EVERTRUST BANK,Bank,City Of Industry,839626,YES,Elan,Not shown on bank page (Elan offer page carries promo; prior N/M),Elan menu: low rate / cash back / flexible rewards; free employee cards; expense tools; zero fraud liability,⭐ Not visible live (prior: PG yes; no tax returns <$25K),Online,https://www.evertrustbank.com/Business/Visa-Credit-Cards,low/no-doc language
172,SACRAMENTO CREDIT UNION,Credit Union,Sacramento,719015,YES,SELF,NO,"⭐ Visa Platinum Business: no annual fee, limits to $25k, 25-day grace, low variable rate",—,Online,https://www.sactocu.org/Business/Business-Loans/Business-Credit-Cards,SELF-underwritten + $20K+ stated limit
183,MISSION VALLEY BANK,Bank,Sun Valley,632141,YES,TCM,Not shown live ('Summary of Credit Terms provided at time of application'),Business credit card programs via third party; multiple options; terms only at application; debit + Card Valet also offered,⭐ Not visible live (prior: PG likely; SBA-eligible only; no tax returns at app),Online,https://missionvalleybank.com/card-services/,low/no-doc language
202,Shinhan Bank America,Out-of-state bank with CA branches (SOD),New York,478280,YES,SELF,NO,Limit $4000-$100000 published; $45 AF; 25-day grace; no cash advance; primary deposit-or-loan relationship REQUIRED; no 0%,Docs not listed ('contact us'),Branch,https://www.shbamerica.com/business-business-credit-card/,SELF-underwritten
221,YOLO FEDERAL CREDIT UNION,Credit Union,Woodland,344210,YES,SELF,No,"⭐ Business Visa: 13.74% variable APR (purchases/BT/CA), no annual fee, no penalty APR, limit up to $20k; no intro rate","Required docs vary by business type (non-profit, sole prop, etc.)",Online,https://www.yolofcu.org/business-visa,SELF-underwritten + $20K+ stated limit
267,Safra National Bank of New York,Out-of-state bank with CA branches (SOD),New York,173127,YES,SELF,⭐ 0% intro APR first 7 billing cycles (balance transfers),Mastercard business card via Safrapay; annual fee waived 1st yr then waived w/ eligible purchase activity; points rewards,—,UNKNOWN,https://safrapay.com/business-credit-card/,SELF-underwritten + 0% intro
321,CALIFORNIA COMMUNITY CREDIT UNION,Credit Union,Sacramento,69035,YES,SELF,No - rate as low as 11.90% APR,Business VISA Platinum; no annual fee; limits $500-$15K; 25-day grace; rate tiers A-E,—,UNKNOWN,https://www.caccu.org/loans/visa/,SELF-underwritten
