Institution,Rec_Rank,Existing_Chex_cell,Existing_EWS_cell,Chex_Pull,Chex_Report,EWS_Pull,EWS_Report,Evidence_grade,DP_date,Source_links,Note
Nuvision Credit Union,14,Yes — pulls (DoC list 2025-08-07; member 'unfroze Chex' DP 2025-10-16),N/M,Yes,UNKNOWN,UNKNOWN,UNKNOWN,DOC-LIST,2025-08-07,https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/,DoC Chex: NuVision FCU does pull (1). CONFIRMS existing cell.
Premier America Credit Union,15,"Yes — pulls + INQUIRY-SENSITIVE: 3 Chex inquiries/90 days = auto-deny (DoC DPs 2025-12-30, 2024-10-05)",N/M,Yes — INQUIRY-SENSITIVE,UNKNOWN,UNKNOWN,UNKNOWN,DOC-LIST,2025-12-30 (existing cell DP),https://www.doctorofcredit.com/banks-credit-unions-chexsystems-inquiry-sensitive/,Sens page: Premier America 'denied at escalating thresholds'. CONFIRMS existing 3-inquiries/90-days auto-deny.
Firefighters First Credit Union,16,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"2026-06-10 (searched, no data)",—,Web search 2026-06-10 found no Chex/EWS data for Firefighters First CU. Closed SEG (firefighter families). Ask at onboarding.
WaFd Bank,17,"Yes — pulls (own Fresh Start page: 2nd-chance for paid-off non-fraud Chex records, 2026-06-09)",N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,(existing cell),—,—,Existing VERIFIED cell (own Fresh Start page) stands.
First Citizens Bank,18,Yes — pulls (DoC 2025-08-07; Crediful 2025-10-07),N/M (not on DoC EWS list),Yes,UNKNOWN,UNKNOWN,Yes,DOC-LIST + COMMUNITY-DP,2022-11-20,https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/; https://www.doctorofcredit.com/banks-credit-unions-chexsystems-inquiry-sensitive/; https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/#comment-1492418,UPGRADE vs existing EWS=N/M: First Citizens Bank is on Gadget 2022-11-20 list of banks that REPORT new accounts/activity to EWS (no inquiry DP). Chex sens page: declined only at 32+/12mo — tolerant of moderate inquiry counts.
First Bank (MO),19,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"2026-06-10 (searched, no data)",—,"No DPs for First Bank (firstbanks.com, MO). DoC 'First Bank (Myfirstbank)' = FirstBank Colorado (doesn't pull) and sens-page 'First Bank'/'FirstBank [CA,AZ,CO]' entries are AMBIGUOUS — do not apply."
Valley National Bank,20,"Yes — pulls (Crediful 2025-10-07); 2016 DoC DP: online sensitive, in-branch lenient",N/M,"Yes — online sensitive, in-branch flexible",UNKNOWN,UNKNOWN,UNKNOWN,DOC-LIST + secondary,2025-10-07,https://www.doctorofcredit.com/banks-credit-unions-chexsystems-inquiry-sensitive/,Sens page: online denials at 3-27/12mo; in-branch more flexible. CONFIRMS existing cell. Open IN BRANCH.
Western Alliance Bank,21,Yes — pulls (Crediful 2025-10-24),N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,(existing cell),—,—,Existing Crediful-sourced cell stands.
Redwood Credit Union,22,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"2026-06-10 (searched, no data)",—,Searched 2026-06-10 (web + DoC docs): no Chex/EWS data points found. UNKNOWN — never guess; verify with banker at opening.
Fremont Bank,23,N/M,N/M,Yes — SENSITIVE,UNKNOWN,UNKNOWN,UNKNOWN,DOC-LIST,fetched 2026-06-10,https://www.doctorofcredit.com/banks-credit-unions-chexsystems-inquiry-sensitive/,NEW vs N/M: DoC inquiry-sensitive list: Fremont Bank 'Declined with 10 in past 12 months'.
California Credit Union,24,"Yes — pulls (CU-answered myFICO Q&A 2025-08-21: 'Chexsystems { Yes }'; 'Chex sensitive, apply in person' DP)",N/M,Yes — SENSITIVE (auto-deny on Chex inquiries),UNKNOWN,UNKNOWN,UNKNOWN,DOC-LIST + COMMUNITY-DP,2025-08-21 (existing cell),https://www.doctorofcredit.com/banks-credit-unions-chexsystems-inquiry-sensitive/,Sens page: California CU 'denied with 22 in the last 24 months'. CONFIRMS project-log flip (Chex-sensitive).
Kinecta Federal Credit Union,25,N/M,N/M,Yes,Yes,UNKNOWN,UNKNOWN,VERIFIED (own doc) + COMMUNITY-DP,fetched 2026-06-10,https://www.kinecta.org/Kinecta/media/Kinecta/Forms/Fraud%20and%20Theft%20and%20Dispute%20Forms/consumer_credit_reporting_dispute.pdf; https://ficoforums.myfico.com/t5/Personal-Finance/CU-s-that-pull-ChexSystems-for-membership-IME/td-p/6588582,NEW vs N/M: Kinecta's own dispute form covers member info 'reported to a Consumer Reporting Agency (ChexSystems)' = REPORTS (VERIFIED); myFICO thread lists Kinecta as pulling Chex for membership (COMMUNITY-DP). Note: absorbed Xceed Financial CU (Xceed: DoC does pull x1).
Enterprise Bank & Trust,26,"N/M (no disclosure, no DPs)",N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"2026-06-10 (searched, no data)",—,Searched 2026-06-10 (web + DoC docs): no Chex/EWS data points found. UNKNOWN — never guess; verify with banker at opening.
CommunityAmerica Credit Union (ex-UNIFY),27,N/M,N/M,Yes (legacy UNIFY: 5 DPs; NOT sensitive),UNKNOWN,No,No,DOC-LIST + COMMUNITY-DP,2026-05-22,https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/; https://www.doctorofcredit.com/banks-credit-unions-chexsystems-inquiry-sensitive/; https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/#comment-2326911,"NEW vs N/M: 'Community America' on Dealgamer 2026-05-22 'doesn't report and no inquiry' EWS list = EWS-CLEAN. Chex via legacy UNIFY entries (does pull x5, approved 50+/12 = not sensitive); post-merger behavior unconfirmed."
Provident Credit Union,28,N/M,N/M,Yes — VERY SENSITIVE,UNKNOWN,UNKNOWN,UNKNOWN,DOC-LIST,fetched 2026-06-10,https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/; https://www.doctorofcredit.com/banks-credit-unions-chexsystems-inquiry-sensitive/,"NEW vs N/M: DoC Chex: Provident CU does pull (3). Sens page: 'denied at various thresholds; very sensitive'. (Provident CU, Redwood City CA.)"
American United Federal Credit Union,29,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"2026-06-10 (searched, no data)",—,Searched 2026-06-10 (web + DoC docs): no Chex/EWS data points found. UNKNOWN — never guess; verify with banker at opening.
Logix Federal Credit Union,30,N/M,N/M,Yes (lenient — second-chance reviews),UNKNOWN,UNKNOWN,UNKNOWN,"COMMUNITY-DP (secondary site, undated)",2026-06-10 (searched),https://www.thecreditpeople.com/bureaus/which-credit-unions-really-do-not-use-chexsystems,NEW vs N/M: secondary sources state Logix reviews Chex but may approve with a single negative item (second-chance). Weak/undated — verify.
Sunwest Bank,31,"N/M (no public DP either way; 'early warning' on site = fraud-alert copy, not the agency)",N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"2026-06-10 (searched, no data)",—,Searched 2026-06-10 (web + DoC docs): no Chex/EWS data points found. UNKNOWN — never guess; verify with banker at opening.
"Flagstar Bank, N.A.",32,Yes — pulls (DoC 2025-08-07),N/M,Yes,UNKNOWN,UNKNOWN,UNKNOWN,DOC-LIST,2025-08-07,https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/; https://www.doctorofcredit.com/banks-credit-unions-chexsystems-inquiry-sensitive/,DoC: Flagstar does pull (1). Now NYCB family — sens page: 'NYCB Family of Banks declined with 12 in last 24 months' = moderately sensitive. CONFIRMS existing cell + adds sensitivity.
HCN Bank,33,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"2026-06-10 (searched, no data)",—,Searched 2026-06-10 (web + DoC docs): no Chex/EWS data points found. UNKNOWN — never guess; verify with banker at opening.
"American Plus Bank, N.A.",34,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"2026-06-10 (searched, no data)",—,Searched 2026-06-10 (web + DoC docs): no Chex/EWS data points found. UNKNOWN — never guess; verify with banker at opening.
Orange County's Credit Union,35,N/M,N/M,Yes,UNKNOWN,Yes,UNKNOWN,DOC-LIST + COMMUNITY-DP,2021-05-26,https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/; https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/#comment-1196492,NEW vs N/M: Orange County CU on Davis 2021-05-26 list of banks that PULLED his EWS; DoC Chex: does pull (1).
Christian Community Credit Union (AdelFi),36,N/M,N/M,Yes (separate pulls for checking + later CD),UNKNOWN,No (2018 DP),UNKNOWN,DOC-LIST + COMMUNITY-DP,2018-08-15,https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/; https://www.doctorofcredit.com/banks-credit-unions-chexsystems-inquiry-sensitive/; https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/#comment-629661,"NEW vs N/M: CCCU does pull Chex (5 DPs) and is inquiry-sensitive (sens page: denied at 26+). EWS: NOT among Ampersand's 2018-08-15 EWS inquiries (opened CCCU, no EWS inquiry). Now branded AdelFi."
Truist,37,Yes — personal (DoC 2025-08-07; ~2026-03 DP); one DP: business in-branch SKIPPED Chex (2025-10-17),Yes — pulls (EWS co-owner; predecessor biz DP 2019-01-12; DP 2026-05-22),Yes — personal; one biz in-branch skip DP,UNKNOWN,Yes (double inquiry DP 2024-03-27),Yes,DOC-LIST + COMMUNITY-DP,2026-05-22,https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/; https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/#comment-2326911; https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/#comment-1820901,EWS: inquiry + reports ACH incl. balance (2026-05-22); CB 2024-03-27: Truist/BB&T hit EWS TWICE for one app. CONFIRMS existing cells.
MidFirst Bank,38,"Yes — pulls, 4 DPs (DoC 2025-08-07)",N/M,Yes — SENSITIVE,UNKNOWN,UNKNOWN,Yes,DOC-LIST + COMMUNITY-DP,2022-11-20,https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/; https://www.doctorofcredit.com/banks-credit-unions-chexsystems-inquiry-sensitive/; https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/#comment-1492418,"UPGRADE vs existing EWS=N/M: MidFirst on Gadget 2022-11-20 EWS-reporter list; D5 appendix (Monifi): EWS in addition to Chex. Sens page: declined 7/12, denied 12/6 = sensitive."
Banner Bank,39,"Yes — pulls, sensitive (Unchex; BankDealGuy reader DP 2026-01-27); BankOn 'Digital Account' = fallback",N/M,"Yes — QualiFile auto-deny, no override",UNKNOWN,UNKNOWN,UNKNOWN,COMMUNITY-DP,2026-01-27 (existing cell),—,Re-searched 2026-06-10: no newer DPs found. Existing cell stands (QualiFile auto-deny; BankOn 'Digital Account' as workaround path).
Infinity Bank,40,"N/M (no disclosure, no DPs — ask the banker)",N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"2026-06-10 (searched, no data)",—,Searched 2026-06-10 (web + DoC docs): no Chex/EWS data points found. UNKNOWN — never guess; verify with banker at opening.
City National Bank,41,N/M,N/M,Yes (2 DPs; NOT sensitive — approved 15+/12mo),UNKNOWN,UNKNOWN,UNKNOWN,DOC-LIST (ambiguous),fetched 2026-06-10,https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/; https://www.doctorofcredit.com/banks-credit-unions-chexsystems-inquiry-sensitive/; https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/#comment-465724-thread,"NEW vs N/M: DoC 'City National Bank' does pull (2); sens page: approved with 15+ in past year. CAUTION: some DoC CNB data may be City National Bank WV (a commenter: 'CNB WV pulls Chex, no EWS'). Verify which CNB before relying."
KeyBank,42,Yes — pulls (DoC 2025-08-07; Crediful 2025-10-22),Yes — mixed 2-yes/1-no (DoC EWS list),Yes (10 yes / 8 no-old),UNKNOWN,Yes,UNKNOWN,DOC-LIST + COMMUNITY-DP,2021-05-26,https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/; https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/; https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/#comment-1196492,EWS: D3 list mixed (2 yes/1 no); Davis 2021-05-26 KeyBank pulled EWS (sav+chk). Sens page: sensitive to multiple applications. CONFIRMS existing cells.
Mission Valley Bank,43,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"2026-06-10 (searched, no data)",—,Searched 2026-06-10 (web + DoC docs): no Chex/EWS data points found. UNKNOWN — never guess; verify with banker at opening.
GBC International Bank,44,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"2026-06-10 (searched, no data)",—,Searched 2026-06-10 (web + DoC docs): no Chex/EWS data points found. UNKNOWN — never guess; verify with banker at opening.
Banc of California,45,"Yes — weak single source (Unchex, undated); verify in branch",N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,(existing cell),—,—,Existing weak Unchex cell stands — verify in branch.
Mega Bank,46,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"2026-06-10 (searched, no data)",—,Searched 2026-06-10 (web + DoC docs): no Chex/EWS data points found. UNKNOWN — never guess; verify with banker at opening.
Home Bank of California,47,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"2026-06-10 (searched, no data)",—,Searched 2026-06-10 (web + DoC docs): no Chex/EWS data points found. UNKNOWN — never guess; verify with banker at opening.
Comerica Bank,48,N/M,N/M,Yes (3 DPs; NOT sensitive — approved 80+/24mo),UNKNOWN,Yes,Yes,DOC-LIST + COMMUNITY-DP,2024-05-05,https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/; https://www.doctorofcredit.com/banks-credit-unions-chexsystems-inquiry-sensitive/; https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/#comment-1196492; https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/#comment-1492418; https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/#comment-1840412,NEW vs N/M: Comerica pulls Chex (3) but tolerates high inquiry counts; PULLS EWS (Davis 2021-05-26) and REPORTS account opening to EWS (Gadget 2022-11-20 + 2024-05-05; D5 appendix).
Cathay Bank,49,N/M,N/M,UNKNOWN (one undated forum claim of NO Chex),UNKNOWN,UNKNOWN,UNKNOWN,"COMMUNITY-DP (weak, undated)",2026-06-10 (searched),http://bankinusa.com/answer/does-anyone-know-any-non-chexsystems-banks-in-los-angeles-ca-399/,"Single undated forum answer lists Cathay Bank among non-ChexSystems banks in LA. Too weak to grade — treat as UNKNOWN, but a verification call is high-value (potential gold-tier)."
Patelco Credit Union,50,N/M,N/M,Yes — SENSITIVE,UNKNOWN,UNKNOWN,UNKNOWN,VERIFIED (vendor adoption) + DOC-LIST,2004 (adoption); sens DPs later,https://www.americanbanker.com/news/authentication-patelco-chooses-chexsystems-to-combat-id-fraud; https://www.doctorofcredit.com/banks-credit-unions-chexsystems-inquiry-sensitive/; https://patelco.balancepro.org/resources/articles/chexsystems-the-hidden-key-to-opening-a-checking-account,"NEW vs N/M: American Banker (2004): Patelco uses ChexSystems ID screening for ALL new accounts (branch + online). Sens page: denied 9/6, 26/6, 29/12 = sensitive."
SAFE Credit Union,51,N/M,N/M,Yes — SENSITIVE,UNKNOWN,UNKNOWN,UNKNOWN,DOC-LIST,fetched 2026-06-10,https://www.doctorofcredit.com/banks-credit-unions-chexsystems-inquiry-sensitive/,NEW vs N/M: sens page: SAFE CU 'denied with 25 in the past 24 months'.
Icon Business Bank,52,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"2026-06-10 (searched, no data)",—,Searched 2026-06-10 (web + DoC docs): no Chex/EWS data points found. UNKNOWN — never guess; verify with banker at opening.
Citizens Business Bank,53,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"2026-06-10 (searched, no data)",—,Searched 2026-06-10 (web + DoC docs): no Chex/EWS data points found. UNKNOWN — never guess; verify with banker at opening.
Community West Bank,54,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"2026-06-10 (searched, no data)",—,Searched 2026-06-10 (web + DoC docs): no Chex/EWS data points found. UNKNOWN — never guess; verify with banker at opening.
Farmers & Merchants Bank of Long Beach,55,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"2026-06-10 (searched, no data)",—,Searched 2026-06-10 (web + DoC docs): no Chex/EWS data points found. UNKNOWN — never guess; verify with banker at opening.
Tri Counties Bank,56,N/M,N/M,Yes (soft inquiry via ChexSystems — own FAQ),UNKNOWN,UNKNOWN,UNKNOWN,VERIFIED,fetched 2026-06-10,https://www.tcbk.com/personal/online-accounts-personal,"NEW vs N/M: Tri Counties Bank online-account FAQ: 'We perform a soft inquiry through ChexSystems, which does not impact your credit score.'"
Hanmi Bank,57,N/M,N/M,Yes (NOT sensitive — approved 10+/12mo),UNKNOWN,UNKNOWN,UNKNOWN,DOC-LIST,fetched 2026-06-10,https://www.doctorofcredit.com/banks-credit-unions-chexsystems-inquiry-sensitive/,NEW vs N/M: Hanmi on sens page NOT-sensitive list: 'Approved with 10+ in the last 12 months' — implies Hanmi pulls Chex but tolerates inquiries.
Preferred Bank,58,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"2026-06-10 (searched, no data)",—,Searched 2026-06-10 (web + DoC docs): no Chex/EWS data points found. UNKNOWN — never guess; verify with banker at opening.
FFB Bank,59,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"2026-06-10 (searched, no data)",—,Searched 2026-06-10 (web + DoC docs): no Chex/EWS data points found. UNKNOWN — never guess; verify with banker at opening.
Montecito Bank & Trust,60,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"2026-06-10 (searched, no data)",—,Searched 2026-06-10 (web + DoC docs): no Chex/EWS data points found. UNKNOWN — never guess; verify with banker at opening.
Royal Business Bank,61,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
PCB Bank,62,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Travis Credit Union,63,N/M,N/M,Yes,UNKNOWN,UNKNOWN,UNKNOWN,DOC-LIST,2025-08-07,https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/,DoC Chex: Travis CU does pull (1).
Open Bank,64,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
CalPrivate Bank,65,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Beneficial State Bank,66,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
