CERT,Institution,HQ_City,HQ_State,OOS_HQ_with_SoCal_branches,Branches_LA,Branches_SB,Branches_Riv,Branches_OC,Branches_Ventura,Branches_SD,Total_Branches_6cty,Deposits_6cty_$K,Counties,Priority,v5_status,Match_note,Source_link
2270,"Zions Bancorporation, N.A.",Salt Lake City,UT,Yes,19,4,7,9,1,21,61,12999766,Los Angeles; San Bernardino; Riverside; Orange; Ventura; San Diego,PRIORITY-4CTY,IN_V5,"CERT match in v5_fdic_census: Zions Bancorporation, N.A.","https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22Los%20Angeles%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22Orange%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22Riverside%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22San%20Bernardino%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22San%20Diego%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22Ventura%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json"
18503,Cathay Bank,Los Angeles,CA,No,15,2,0,6,0,1,24,12277557,Los Angeles; San Bernardino; Orange; San Diego,PRIORITY-4CTY,IN_V5,CERT match in v5_fdic_census: Cathay Bank,"https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22Los%20Angeles%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22Orange%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22San%20Bernardino%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22San%20Diego%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json"
32172,"Pacific Premier Bank, National Association",Irvine,CA,No,12,3,6,9,0,5,35,11562921,Los Angeles; San Bernardino; Riverside; Orange; San Diego,PRIORITY-4CTY,IN_V5,"CERT match in v5_fdic_census: Pacific Premier Bank, National Association","https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22Los%20Angeles%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22Orange%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22Riverside%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22San%20Bernardino%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22San%20Diego%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json"
21716,Citizens Business Bank,Ontario,CA,No,23,8,2,11,4,2,50,10254486,Los Angeles; San Bernardino; Riverside; Orange; Ventura; San Diego,PRIORITY-4CTY,IN_V5,CERT match in v5_fdic_census: Citizens Business Bank,"https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22Los%20Angeles%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22Orange%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22Riverside%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22San%20Bernardino%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22San%20Diego%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22Ventura%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json"
57890,"HSBC Bank USA, National Association",Tysons,VA,Yes,2,0,0,1,0,0,3,9911674,Los Angeles; Orange,PRIORITY-4CTY,IN_V5,"CERT match in v5_fdic_census: HSBC Bank USA, National Association","https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22Los%20Angeles%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22Orange%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json"
26610,Bank of Hope,Los Angeles,CA,No,17,1,0,5,0,1,24,9598146,Los Angeles; San Bernardino; Orange; San Diego,PRIORITY-4CTY,IN_V5,CERT match in v5_fdic_census: Bank of Hope,"https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22Los%20Angeles%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22Orange%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22San%20Bernardino%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22San%20Diego%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json"
11063,First-Citizens Bank & Trust Company,Raleigh,NC,Yes,24,1,4,7,1,6,43,9181476,Los Angeles; San Bernardino; Riverside; Orange; Ventura; San Diego,PRIORITY-4CTY,IN_V5,CERT match in v5_fdic_census: First-Citizens Bank & Trust Company,"https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22Los%20Angeles%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22Orange%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22Riverside%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22San%20Bernardino%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22San%20Diego%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22Ventura%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json"
1225,Farmers and Merchants Bank of Long Beach,Long Beach,CA,No,11,0,0,15,0,0,26,8609774,Los Angeles; Orange,PRIORITY-4CTY,IN_V5,CERT match in v5_fdic_census: Farmers and Merchants Bank of Long Beach,"https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22Los%20Angeles%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22Orange%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json"
57512,Western Alliance Bank,Phoenix,AZ,Yes,2,0,0,0,0,6,8,8557042,Los Angeles; San Diego,PRIORITY-4CTY,IN_V5,CERT match in v5_fdic_census: Western Alliance Bank,"https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22Los%20Angeles%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22San%20Diego%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json"
983,Comerica Bank,Dallas,TX,Yes,24,3,0,9,1,12,49,7322669,Los Angeles; San Bernardino; Orange; Ventura; San Diego,PRIORITY-4CTY,IN_V5,CERT match in v5_fdic_census: Comerica Bank,"https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22Los%20Angeles%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22Orange%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22San%20Bernardino%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22San%20Diego%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22Ventura%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json"
58647,First Foundation Bank,Irvine,CA,No,6,3,1,4,0,1,15,7263265,Los Angeles; San Bernardino; Riverside; Orange; San Diego,PRIORITY-4CTY,IN_V5,CERT match in v5_fdic_census: First Foundation Bank,"https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22Los%20Angeles%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22Orange%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22Riverside%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22San%20Bernardino%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22San%20Diego%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json"
18618,SMBC MANUBANK,Los Angeles,CA,No,6,0,0,2,0,0,8,5568959,Los Angeles; Orange,PRIORITY-4CTY,IN_V5,CERT match in v5_fdic_census: SMBC MANUBANK,"https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22Los%20Angeles%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22Orange%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json"
26312,"First American Trust, FSB",Santa Ana,CA,No,0,0,0,1,0,0,1,5548035,Orange,PRIORITY-4CTY,IN_V5,"CERT match in v5_fdic_census: First American Trust, FSB","https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22Orange%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json"
24170,Hanmi Bank,Los Angeles,CA,No,15,0,0,3,0,1,19,5408498,Los Angeles; Orange; San Diego,PRIORITY-4CTY,IN_V5,CERT match in v5_fdic_census: Hanmi Bank,"https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22Los%20Angeles%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22Orange%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22San%20Diego%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json"
33539,Preferred Bank,Los Angeles,CA,No,9,0,0,2,0,0,11,5173604,Los Angeles; Orange,PRIORITY-4CTY,IN_V5,CERT match in v5_fdic_census: Preferred Bank,"https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22Los%20Angeles%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22Orange%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json"
27237,Enterprise Bank & Trust,Clayton,MO,Yes,4,0,0,2,0,2,8,4811960,Los Angeles; Orange; San Diego,PRIORITY-4CTY,IN_V5,CERT match in v5_fdic_census: Enterprise Bank & Trust,"https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22Los%20Angeles%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22Orange%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22San%20Diego%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json"
6384,"PNC Bank, National Association",Wilmington,DE,Yes,1,2,18,0,0,6,27,3950809,Los Angeles; San Bernardino; Riverside; San Diego,PRIORITY-4CTY,IN_V5,"CERT match in v5_fdic_census: PNC Bank, National Association","https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22Los%20Angeles%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22Riverside%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22San%20Bernardino%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22San%20Diego%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json"
34788,American Business Bank,Los Angeles,CA,No,1,0,0,0,0,0,1,3872215,Los Angeles,PRIORITY-4CTY,IN_V5,CERT match in v5_fdic_census: American Business Bank,"https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22Los%20Angeles%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json"
33661,"Mizrahi Tefahot Bank, Ltd.",Los Angeles,CA,No,1,0,0,0,0,0,1,3309713,Los Angeles,PRIORITY-4CTY,IN_V5,"CERT match in v5_fdic_census: Mizrahi Tefahot Bank, Ltd.","https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22Los%20Angeles%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json"
19416,CTBC Bank Corp. (USA),Los Angeles,CA,No,12,0,0,2,0,0,14,2738287,Los Angeles; Orange,PRIORITY-4CTY,IN_V5,CERT match in v5_fdic_census: CTBC Bank Corp. (USA),"https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22Los%20Angeles%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22Orange%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json"
32541,"Flagstar Bank, National Association",Hicksville,NY,Yes,3,9,0,1,0,0,13,2681387,Los Angeles; San Bernardino; Orange,PRIORITY-4CTY,IN_V5,"CERT match in v5_fdic_census: Flagstar Bank, National Association","https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22Los%20Angeles%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22Orange%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22San%20Bernardino%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json"
1768,Mechanics Bank,Walnut Creek,CA,No,1,0,5,1,7,1,15,2581770,Los Angeles; Riverside; Orange; Ventura; San Diego,PRIORITY-4CTY,IN_V5,CERT match in v5_fdic_census: Mechanics Bank,"https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22Los%20Angeles%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22Orange%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22Riverside%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22San%20Diego%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json | https://banks.data.fdic.gov/api/sod?filters=YEAR:2025%20AND%20STALPBR:CA%20AND%20CNTYNAMB:%22Ventura%22&fields=CERT,NAMEFULL,CITY,STALP,NAMEBR,CITYBR,CNTYNAMB,STALPBR,DEPSUMBR,ADDRESBR,ZIPBR&limit=10000&format=json"
